entropy,EpRewMean,entloss,surrgain,EpisodesSoFar,EpLenMean,EpThisIter,TimestepsSoFar,EpTrueRewMean,ev_tdlam_before,meankl,optimgain,TimeElapsed
4.4664865,98.573006,0.0,0.14855766,1393,779.0,1,828593,2748.556134059867,0.45087963342666626,0.012332683,0.14855766,3355.445068359375
4.4651217,100.269005,0.0,0.28888953,1394,784.325,1,829593,2768.4163479674717,0.3375664949417114,0.01329365,0.28888953,3359.5419232845306
4.4673123,102.90607,0.0,0.0873602,1395,797.5,1,830593,2826.981430110301,0.4534199833869934,0.012078382,0.0873602,3363.6466023921967
4.466151,105.220314,0.0,0.097526,1396,812.075,1,831593,2885.7994516467197,0.5399375557899475,0.010961786,0.097526,3367.8343620300293
4.459561,105.25143,0.0,0.14068331,1397,812.075,1,832593,2890.770949337647,0.34353309869766235,0.011691908,0.14068331,3371.976399421692
4.4527044,105.4282,0.0,0.1252306,1398,812.975,1,833593,2891.306531109184,0.5209803283214569,0.013883595,0.1252306,3376.06840133667
4.4760337,104.85811,0.0,0.12150937,1399,812.975,1,834593,2898.147301242564,0.4752480387687683,0.013090063,0.12150937,3380.2394182682037
4.4816303,105.12949,0.0,0.09066974,1400,815.125,1,835593,2908.6314859169306,0.46456533670425415,0.011604825,0.09066974,3384.412068605423
4.435952,105.31706,0.0,0.11477928,1401,822.775,1,836593,2940.081366734684,0.45769280195236206,0.014344762,0.11477928,3388.5659651756287
4.4079256,105.714554,0.0,0.11171947,1403,828.025,2,838123,2975.2576185754433,0.8010508120059967,0.012145311,0.11171947,3392.7259480953217
4.401939,105.00039,0.0,0.11560184,1404,828.025,1,839123,2978.4086672102226,0.5382401347160339,0.012322062,0.11560184,3396.891825199127
4.420571,105.72848,0.0,0.110235885,1405,833.65,1,839967,3011.591079125386,0.7299208641052246,0.0118860025,0.110235885,3401.063154220581
4.3944364,103.37537,0.0,0.12484033,1407,816.525,2,841282,2957.682453875256,0.6489404141902924,0.012867821,0.12484033,3405.2125437259674
4.332736,103.62526,0.0,0.099725485,1409,818.675,2,842749,2966.9739519300824,0.6985564827919006,0.011465906,0.099725485,3409.3847880363464
4.3452764,103.494675,0.0,0.12859179,1410,818.675,1,843749,2972.67886082781,0.8150716871023178,0.012624856,0.12859179,3413.555730342865
4.346856,102.32332,0.0,0.1564815,1411,818.675,1,844749,2974.025088616885,0.6267395913600922,0.012439354,0.1564815,3417.7269179821014
4.3561125,104.24489,0.0,0.10247852,1412,832.15,1,845749,3039.302827419363,0.07369965314865112,0.012811789,0.10247852,3421.8773658275604
4.3035054,101.8387,0.0,0.12369904,1414,817.85,2,847177,2993.249645311855,0.6682196259498596,0.012887609,0.12369904,3426.0344874858856
4.2965417,102.0359,0.0,0.11371293,1416,816.725,2,848679,2990.419611677522,0.6106484234333038,0.011874993,0.11371293,3430.2063624858856
4.2930636,102.51375,0.0,0.110817075,1417,816.725,1,849679,2994.598270465977,0.5567452907562256,0.012898536,0.110817075,3434.3705701828003
4.2864995,103.61033,0.0,0.111087665,1418,828.35,1,850679,3048.774702934928,0.45089155435562134,0.012041445,0.111087665,3438.529487848282
4.2792573,105.08089,0.0,0.10356286,1419,834.9,1,851679,3083.1737391425127,0.554353803396225,0.011764729,0.10356286,3442.6935708522797
4.304022,105.54258,0.0,0.11519462,1420,838.4,1,852346,3097.00433089235,0.7824046313762665,0.011690202,0.11519462,3446.8500969409943
4.2959375,106.19324,0.0,0.107124954,1421,845.175,1,853041,3129.9977233588875,0.8171428740024567,0.012742447,0.107124954,3451.009981393814
4.2496552,105.31575,0.0,0.10669479,1422,836.15,1,853680,3104.3068097494042,0.855442613363266,0.011700878,0.10669479,3455.152523756027
4.224488,101.238396,0.0,0.14969873,1426,798.7,4,855076,2986.3465939919492,0.5070663094520569,0.011242008,0.14969873,3459.301278114319
4.2109303,101.84349,0.0,0.09007026,1427,798.7,1,856076,3000.0004036681958,0.22462964057922363,0.012599044,0.09007026,3463.4396846294403
4.2023654,100.32976,0.0,0.1175639,1429,789.525,2,857709,2981.509238603949,0.6623319983482361,0.0136374,0.1175639,3467.5829141139984
4.180025,99.944565,0.0,0.111345574,1430,788.925,1,858224,2977.8587180655645,0.6827528774738312,0.013270061,0.111345574,3471.7304260730743
4.1697392,100.90819,0.0,0.12545581,1431,799.325,1,859180,3011.404315509507,0.8774614259600639,0.013061082,0.12545581,3475.894829273224
4.136564,102.15182,0.0,0.11597293,1432,814.675,1,860180,3077.3985285839726,0.5629242658615112,0.01385382,0.11597293,3480.0401146411896
4.14547,101.96156,0.0,0.10140687,1433,814.675,1,861180,3068.7387439466092,0.3579295873641968,0.01189344,0.10140687,3484.1852850914
4.106351,101.92562,0.0,0.12602128,1434,814.675,1,862180,3066.976033008835,0.3325064778327942,0.012601148,0.12602128,3488.334318637848
4.0573745,98.7431,0.0,0.11775147,1436,795.8,2,863425,2997.4582497686106,0.8349025398492813,0.012458233,0.11775147,3492.4748752117157
4.0432796,98.60699,0.0,0.122161835,1438,783.75,2,864943,2949.1747031613627,0.7090740501880646,0.012212429,0.122161835,3496.6114344596863
4.003761,98.873436,0.0,0.111295834,1439,783.75,1,865943,2943.185626123446,0.4984171986579895,0.013780402,0.111295834,3500.7652657032013
4.022375,99.24907,0.0,0.12326281,1440,783.75,1,866943,2946.7301344298244,0.6058527827262878,0.012328254,0.12326281,3504.9227879047394
4.035591,100.51817,0.0,0.09437321,1441,783.75,1,867943,2948.2169965169096,0.32832711935043335,0.011919577,0.09437321,3509.0786530971527
4.0349727,101.55982,0.0,0.09647781,1443,784.05,2,869485,2959.690214681078,0.8696349859237671,0.0122816395,0.09647781,3513.229600906372
4.0206304,101.69862,0.0,0.10995211,1444,784.05,1,870485,2958.664958824409,0.7462544441223145,0.012371103,0.10995211,3517.372985601425
4.043129,102.41797,0.0,0.13510808,1445,787.95,1,871485,2971.265754461096,0.5648137331008911,0.012487894,0.13510808,3521.5214610099792
4.012636,101.812965,0.0,0.12082173,1446,787.95,1,872485,2974.1774581558157,0.4892474412918091,0.011830696,0.12082173,3525.6695969104767
3.983757,99.63399,0.0,0.12445184,1449,782.275,3,874040,2978.167331008402,0.7648871541023254,0.012298785,0.12445184,3529.7998282909393
3.9721622,98.728455,0.0,0.12866966,1450,774.3,1,874721,2941.2216987911315,0.810407355427742,0.012699366,0.12866966,3533.9520421028137
3.985046,98.39604,0.0,0.13279909,1451,772.975,1,875668,2933.2650898933857,0.8074449151754379,0.014349961,0.13279909,3538.0885150432587
3.9602053,97.109505,0.0,0.10386859,1453,762.05,2,877231,2893.20109603485,0.7449328303337097,0.011751026,0.10386859,3542.223045349121
3.9247363,96.15077,0.0,0.12084388,1455,765.85,2,878811,2917.902890887276,0.7556095123291016,0.012250124,0.12084388,3546.363137483597
3.9473033,97.484116,0.0,0.119316705,1456,778.3,1,879811,2975.3962422307513,0.8211795389652252,0.013244279,0.119316705,3550.519218444824
3.9534612,96.322754,0.0,0.11494836,1457,778.3,1,880811,2971.726059783441,0.3221040368080139,0.012742307,0.11494836,3554.657663822174
3.933142,95.978775,0.0,0.16535014,1458,775.75,1,881709,2954.7294748117415,0.7623323053121567,0.013279923,0.16535014,3558.806196451187
3.9054031,95.6013,0.0,0.10003738,1459,775.75,1,882709,2958.4678545671222,0.6176912486553192,0.012166277,0.10003738,3562.9504458904266
3.8952346,96.97194,0.0,0.113897346,1460,784.075,1,883709,2997.8824526875374,0.7385990023612976,0.013805309,0.113897346,3567.1012279987335
3.9028912,98.45422,0.0,0.10708366,1461,791.7,1,884709,3034.018300960307,0.5804046094417572,0.01098306,0.10708366,3571.256428003311
3.8665528,99.87048,0.0,0.101245895,1462,800.725,1,885709,3071.371639794782,0.48888808488845825,0.01248776,0.101245895,3575.403653860092
3.8769162,98.50482,0.0,0.17933041,1463,790.925,1,886317,3027.1333986131876,0.756980761885643,0.013217973,0.17933041,3580.007085084915
3.8769457,101.571915,0.0,0.12902893,1464,811.95,1,887317,3118.5139161520883,0.8060551732778549,0.013130445,0.12902893,3584.178952693939
3.8861315,104.103226,0.0,0.09629832,1465,834.9,1,888317,3216.351407069039,0.390972375869751,0.011393769,0.09629832,3588.3417530059814
3.858736,105.5236,0.0,0.06617314,1466,846.775,1,888947,3275.3873985755504,0.8622210025787354,0.0038203122,0.06617314,3592.493097305298
3.8514955,102.436,0.0,0.12992719,1468,828.4,2,890212,3178.390132128714,0.5285910367965698,0.01274791,0.12992719,3596.6556351184845
3.8303607,102.63631,0.0,0.11875462,1470,830.3,2,891436,3180.357641555793,0.6830691695213318,0.011157816,0.11875462,3600.82079911232
3.8184512,103.104904,0.0,0.115375355,1471,831.4,1,892436,3193.8749987838833,0.2360432744026184,0.012303434,0.115375355,3604.965649843216
3.831667,101.708336,0.0,0.117163144,1472,822.2,1,893068,3152.1376626173646,0.8836441114544868,0.01208733,0.117163144,3609.114870786667
