EpisodesSoFar,TimeElapsed,surrgain,meankl,ev_tdlam_before,TimestepsSoFar,entropy,EpThisIter,EpTrueRewMean,EpLenMean,EpRewMean,entloss,optimgain
4133,8446.582407474518,0.13985988,0.01408979,0.808471068739891,2100658,0.9262258,3,1806.0452975991593,509.35,28.905956,0.0,0.13985988
4136,8450.660395383835,0.13528068,0.011768439,0.899069257080555,2102033,0.92402047,3,1796.6826173580587,506.025,29.427618,0.0,0.13528068
4139,8454.7379052639,0.08300706,0.0040673483,0.8844382539391518,2103625,0.92418724,3,1821.4504961734049,505.15,29.52796,0.0,0.08300706
4141,8458.83716750145,0.07292694,0.0038018469,0.6676375567913055,2105197,0.9262086,2,1939.9052762548322,531.275,30.431965,0.0,0.07292694
4144,8462.940462589264,0.07355964,0.0045148297,0.7502463608980179,2106475,0.92542267,3,1811.8906753897777,503.275,29.035908,0.0,0.07355964
4147,8467.046919822693,0.09639971,0.003934375,0.7760801613330841,2108070,0.92687184,3,1792.4434825276294,499.15,27.840816,0.0,0.09639971
4151,8471.134204387665,0.17659591,0.013224736,0.6113543212413788,2109318,0.92869574,4,1727.4449147083255,482.525,27.176746,0.0,0.17659591
4152,8475.23640537262,0.10006919,0.0039693294,0.8023728728294373,2109833,0.9215697,1,1666.1211313759463,470.4,26.897705,0.0,0.10006919
4154,8479.313385248184,0.14617805,0.013788666,0.8824611902236938,2111029,0.90728813,2,1656.7257183159745,468.325,27.498652,0.0,0.14617805
4156,8483.405497789383,0.115545854,0.013323799,0.8006399571895599,2112071,0.9133753,2,1719.2666318344848,482.2,28.224457,0.0,0.115545854
4157,8487.50068974495,0.09672927,0.0042315135,0.8675084561109543,2112970,0.9061453,1,1790.5129867623637,496.925,28.827213,0.0,0.09672927
4160,8491.611483335495,0.07401957,0.0037892358,0.9625510238111019,2113950,0.9035116,3,1780.161742582532,492.825,28.940008,0.0,0.07401957
4163,8495.710543394089,0.12883517,0.012105152,0.9568929821252823,2114898,0.90033925,3,1770.254027825277,490.2,28.998693,0.0,0.12883517
4165,8499.815919399261,0.07337818,0.0039485483,0.9167935773730278,2115745,0.90558636,2,1716.0585616679302,477.1,28.80635,0.0,0.07337818
4167,8503.93481707573,0.11566496,0.0037681847,0.5394990742206573,2116624,0.89772755,2,1689.8443233698022,473.1,29.48141,0.0,0.11566496
4171,8508.049211978912,0.14243674,0.014153017,0.9125896468758583,2117732,0.89632404,4,1558.3415827726863,442.975,28.068506,0.0,0.14243674
4173,8512.13645863533,0.15631378,0.014628645,0.9605338387191296,2118419,0.8863695,2,1558.484683626604,444.025,28.333252,0.0,0.15631378
4174,8516.236695051193,0.103763,0.004071433,0.865618035197258,2118686,0.8887177,1,1499.493294696073,431.2,27.620829,0.0,0.103763
4178,8520.31742477417,0.16150996,0.014692331,0.8786242455244064,2120354,0.88982594,4,1502.8613527158502,433.675,26.632687,0.0,0.16150996
4180,8524.43682384491,0.2908863,0.01254838,0.8274507224559784,2121334,0.8928832,2,1420.932147053038,417.725,25.981104,0.0,0.2908863
4182,8528.547524929047,0.12287514,0.0044538593,0.2476552128791809,2122948,0.89502513,2,1485.6262108579738,433.6,28.014109,0.0,0.12287514
4185,8532.630371332169,0.14038968,0.014365483,0.9129672795534134,2123952,0.88735956,3,1403.6745022900764,416.55,27.150442,0.0,0.14038968
4187,8536.744786024094,0.07892818,0.0041558407,0.8529093414545059,2125155,0.8823094,2,1464.3309296061152,427.125,27.327967,0.0,0.07892818
4189,8540.85692024231,0.14532185,0.012674728,0.7524350583553314,2125889,0.8984297,2,1452.6296925719685,428.15,26.990738,0.0,0.14532185
4191,8544.9455139637,0.084488854,0.004728151,0.8920137211680412,2127018,0.8902953,2,1518.5978235833004,442.5,27.542847,0.0,0.084488854
4194,8549.04216337204,0.07976326,0.0038306087,0.8230276107788086,2128147,0.8920594,3,1456.4325380696455,427.95,26.363455,0.0,0.07976326
4195,8553.131295919418,0.14076152,0.014690785,0.711766391992569,2129147,0.8909678,1,1469.2667979508465,430.8,26.520947,0.0,0.14076152
4196,8557.228477239609,0.19944048,0.014180711,0.7924478948116302,2129821,0.89757335,1,1530.1400515808189,443.75,27.214233,0.0,0.19944048
4200,8561.337257146835,0.07459374,0.0040490786,0.9435707554221153,2131054,0.90240645,4,1443.4998703412075,427.6,27.181416,0.0,0.07459374
4202,8565.418577432632,0.14575748,0.013869674,0.8941154405474663,2132220,0.8973618,2,1500.6461059100536,440.625,27.937841,0.0,0.14575748
4204,8569.507101535797,0.1316585,0.014516667,0.8421917408704758,2132800,0.8947225,2,1496.2750679815945,441.175,27.90177,0.0,0.1316585
4207,8573.598310709,0.14410424,0.014733058,0.9408060759305954,2133932,0.8960555,3,1475.0668403060015,432.7,26.79624,0.0,0.14410424
4210,8577.684992074966,0.077974975,0.0041189697,0.7131267488002777,2135330,0.88897103,3,1542.2768791189724,447.225,27.055317,0.0,0.077974975
4211,8581.778594732285,0.071181126,0.003920557,0.8032088130712509,2135889,0.8804114,1,1564.7316565249562,453.925,26.860245,0.0,0.071181126
4213,8585.857773542404,0.0777049,0.004029029,0.8277547806501389,2136963,0.8811549,2,1621.4037367776782,463.6,27.243738,0.0,0.0777049
4214,8589.930705070496,0.15692583,0.013543459,0.3333667516708374,2137963,0.9083027,1,1706.2031818452401,481.925,27.67223,0.0,0.15692583
4216,8594.003957748413,0.15010889,0.013572844,0.7367289662361145,2138889,0.9019181,2,1684.7298626268916,478.3,27.813772,0.0,0.15010889
4219,8598.076923847198,0.14086103,0.012971157,0.8926378190517426,2139879,0.9001082,3,1657.9148344715672,471.35,27.464447,0.0,0.14086103
4220,8602.143104076385,0.14307201,0.014087062,0.8754535913467407,2140222,0.8956854,1,1660.260746848165,472.2,27.646423,0.0,0.14307201
4222,8606.229658603668,0.09115665,0.00435036,0.5207394957542419,2141699,0.8829809,2,1655.0254577815795,468.775,26.561188,0.0,0.09115665
4223,8610.325122117996,0.16307016,0.013896076,0.7920917719602585,2141995,0.8888243,1,1650.5220053364058,465.5,26.671856,0.0,0.16307016
4226,8614.420147895813,0.08095609,0.0040397434,0.9257849082350731,2143139,0.87900597,3,1630.151908949936,462.75,26.84917,0.0,0.08095609
4229,8618.498297452927,0.13878335,0.012621001,0.7705883681774139,2144095,0.87486064,3,1611.3168176473453,455.15,27.665401,0.0,0.13878335
4232,8622.587105035782,0.07985933,0.0039394954,0.8962768316268921,2145240,0.8822881,3,1563.2559175262677,444.85,27.123592,0.0,0.07985933
4235,8626.662240028381,0.081015214,0.0042553935,0.9323119670152664,2146859,0.8808806,3,1560.9606427271067,442.8,26.76621,0.0,0.081015214
4237,8631.204669237137,0.083162695,0.0043869456,0.8158519864082336,2147831,0.8851552,2,1552.4092062059306,442.575,27.195044,0.0,0.083162695
4241,8635.276573419571,0.069994226,0.0039467723,0.8971543535590172,2148917,0.8767297,4,1511.3800638928587,430.325,26.094883,0.0,0.069994226
4243,8639.352639913559,0.112320706,0.012725004,0.7959973216056824,2150865,0.85813123,2,1647.778556384335,463.35,27.447607,0.0,0.112320706
4244,8643.419032096863,0.11277195,0.01403218,0.4244770407676697,2151865,0.86079633,1,1707.0977321071907,476.625,27.7674,0.0,0.11277195
4245,8647.48957324028,0.1510702,0.014885316,0.8996211513876915,2152708,0.85946447,1,1732.9524746600787,483.075,27.805023,0.0,0.1510702
4248,8651.560920238495,0.17352489,0.013836862,0.9374983236193657,2153966,0.8463521,3,1696.426241894719,475.85,27.36549,0.0,0.17352489
4251,8655.636057138443,0.07030177,0.0038012476,0.8862839266657829,2155096,0.8477631,3,1719.1521779700336,480.175,28.04513,0.0,0.07030177
4252,8659.703731060028,0.15741818,0.012764407,0.8098756521940231,2155513,0.84130806,1,1669.4042772814641,471.2,28.047352,0.0,0.15741818
