ev_tdlam_before,EpThisIter,meankl,entloss,EpLenMean,entropy,TimestepsSoFar,optimgain,surrgain,TimeElapsed,EpRewMean,EpisodesSoFar
0.9904817566275597,13,0.0070469356,0.0,77.925,1.4189401,87006,0.0134401955,0.0134401955,58.73255801200867,74.26416048997513,893
0.9916248628869653,13,0.007544037,0.0,78.275,1.4189401,88014,0.016691865,0.016691865,59.41773986816406,74.36575698880188,906
0.9772412832826376,13,0.006677258,0.0,77.975,1.4189401,89028,0.020115253,0.020115253,60.11125826835632,74.57490452945375,919
0.9632977023720741,12,0.0074900435,0.0,80.775,1.4189401,90077,0.0221361,0.0221361,60.80782675743103,73.65356160823383,931
0.9851719103753567,13,0.008242523,0.0,80.2,1.4189401,91068,0.016828904,0.016828904,61.50501227378845,73.93024805969343,944
0.993020064663142,13,0.0068439394,0.0,81.075,1.4189401,92097,0.010480734,0.010480734,62.18468928337097,73.44283639613134,957
0.9917739164084196,13,0.007217792,0.0,77.8,1.4189401,93116,0.013016575,0.013016575,62.876290798187256,76.52127972858143,970
0.9812970664352179,13,0.008882582,0.0,78.75,1.4189401,94142,0.014122985,0.014122985,63.57544779777527,76.31227874787382,983
0.9946825979277492,14,0.0064407014,0.0,78.25,1.4189401,95227,0.0132906865,0.0132906865,64.27083206176758,76.49479895721812,997
0.9918849710375071,13,0.009629283,0.0,77.725,1.4189401,96225,0.016011871,0.016011871,64.97843885421753,75.84915830756538,1010
0.985597338527441,12,0.007205402,0.0,78.625,1.4189401,97211,0.017269313,0.017269313,65.6532530784607,75.45636240650495,1022
0.9927859073504806,14,0.0049270103,0.0,78.75,1.4189401,98303,0.008103189,0.008103189,66.34870290756226,74.71182347204629,1036
0.9920502817258239,13,0.002776302,0.0,79.075,1.4189401,99312,0.0060255225,0.0060255225,67.04538416862488,74.79780155024164,1049
0.9946142244152725,13,0.007181572,0.0,77.7,1.4189401,100319,0.013489602,0.013489602,67.72179007530212,74.52521253639497,1062
