EpisodesSoFar,surrgain,meankl,entropy,TimeElapsed,entloss,EpTrueRewMean,TimestepsSoFar,EpThisIter,EpLenMean,EpRewMean,ev_tdlam_before,optimgain
984,0.093892336,0.0075622653,3.2975461,3085.596869468689,0.0,-3577.419128624189,984000,1,1000.0,98.55095,0.6303114891052246,0.093892336
985,0.050600804,0.0065196045,3.2893586,3089.0068509578705,0.0,-3568.9167143776103,985000,1,1000.0,97.2373,0.1012910008430481,0.050600804
986,0.05152908,0.0065397797,3.2832642,3092.4067788124084,0.0,-3567.4780691832843,986000,1,1000.0,97.091286,-0.106498122215271,0.05152908
987,0.08142068,0.007871095,3.2752757,3095.8300783634186,0.0,-3562.6559573848003,987000,1,1000.0,96.76692,-0.09429943561553955,0.08142068
988,0.05316993,0.0043303147,3.2821047,3099.2514021396637,0.0,-3574.7641295683243,988000,1,1000.0,98.06279,0.05899369716644287,0.05316993
989,0.087065354,0.010323721,3.2746296,3102.689152956009,0.0,-3584.68441990705,989000,1,1000.0,99.371895,0.2384001612663269,0.087065354
990,0.06549369,0.0056211203,3.271644,3106.093956232071,0.0,-3596.4121691462024,990000,1,1000.0,100.053505,0.3216401934623718,0.06549369
991,0.101962,0.0069841454,3.2681253,3109.5009644031525,0.0,-3604.8827661512128,991000,1,1000.0,102.113304,0.4015936851501465,0.101962
992,0.083934925,0.006698954,3.2627566,3112.9189851284027,0.0,-3623.9047000075093,992000,1,1000.0,101.71681,0.655949056148529,0.083934925
993,0.027219974,0.003792507,3.2567446,3116.376455783844,0.0,-3638.806353316852,993000,1,1000.0,101.45723,-0.25300848484039307,0.027219974
994,0.101284266,0.014981879,3.257667,3119.8171508312225,0.0,-3637.085000891403,994000,1,1000.0,101.62596,0.7695848792791367,0.101284266
995,0.06850172,0.006406731,3.247643,3123.1972908973694,0.0,-3621.9669770214105,995000,1,1000.0,98.720116,0.2606407403945923,0.06850172
996,0.08792797,0.009111168,3.2496924,3126.590840578079,0.0,-3609.8195873271484,996000,1,1000.0,96.001205,0.01973646879196167,0.08792797
997,0.094722,0.012944335,3.2321687,3130.048342704773,0.0,-3630.585574457883,997000,1,1000.0,95.36019,0.7840129435062408,0.094722
998,0.054986686,0.012454791,3.2299428,3133.5071380138397,0.0,-3634.8533178202174,998000,1,1000.0,91.867134,0.9318104311823845,0.054986686
999,0.06463813,0.0050601843,3.2332852,3136.8952226638794,0.0,-3610.2716656309217,999000,1,1000.0,88.81377,0.3749346137046814,0.06463813
1000,0.0671487,0.0052632955,3.2372723,3140.3111629486084,0.0,-3614.2938078154693,1000000,1,1000.0,90.34511,0.07336574792861938,0.0671487
1001,0.08528585,0.005265346,3.2445157,3144.0671577453613,0.0,-3630.6904814426357,1001000,1,1000.0,89.9944,0.7899359613656998,0.08528585
1002,0.066660345,0.005235092,3.2372136,3147.6304762363434,0.0,-3640.6206134157956,1002000,1,1000.0,90.917595,0.19242864847183228,0.066660345
1003,0.057570748,0.0066783717,3.2228396,3151.4447798728943,0.0,-3646.4566466828983,1003000,1,1000.0,89.339195,0.42117398977279663,0.057570748
1004,0.09862158,0.0104668215,3.2209775,3154.9110341072083,0.0,-3643.882353309772,1004000,1,1000.0,91.258095,0.7218556702136993,0.09862158
1005,0.08842427,0.0068607978,3.2163625,3158.3310511112213,0.0,-3637.4614918065695,1005000,1,1000.0,90.60063,0.6713809669017792,0.08842427
1006,0.0770668,0.00612717,3.2180789,3161.7571692466736,0.0,-3638.7181110583647,1006000,1,1000.0,90.694115,0.18649399280548096,0.0770668
1007,0.09489098,0.0065190145,3.2165456,3165.1884758472443,0.0,-3657.522125686267,1007000,1,1000.0,89.68722,0.6844021379947662,0.09489098
1008,0.4721198,0.0081096785,3.219389,3168.648089647293,0.0,-3662.10405103591,1008000,1,1000.0,87.55145,0.4271395206451416,0.4721198
1009,0.07446711,0.005960601,3.2233205,3172.066424846649,0.0,-3680.3601850772,1009000,1,1000.0,86.94969,0.38011908531188965,0.07446711
1010,0.09909211,0.008311967,3.2219944,3175.490433692932,0.0,-3665.4920573554023,1010000,1,1000.0,86.73655,0.1940506100654602,0.09909211
1011,0.05079332,0.004413573,3.2294593,3178.9545233249664,0.0,-3658.5002944601365,1011000,1,1000.0,86.7972,0.38946348428726196,0.05079332
1012,0.06588031,0.004437183,3.2268605,3184.20907664299,0.0,-3659.4253786991308,1012000,1,1000.0,86.836655,0.12917262315750122,0.06588031
1013,0.07709061,0.007242962,3.2287674,3187.62086725235,0.0,-3662.3089110416345,1013000,1,1000.0,85.48375,0.5259703099727631,0.07709061
1014,0.071963534,0.009763377,3.2276394,3191.0088415145874,0.0,-3663.887002009376,1014000,1,1000.0,86.04433,0.26464563608169556,0.071963534
1015,0.08927328,0.0062523093,3.237802,3194.417198419571,0.0,-3657.506192944934,1015000,1,1000.0,85.78734,0.3915826082229614,0.08927328
1016,0.061414488,0.0062845685,3.2300503,3197.856112718582,0.0,-3663.9372149638743,1016000,1,1000.0,84.1989,0.7688504159450531,0.061414488
1017,0.07605963,0.0056712786,3.234772,3201.2730028629303,0.0,-3645.386152337428,1017000,1,1000.0,84.22777,0.3908453583717346,0.07605963
1018,0.087956786,0.0063727433,3.2311778,3206.0403125286102,0.0,-3637.3679251489266,1018000,1,1000.0,83.91781,0.6500508189201355,0.087956786
1019,0.018890195,0.0037666764,3.2360606,3211.0407161712646,0.0,-3643.8662109905827,1019000,1,1000.0,82.420006,-0.08644413948059082,0.018890195
1020,0.08300373,0.008752947,3.2396238,3214.4634294509888,0.0,-3636.9688951041985,1020000,1,1000.0,82.07882,0.2219022512435913,0.08300373
1021,0.01809232,0.004916557,3.2496412,3217.9152812957764,0.0,-3647.58693739136,1021000,1,1000.0,81.45826,-0.047414183616638184,0.01809232
1022,0.07784415,0.0050572045,3.2505207,3221.3050322532654,0.0,-3659.122983662672,1022000,1,1000.0,81.18594,0.41220831871032715,0.07784415
1024,0.09064329,0.0065231463,3.2528164,3224.69144654274,0.0,-3676.960519053803,1024000,2,1000.0,81.42753,0.7426511347293854,0.09064329
1025,0.06942853,0.0059833466,3.2537224,3228.3999757766724,0.0,-3661.4321678434108,1025000,1,1000.0,82.45103,0.3600339889526367,0.06942853
1026,0.0866203,0.0067462963,3.2633674,3231.7466912269592,0.0,-3670.094228736104,1026000,1,1000.0,83.07826,0.7561709880828857,0.0866203
1027,0.0683129,0.0067423927,3.2558923,3235.0985119342804,0.0,-3685.5901693014166,1027000,1,1000.0,83.17198,0.7464075088500977,0.0683129
1028,0.10259166,0.0075619183,3.2438262,3238.4826827049255,0.0,-3676.3574474642664,1028000,1,1000.0,83.169876,0.7355300486087799,0.10259166
1029,0.075618014,0.0060261777,3.251242,3241.850526571274,0.0,-3675.0146222970675,1029000,1,1000.0,82.076485,0.5568799078464508,0.075618014
1030,0.07572965,0.006936671,3.2521272,3245.2113938331604,0.0,-3672.6048736345083,1030000,1,1000.0,81.2576,0.6153619289398193,0.07572965
1031,0.07413844,0.0057109157,3.2580237,3248.542051553726,0.0,-3670.069853778169,1031000,1,1000.0,79.72508,0.6703915596008301,0.07413844
1032,0.09151965,0.007775477,3.2618945,3251.903865337372,0.0,-3664.0221188855767,1032000,1,1000.0,79.56567,0.09888201951980591,0.09151965
1033,0.072686315,0.006233395,3.2583225,3255.2469580173492,0.0,-3655.1236502427987,1033000,1,1000.0,80.06154,0.6663359999656677,0.072686315
1034,0.068784334,0.0055839354,3.2444692,3258.5823981761932,0.0,-3657.2859814435433,1034000,1,1000.0,80.27623,0.6398902833461761,0.068784334
1035,0.08915274,0.0050413455,3.2457252,3261.9402663707733,0.0,-3659.2418033327426,1035000,1,1000.0,79.93229,0.6139323711395264,0.08915274
1036,0.07421919,0.007048047,3.2458212,3265.266426086426,0.0,-3664.3379911346296,1036000,1,1000.0,79.987114,0.7228588759899139,0.07421919
1037,0.09187493,0.007755369,3.2399979,3268.598683834076,0.0,-3639.452074310754,1037000,1,1000.0,82.16736,0.779204934835434,0.09187493
1039,0.049752228,0.011565715,3.2391145,3271.967354774475,0.0,-3648.393464061247,1039000,2,1000.0,82.74817,0.256514310836792,0.049752228
1040,0.08005371,0.0073487554,3.2367551,3275.3337144851685,0.0,-3647.747632005319,1040000,1,1000.0,80.86699,0.5953914821147919,0.08005371
1041,0.07922615,0.0056629768,3.2395327,3278.667126893997,0.0,-3630.22909017535,1041000,1,1000.0,81.20112,0.44407910108566284,0.07922615
1042,0.104737885,0.00922556,3.244416,3282.061069250107,0.0,-3639.656211747967,1042000,1,1000.0,79.396484,0.8175069987773895,0.104737885
