surrgain,EpRewMean,meankl,EpisodesSoFar,EpTrueRewMean,TimeElapsed,TimestepsSoFar,entloss,EpThisIter,EpLenMean,ev_tdlam_before,entropy,optimgain
0.20237377,0.46437103,0.006820487,13447,402.4392512082421,24252.22544002533,1051424,0.0,13,78.975,-0.12414932250976562,23.62061,0.20237377
0.3043295,0.67230296,0.005471696,13458,412.45631123806123,24275.374160289764,1052385,0.0,11,80.8,-0.08840250968933105,23.619144,0.3043295
0.39793572,0.64774483,0.006179129,13471,421.6272740539547,24298.01643013954,1053460,0.0,13,82.125,0.04235124588012695,23.620607,0.39793572
0.17755492,0.6017019,0.0050685364,13484,413.0930307479821,24320.978394269943,1054441,0.0,13,80.5,0.30095964670181274,23.619305,0.17755492
0.45149398,0.5535931,0.0059818523,13497,393.79944777489334,24343.817081212997,1055418,0.0,13,77.575,0.34027546644210815,23.619009,0.45149398
0.17839216,0.57412624,0.0060506877,13509,379.1947639175706,24366.764105319977,1056342,0.0,12,75.825,0.12378597259521484,23.619505,0.17839216
0.15108474,0.6235604,0.0060739876,13522,384.83521346528136,24390.027022123337,1057416,0.0,13,77.425,-0.7466981410980225,23.619297,0.15108474
0.36484307,0.5940142,0.006437827,13536,384.3298845561977,24412.80816411972,1058460,0.0,14,77.75,0.20742642879486084,23.619139,0.36484307
0.24939689,0.53655654,0.00510146,13548,405.87474919871494,24435.992567062378,1059490,0.0,12,81.05,-0.116066575050354,23.619465,0.24939689
0.17341802,0.49749738,0.0051480616,13560,412.4794175356181,24459.01593232155,1060533,0.0,12,81.875,-0.3142927885055542,23.61918,0.17341802
0.37618935,0.46963605,0.006161766,13572,428.7449410138876,24482.181082248688,1061518,0.0,12,84.65,-0.05821967124938965,23.617687,0.37618935
0.149165,0.46113053,0.004931047,13583,438.06122660021373,24505.02345108986,1062505,0.0,11,86.5,-0.21180295944213867,23.61783,0.149165
0.5354173,0.44900006,0.0053487225,13597,421.1151654825814,24527.891134262085,1063577,0.0,14,83.125,0.15254145860671997,23.617352,0.5354173
0.17904437,0.4775904,0.0055200625,13608,422.4471423065581,24550.716195106506,1064516,0.0,11,83.575,-0.7772959470748901,23.617184,0.17904437
0.16923307,0.45374718,0.005400741,13621,408.59447137499734,24573.54542207718,1065524,0.0,13,80.8,-0.7875539064407349,23.616251,0.16923307
0.18131357,0.48623675,0.0051434296,13634,406.9768601969666,24596.435734033585,1066566,0.0,13,80.95,-1.7556617259979248,23.614735,0.18131357
0.17282416,0.41112795,0.005754494,13646,401.91357239474496,24619.255798101425,1067534,0.0,12,80.2,-0.34611034393310547,23.613413,0.17282416
0.27876338,0.43647355,0.0060139373,13659,400.4674779382959,24642.094270944595,1068571,0.0,13,79.65,-0.6215507984161377,23.610312,0.27876338
