EpThisIter,entropy,optimgain,EpisodesSoFar,meankl,ev_tdlam_before,EpRewMean,EpLenMean,surrgain,TimeElapsed,TimestepsSoFar,entloss
14,-0.14302845,0.019606141,682,0.009153012,0.9987855225335807,92.57639356731437,71.6,0.019606141,55.270480155944824,85969,-0.0
15,-0.13742718,0.021170143,697,0.008322043,0.998950550914742,92.71471619569006,71.1,0.021170143,55.925737142562866,87031,-0.0
14,-0.17945722,0.018458914,711,0.0097212205,0.9990496974205598,92.67463217094623,71.05,0.018458914,56.593748807907104,88020,-0.0
14,-0.22174984,0.010610794,725,0.009581071,0.9989725769264624,92.57845059843987,71.0,0.010610794,57.254589319229126,89021,-0.0
15,-0.2638508,0.01845666,740,0.010006806,0.9990774784237146,92.46464942263572,71.1,0.01845666,57.92789673805237,90091,-0.0
14,-0.31941465,0.013464646,754,0.01216059,0.9991689964663237,92.60040189468,71.05,0.013464646,58.585613489151,91076,-0.0
15,-0.37480164,0.014828639,769,0.00985219,0.9991949534742162,92.82847223639544,70.6,0.014828639,59.25712490081787,92131,-0.0
14,-0.3935356,0.012662727,783,0.0068709566,0.9992233050870709,92.97902210329661,70.6,0.012662727,59.91520547866821,93128,-0.0
15,-0.4350852,0.019924212,798,0.011538249,0.9992467096890323,93.037459424287,70.7,0.019924212,60.57566237449646,94184,-0.0
14,-0.46684667,0.020270785,812,0.009101324,0.9993116541882046,93.18232077435056,70.5,0.020270785,61.23381280899048,95170,-0.0
15,-0.5100069,0.0171886,827,0.010965122,0.9993156916461885,93.23591937955204,70.2,0.0171886,61.90657997131348,96222,-0.0
15,-0.5525429,0.019770112,842,0.008825658,0.9994229899020866,93.19418309129665,70.125,0.019770112,62.5593683719635,97270,-0.0
14,-0.61078626,0.019363819,856,0.010694812,0.9993729696725495,93.23348940954233,69.9,0.019363819,63.219945192337036,98245,-0.0
15,-0.642273,0.019179765,871,0.007841589,0.9994697746005841,93.26650968038363,69.75,0.019179765,63.88406991958618,99290,-0.0
15,-0.6903006,0.017110243,886,0.010895561,0.9994522892520763,93.37320210713351,69.725,0.017110243,64.54458475112915,100336,-0.0
