TimeElapsed,ev_tdlam_before,entropy,EpisodesSoFar,TimestepsSoFar,EpRewMean,meankl,EpLenMean,surrgain,EpTrueRewMean,EpThisIter,optimgain,entloss
8521.260172367096,0.0009312629699707031,-1.6003877,2575,2575000,221.46404,0.01244765,1000.0,0.07514344,538.784209527518,2,0.07514344,-0.0
8524.751304864883,-0.040894389152526855,-1.5973465,2576,2576000,226.70589,0.014197264,1000.0,0.08917138,571.7305780237349,1,0.08917138,-0.0
8528.251660108566,0.782181441783905,-1.5955961,2577,2577000,232.5701,0.0041768746,1000.0,0.051939942,606.393486790116,1,0.051939942,-0.0
8531.78799200058,-0.00382840633392334,-1.5940893,2578,2578000,230.84244,0.013201453,1000.0,0.07018023,613.1008538239882,1,0.07018023,-0.0
8535.267706632614,-0.004128575325012207,-1.5974311,2579,2579000,229.29831,0.014892703,1000.0,0.077988796,613.6303694074684,1,0.077988796,-0.0
8538.773160219193,0.017277240753173828,-1.5926969,2580,2580000,227.4252,0.014122984,1000.0,0.073639154,610.6953031276948,1,0.073639154,-0.0
8542.267156362534,0.0016704797744750977,-1.5923722,2581,2581000,227.00398,0.012704701,1000.0,0.072270885,612.1736426294132,1,0.072270885,-0.0
8545.759689807892,-0.0002690553665161133,-1.597764,2582,2582000,227.41074,0.013571814,1000.0,0.07342827,613.8389091497041,1,0.07342827,-0.0
8549.267279624939,-0.0026851892471313477,-1.6089773,2583,2583000,228.21567,0.014876704,1000.0,0.07100721,615.372837141824,1,0.07100721,-0.0
8552.773276805878,0.020536482334136963,-1.6008408,2584,2584000,228.56436,0.013445629,1000.0,0.07015721,617.5242441748369,1,0.07015721,-0.0
8556.26569724083,0.012240827083587646,-1.5914496,2585,2585000,229.93005,0.012577331,1000.0,0.068133265,619.001772437295,1,0.068133265,-0.0
8559.765657663345,-0.010456442832946777,-1.6040154,2586,2586000,231.88916,0.012191382,1000.0,0.071846455,622.3810459702502,1,0.071846455,-0.0
8563.272983551025,0.008341372013092041,-1.6057576,2587,2587000,233.77563,0.012315128,1000.0,0.06995611,624.4807757838133,1,0.06995611,-0.0
8566.770827770233,0.029003500938415527,-1.6140897,2588,2588000,235.40352,0.012839998,1000.0,0.073513515,627.1993779429891,1,0.073513515,-0.0
8570.278598308563,0.04060441255569458,-1.6193999,2590,2590000,236.39388,0.014327329,1000.0,0.07713409,633.5441548682904,2,0.07713409,-0.0
8573.778000354767,0.05106210708618164,-1.623485,2591,2591000,235.7541,0.0038827285,1000.0,0.04729198,634.8727915725498,1,0.04729198,-0.0
8577.276517868042,0.052751898765563965,-1.617204,2592,2592000,235.70883,0.01335628,1000.0,0.07722448,636.832117055106,1,0.07722448,-0.0
