ev_tdlam_before,EpLenMean,TimeElapsed,surrgain,EpThisIter,optimgain,entloss,EpisodesSoFar,EpTrueRewMean,EpRewMean,meankl,entropy,TimestepsSoFar
0.8714317083358765,83.075,419.840628862381,0.2307316,11,0.2307316,0.0,1397,396.6110264764153,24.515705,0.011171889,23.542559,88366
0.8411498218774796,92.35,424.6429123878479,0.27404612,9,0.27404612,0.0,1406,436.71158513810917,27.350574,0.010731854,23.52645,89387
0.7655725330114365,91.325,429.82247829437256,0.18758439,13,0.18758439,0.0,1419,434.0738921209101,26.481052,0.010637189,23.519512,90446
0.804785281419754,90.825,434.5538535118103,0.21201554,12,0.21201554,0.0,1431,427.63090722422675,25.603542,0.01129834,23.510496,91467
0.8727656602859497,83.325,440.28080916404724,0.21353017,13,0.21353017,0.0,1444,396.36078510806476,23.168333,0.010712577,23.515703,92471
0.8777367174625397,82.35,445.3734178543091,0.23483501,11,0.23483501,0.0,1455,391.78841921892774,22.108541,0.011308501,23.505617,93443
0.8713218718767166,84.8,450.0980734825134,0.22584039,11,0.22584039,0.0,1466,402.1714304199187,22.555365,0.011282952,23.49505,94403
0.876598633825779,87.7,454.8131275177002,0.21667928,11,0.21667928,0.0,1477,415.1841011538744,23.505373,0.011046131,23.492252,95419
0.8633828610181808,89.65,459.6246600151062,0.24094303,12,0.24094303,0.0,1489,426.2202098191313,23.878277,0.0115091335,23.492655,96473
0.8766426146030426,88.5,464.3422780036926,0.23721275,11,0.23721275,0.0,1500,418.30608903559096,23.166115,0.011013424,23.506426,97434
0.8777111992239952,95.3,469.06066966056824,0.22763512,10,0.22763512,0.0,1510,453.7308123613472,24.484392,0.0113109285,23.506903,98500
0.8852884843945503,93.8,473.7716546058655,0.26991215,12,0.26991215,0.0,1522,445.4421032032225,23.796392,0.011905755,23.507082,99620
0.7959773689508438,96.475,478.49186396598816,0.23313338,11,0.23313338,0.0,1533,453.65732319240226,23.974152,0.010978758,23.511782,100639
0.8446256220340729,95.5,483.2386522293091,0.22153401,11,0.22153401,0.0,1544,448.91346477747754,23.607752,0.0124563025,23.511164,101657
0.7769035249948502,88.3,488.69049429893494,0.21798816,13,0.21798816,0.0,1557,409.420480469461,20.641531,0.011210493,23.508968,102729
0.8736478984355927,87.375,493.4547965526581,0.21835697,12,0.21835697,0.0,1569,409.5668066564596,20.929672,0.011771962,23.512274,103769
0.8645498156547546,81.6,498.25131487846375,0.22779861,13,0.22779861,0.0,1582,387.1331729121609,19.662085,0.0114231175,23.512938,104765
0.7972684353590012,83.45,503.0220060348511,0.23320088,11,0.23320088,0.0,1593,400.4415850577005,21.316914,0.011846931,23.511477,105754
0.8372085988521576,84.475,508.22671461105347,0.20867229,12,0.20867229,0.0,1605,406.6997003350584,21.214895,0.011547469,23.515118,106749
