EpThisIter,TimeElapsed,TimestepsSoFar,EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,entloss,surrgain,optimgain,EpRewMean,meankl,EpLenMean,entropy
15,21452.445862054825,937851,12111,313.28878524689014,0.07795518636703491,0.0,0.3928222,0.3928222,0.5233344,0.0060683447,66.275,23.811687
15,21475.31815290451,938841,12126,321.4565258206931,-0.21304774284362793,0.0,0.20870373,0.20870373,0.63395333,0.0051554134,68.225,23.811512
17,21497.94403719902,939893,12143,301.3105744223973,-0.10434675216674805,0.0,0.2535404,0.2535404,0.7434932,0.006618559,63.6,23.812366
14,21520.84260201454,940954,12157,316.5333635568947,-0.31590330600738525,0.0,0.23716938,0.23716938,0.81225955,0.00584946,67.15,23.811972
15,21543.262197971344,941916,12172,316.95440744261623,-0.322948694229126,0.0,0.16360962,0.16360962,0.81334984,0.0064540748,67.275,23.812145
17,21565.90903019905,942953,12189,299.78017778900596,-0.2236921787261963,0.0,0.23151304,0.23151304,0.64834857,0.0063661356,63.275,23.810392
15,21588.525127887726,943992,12204,314.30724895270015,-0.07166552543640137,0.0,0.35263902,0.35263902,0.5117045,0.006514111,65.275,23.810057
16,21610.96462416649,944895,12220,298.09021278174896,0.01882767677307129,0.0,0.2838777,0.2838777,0.580661,0.005954559,61.475,23.812136
14,21633.542631149292,945836,12234,301.13160750561167,0.07720297574996948,0.0,0.19676304,0.19676304,0.5017002,0.0062629273,63.0,23.810873
15,21655.989321947098,946856,12249,308.90192458896865,-0.03853142261505127,0.0,0.20768568,0.20768568,0.6035952,0.006509032,65.35,23.81251
15,21678.416297912598,947914,12264,314.2859156054163,0.1365242600440979,0.0,0.21764475,0.21764475,0.5411832,0.007581869,67.2,23.813313
16,21700.687616109848,949012,12280,329.4160981964123,0.08427804708480835,0.0,0.22402263,0.22402263,0.51029235,0.0071775243,69.875,23.812977
15,21723.38674402237,950052,12295,331.39093060484424,0.001749873161315918,0.0,0.29456758,0.29456758,0.44054824,0.0062917853,70.4,23.813114
16,21745.858489990234,950993,12311,300.1374071751792,-0.18373453617095947,0.0,0.282666,0.282666,0.5428764,0.0073524658,63.2,23.81315
14,21768.640335083008,952048,12325,325.65614862732747,-0.3409057855606079,0.0,0.276268,0.276268,0.53813845,0.007818621,67.925,23.810587
15,21791.452050209045,953078,12340,327.7307605257162,0.2854124903678894,0.0,0.23835157,0.23835157,0.5473383,0.0066045765,69.275,23.8101
17,21813.91487622261,954135,12357,316.44026725828553,-0.00996541976928711,0.0,0.392411,0.392411,0.8431717,0.0075272922,68.425,23.808231
15,21836.572947978973,955149,12372,296.30186301297965,0.061428606510162354,0.0,0.231283,0.231283,0.7723173,0.005732041,64.575,23.808065
