EpLenMean,EpThisIter,ev_tdlam_before,EpTrueRewMean,TimestepsSoFar,meankl,surrgain,EpRewMean,EpisodesSoFar,TimeElapsed,entropy,optimgain,entloss
489.275,1,0.020005404949188232,581.6511151311912,22490,0.005834326,0.031817794,237.21487,99,82.46559000015259,3.9301753,0.031817794,0.0
510.85,1,-0.009615421295166016,604.2115175022889,23490,0.0069003906,0.029859815,245.44815,100,85.78528475761414,3.9069743,0.029859815,0.0
532.8,1,0.024112403392791748,628.3485830426769,24490,0.0059213303,0.04174817,254.15381,101,89.09608173370361,3.892738,0.04174817,0.0
554.225,1,0.06692028045654297,649.022026115979,25490,0.0065671364,0.04918595,262.26562,102,92.51830863952637,3.870392,0.04918595,0.0
584.875,2,-0.061745524406433105,681.8260403805434,26907,0.0068876515,0.04141882,274.26712,104,96.20071649551392,3.8864424,0.04141882,0.0
607.425,1,0.9170330166816711,706.9988651621574,27899,0.0069364174,0.04565578,283.3334,105,99.88355493545532,3.860689,0.04565578,0.0
628.575,1,-0.09104752540588379,727.9525521896306,28899,0.0064823753,0.029649004,291.88742,106,103.53485822677612,3.8906615,0.029649004,0.0
648.3,1,0.3449819087982178,748.1211227702211,29899,0.0069940966,0.046481177,298.97836,107,107.064462184906,3.8668523,0.046481177,0.0
669.45,1,-0.1600867509841919,771.0067190753456,30899,0.008180046,0.04157428,306.93286,108,110.68945908546448,3.8548298,0.04157428,0.0
689.6,1,-0.08003032207489014,790.7882600091991,31899,0.0071326178,0.041280538,313.72394,109,114.35166764259338,3.85379,0.041280538,0.0
706.4,1,0.3654826283454895,808.8327841542632,32802,0.006643273,0.047799185,319.0281,110,117.95447778701782,3.863802,0.047799185,0.0
720.925,1,0.6086359918117523,823.0904548931201,33706,0.0072703976,0.044487588,323.37167,111,121.55382299423218,3.8504925,0.044487588,0.0
732.55,2,0.681404173374176,832.5090612990671,34521,0.006854019,0.046810903,325.46967,113,125.06877994537354,3.8451767,0.046810903,0.0
743.5,1,0.5700733363628387,843.1494896435761,35195,0.006750538,0.047186535,327.8536,114,128.32153463363647,3.8212588,0.047186535,0.0
763.3,1,-0.04175722599029541,863.1945468499771,36195,0.0063835178,0.05305332,333.4812,115,131.56831574440002,3.8441775,0.05305332,0.0
779.2,1,0.7514071017503738,878.0639229178774,37041,0.007758674,0.04251945,338.02823,116,134.8176031112671,3.8466873,0.04251945,0.0
796.7,2,0.25747251510620117,894.2777926588982,38322,0.008151444,0.053905293,340.82404,118,138.06655502319336,3.8438432,0.053905293,0.0
814.175,1,-0.1961454153060913,911.7351967353919,39322,0.007010538,0.059947316,344.8548,119,141.30798506736755,3.8446882,0.059947316,0.0
823.95,1,0.8671401888132095,919.4712316886022,40145,0.0062936223,0.059312955,345.7746,120,144.55252170562744,3.841394,0.059312955,0.0
839.475,2,0.680488646030426,934.8375225863571,41718,0.008531589,0.056067012,345.2868,122,147.77857065200806,3.849066,0.056067012,0.0
851.9,1,0.19159173965454102,945.7226374088001,42666,0.0080030095,0.059509054,347.53952,123,150.99809980392456,3.8465636,0.059509054,0.0
851.9,1,-0.07062947750091553,944.2658336436501,43666,0.008370815,0.03779345,342.54785,124,154.23271322250366,3.8684938,0.03779345,0.0
858.75,1,0.7575943768024445,952.8752343309621,44666,0.007004991,0.04749511,341.85718,125,157.46410131454468,3.8735638,0.04749511,0.0
858.75,1,-0.08285987377166748,954.369963023522,45666,0.007651287,0.034466863,338.4343,126,160.69098901748657,3.8838499,0.034466863,0.0
857.875,1,0.7785245776176453,950.6900757737818,46631,0.0069517884,0.054885644,333.83783,127,164.191960811615,3.8911362,0.054885644,0.0
859.7,1,-0.05722928047180176,952.4567953933765,47631,0.007343854,0.047409732,331.52216,128,167.77246069908142,3.8945692,0.047409732,0.0
848.05,1,0.8256583660840988,940.8726358044471,48165,0.006795627,0.049179208,325.2862,129,171.3413212299347,3.8858716,0.049179208,0.0
854.075,2,0.16048574447631836,945.5498551175331,49571,0.0069217817,0.053185467,324.28693,131,174.90710377693176,3.8524778,0.053185467,0.0
854.075,1,0.08643180131912231,944.9538634096073,50571,0.008033097,0.052318558,321.4371,132,178.48571181297302,3.8295062,0.052318558,0.0
854.075,1,-0.10379278659820557,946.4070206262586,51571,0.007778473,0.043657046,319.61758,133,182.05132126808167,3.8250792,0.043657046,0.0
854.075,1,-0.0453869104385376,946.1614874284293,52571,0.008235022,0.055789508,316.65213,134,185.61739993095398,3.8377986,0.055789508,0.0
858.35,2,0.5157208144664764,950.8736593908928,53824,0.007704612,0.045570422,315.1727,136,189.18982195854187,3.8175292,0.045570422,0.0
851.4,1,0.06953036785125732,942.0403792254899,54546,0.007762806,0.05119635,309.81808,137,192.75667071342468,3.8216555,0.05119635,0.0
851.4,1,0.03260600566864014,942.8074249316891,55546,0.007482589,0.043385454,307.0603,138,196.3240830898285,3.797095,0.043385454,0.0
851.4,2,-0.0025254487991333008,939.8827413294403,57546,0.00757419,0.045756653,300.66364,140,199.8963713645935,3.771356,0.045756653,0.0
820.6,2,0.6616755723953247,906.2454934510715,58314,0.008155974,0.059634123,285.1667,142,203.46256613731384,3.8286726,0.059634123,0.0
835.175,1,0.42939817905426025,921.9455168688864,59314,0.006946653,0.061689164,287.75986,143,207.02632331848145,3.827263,0.061689164,0.0
835.175,1,-0.05884277820587158,920.1693263896916,60314,0.0069020735,0.048295658,283.5722,144,210.60155582427979,3.8526897,0.048295658,0.0
813.2,2,0.062255024909973145,894.5407554740192,61427,0.0072651478,0.047456905,269.29068,146,214.16600155830383,3.86425,0.047456905,0.0
813.2,1,0.005641043186187744,892.6807905625031,62427,0.0069879913,0.049403828,265.28784,147,217.7299621105194,3.8588483,0.049403828,0.0
813.2,1,-0.112143874168396,888.7590725229736,63427,0.008847275,0.050466895,261.20526,148,221.29396724700928,3.8638995,0.050466895,0.0
809.625,1,0.038843750953674316,883.1351663460675,64284,0.008436972,0.07610669,256.16977,149,224.6747784614563,3.852083,0.07610669,0.0
812.05,1,0.00942540168762207,884.6830779668119,65284,0.008800101,0.047824584,253.35794,150,227.89369106292725,3.8560774,0.047824584,0.0
814.45,1,0.030500948429107666,884.9958643033863,66284,0.007693007,0.03465952,249.67761,151,231.11983609199524,3.8580317,0.03465952,0.0
835.175,1,-0.023746013641357422,906.5420148528798,67284,0.007954534,0.044316273,253.656,152,234.34364414215088,3.8560116,0.044316273,0.0
838.45,2,0.3228278160095215,907.6961786822118,68733,0.008364974,0.06274138,250.19902,154,237.5700135231018,3.8495486,0.06274138,0.0
838.45,1,-0.058362603187561035,905.7197224298586,69733,0.007848663,0.042065885,246.8453,155,240.79394817352295,3.8754277,0.042065885,0.0
842.3,1,-0.09262001514434814,908.0225817829656,70733,0.007674139,0.047436763,244.66812,156,244.01604008674622,3.8737166,0.047436763,0.0
844.85,1,0.03374511003494263,909.634094051116,71733,0.00905084,0.047373913,242.63057,157,247.23727798461914,3.8575075,0.047373913,0.0
860.275,1,0.11619657278060913,925.446210325266,72733,0.007438698,0.044632882,244.12593,158,250.4606373310089,3.8967605,0.044632882,0.0
856.075,1,0.030099987983703613,918.9270943261585,73565,0.007044442,0.054544702,240.10623,159,253.6778826713562,3.8955624,0.054544702,0.0
