EpRewMean,TimestepsSoFar,ev_tdlam_before,optimgain,EpTrueRewMean,meankl,entropy,EpThisIter,EpisodesSoFar,TimeElapsed,surrgain,EpLenMean,entloss
24.499401,2594000,0.16116434335708618,0.07493088,-4786.2990989139735,0.0049684234,3.7686706,1,2594,8712.121433734894,0.07493088,1000.0,0.0
24.36855,2595000,0.13172447681427002,0.072342746,-4779.876266558876,0.004732185,3.7697082,1,2595,8715.650021791458,0.072342746,1000.0,0.0
24.144531,2596000,-0.020601630210876465,0.07560596,-4777.978481770724,0.0045895902,3.7734451,1,2596,8719.174550533295,0.07560596,1000.0,0.0
24.152456,2597000,0.7145406603813171,0.09822175,-4776.107325029269,0.006457733,3.7627254,1,2597,8722.698575496674,0.09822175,1000.0,0.0
23.747965,2598000,0.3172376751899719,0.08264625,-4779.126707407225,0.007629774,3.7595153,1,2598,8726.226372241974,0.08264625,1000.0,0.0
23.367764,2599000,-0.2189807891845703,0.06964113,-4772.6492731461985,0.004833825,3.762825,1,2599,8729.757587432861,0.06964113,1000.0,0.0
23.522747,2600000,0.12177002429962158,0.06629448,-4765.672311657279,0.003954799,3.776642,1,2600,8733.278930902481,0.06629448,1000.0,0.0
23.565786,2601000,0.059840619564056396,0.074030355,-4766.959805338661,0.0046277246,3.7789674,1,2601,8736.813187360764,0.074030355,1000.0,0.0
23.22742,2602000,0.4197424650192261,0.08939428,-4760.0006298199205,0.005587823,3.7717957,1,2602,8740.351980686188,0.08939428,1000.0,0.0
22.821682,2603000,0.6434158980846405,0.09345834,-4754.473004980675,0.004570671,3.762602,1,2603,8743.878102064133,0.09345834,1000.0,0.0
22.711115,2604000,0.03335440158843994,0.0702509,-4764.384464189126,0.005873833,3.766716,1,2604,8747.406274557114,0.0702509,1000.0,0.0
22.536118,2605000,0.26116377115249634,0.07784335,-4771.200900328041,0.0050411914,3.7556233,1,2605,8750.941142559052,0.07784335,1000.0,0.0
22.166025,2606000,0.3483330011367798,0.08819662,-4782.577692407651,0.0066838153,3.757322,1,2606,8754.46352481842,0.08819662,1000.0,0.0
21.854435,2607000,0.5855939090251923,0.09980406,-4786.477587013347,0.0060290284,3.749329,1,2607,8758.010195732117,0.09980406,1000.0,0.0
21.905664,2608000,0.0702199935913086,0.15381996,-4790.223065677285,0.007983382,3.7504861,1,2608,8761.545955181122,0.15381996,1000.0,0.0
21.890411,2609000,0.07204371690750122,0.10869537,-4790.853072167809,0.0058935294,3.769629,1,2609,8765.085545063019,0.10869537,1000.0,0.0
22.023205,2610000,0.49670523405075073,0.097811684,-4794.100266418951,0.0050715804,3.7843401,1,2610,8768.609440088272,0.097811684,1000.0,0.0
22.129122,2611000,0.29928791522979736,0.09844571,-4801.281780700807,0.00648588,3.794641,1,2611,8772.128703832626,0.09844571,1000.0,0.0
22.265224,2612000,-0.14684724807739258,0.10531079,-4790.423310073119,0.0053196186,3.7872233,1,2612,8775.646958112717,0.10531079,1000.0,0.0
22.170242,2613000,-0.2792168855667114,0.06628466,-4794.708786343571,0.0044450974,3.7842085,1,2613,8779.17653298378,0.06628466,1000.0,0.0
21.97485,2614000,0.5040698349475861,0.08193625,-4791.331248282027,0.0061156135,3.7638469,1,2614,8782.698640584946,0.08193625,1000.0,0.0
22.211397,2615000,0.5944728851318359,0.090908095,-4794.632906098958,0.005092726,3.7761292,1,2615,8786.225227117538,0.090908095,1000.0,0.0
22.106665,2616000,0.3281860947608948,0.12441579,-4794.238992886991,0.008721066,3.7776506,1,2616,8789.75367808342,0.12441579,1000.0,0.0
22.020475,2617000,0.166526198387146,0.083670914,-4795.640117762037,0.005320579,3.7727127,1,2617,8793.284991979599,0.083670914,1000.0,0.0
22.243164,2618000,0.05730682611465454,0.0881021,-4793.862892200443,0.004313618,3.7847004,1,2618,8796.822977781296,0.0881021,1000.0,0.0
22.15808,2619000,-0.5392757654190063,0.081503436,-4802.156813373658,0.0072531626,3.7961197,1,2619,8800.36082148552,0.081503436,1000.0,0.0
21.925465,2620000,0.30225592851638794,0.102255516,-4796.568666982559,0.006662337,3.7934856,1,2620,8803.90050315857,0.102255516,1000.0,0.0
21.871098,2621000,0.08333742618560791,0.07912266,-4801.687431867729,0.00432672,3.7839665,1,2621,8807.446082115173,0.07912266,1000.0,0.0
21.904781,2622000,0.5313076972961426,0.090260595,-4804.995124630659,0.006121009,3.7772517,1,2622,8810.987847805023,0.090260595,1000.0,0.0
21.711031,2623000,0.8644663244485855,0.088545695,-4799.05390220011,0.0052037304,3.7775815,1,2623,8814.539996623993,0.088545695,1000.0,0.0
22.025991,2624000,0.12220603227615356,0.08404195,-4798.9915892967165,0.0061972532,3.7618184,1,2624,8818.073978424072,0.08404195,1000.0,0.0
22.18842,2625000,0.5322138369083405,0.07852769,-4800.896447166534,0.0054062707,3.7577882,1,2625,8821.616146802902,0.07852769,1000.0,0.0
22.14386,2626000,-0.03652167320251465,0.08007653,-4799.661019876449,0.004757762,3.7536378,1,2626,8825.152752399445,0.08007653,1000.0,0.0
22.09821,2627000,0.17771673202514648,0.07555331,-4801.91718643341,0.0057026683,3.7532659,1,2627,8828.697679758072,0.07555331,1000.0,0.0
22.243097,2628000,-0.030932307243347168,0.073845714,-4810.704880072149,0.0043319073,3.7519553,1,2628,8832.235260009766,0.073845714,1000.0,0.0
21.828217,2629000,0.5764082968235016,0.1030614,-4818.779822785887,0.0064948797,3.7620773,1,2629,8835.771518945694,0.1030614,1000.0,0.0
22.193739,2630000,0.4982927441596985,0.07886013,-4824.474378357026,0.0053252066,3.7597733,1,2630,8839.311325788498,0.07886013,1000.0,0.0
22.049591,2631000,0.39343053102493286,0.075209856,-4828.93715606794,0.005024884,3.7492068,1,2631,8842.856008291245,0.075209856,1000.0,0.0
22.152233,2632000,-0.031606435775756836,0.084962055,-4824.626940462028,0.0057151415,3.7485967,1,2632,8846.391568422318,0.084962055,1000.0,0.0
22.32229,2633000,-1.3421480655670166,0.08291665,-4821.978710538557,0.0061707264,3.7396915,1,2633,8849.926431179047,0.08291665,1000.0,0.0
22.292793,2634000,0.07209157943725586,0.075583115,-4819.219875127965,0.004890193,3.7280197,1,2634,8853.461598396301,0.075583115,1000.0,0.0
22.278408,2635000,-0.008878350257873535,0.08204201,-4826.927005481853,0.005632831,3.7210631,1,2635,8857.001789331436,0.08204201,1000.0,0.0
22.146893,2636000,0.7537304162979126,0.09728436,-4831.595808575816,0.0063065654,3.7290647,1,2636,8860.53703904152,0.09728436,1000.0,0.0
22.257517,2637000,0.7932798266410828,0.09201034,-4828.558790966575,0.0046493732,3.7235396,1,2637,8864.072496652603,0.09201034,1000.0,0.0
22.645695,2638000,0.11356115341186523,0.07781197,-4832.552741505373,0.004611618,3.7144759,1,2638,8867.60881638527,0.07781197,1000.0,0.0
22.649887,2639000,-0.44283342361450195,0.10287776,-4844.472848726905,0.0065070195,3.7182374,1,2639,8871.156448841095,0.10287776,1000.0,0.0
22.612757,2640000,-0.2524430751800537,0.08172397,-4854.136998517557,0.006375752,3.7148435,1,2640,8874.704005479813,0.08172397,1000.0,0.0
22.585224,2641000,-0.11555302143096924,0.075405784,-4855.340612455409,0.0046356404,3.7075484,1,2641,8878.24433851242,0.075405784,1000.0,0.0
23.21138,2642000,0.5008789598941803,0.08326432,-4859.565810112512,0.005707261,3.7066736,1,2642,8881.783677816391,0.08326432,1000.0,0.0
23.168188,2643000,0.47684431076049805,0.11568133,-4863.092128961811,0.0057658106,3.7023625,1,2643,8885.327396154404,0.11568133,1000.0,0.0
23.403343,2644000,0.3219760060310364,0.098281324,-4864.504584317567,0.0064485753,3.6942754,1,2644,8888.86687541008,0.098281324,1000.0,0.0
23.379923,2645000,-0.10180425643920898,0.08027272,-4861.462811329901,0.0053793974,3.6846623,1,2645,8892.412586212158,0.08027272,1000.0,0.0
23.693695,2646000,0.015801548957824707,0.08376508,-4865.563792182626,0.005288281,3.6807268,1,2646,8895.955132007599,0.08376508,1000.0,0.0
23.642246,2647000,0.7257966101169586,0.099921845,-4868.646761785191,0.0071627023,3.683836,1,2647,8899.496948242188,0.099921845,1000.0,0.0
