meankl,EpLenMean,optimgain,entropy,TimestepsSoFar,entloss,surrgain,EpRewMean,EpisodesSoFar,EpThisIter,ev_tdlam_before,TimeElapsed
0.0071185,1000.0,0.07830198,6.027842,133000,0.0,0.07830198,-231.67985990709212,133,1,-0.052091360092163086,185.65245389938354
0.0077707563,1000.0,0.08433217,6.029409,134000,0.0,0.08433217,-230.62975168357852,134,1,0.29416507482528687,187.46698880195618
0.007187768,1000.0,0.07888567,5.989227,135000,0.0,0.07888567,-227.9116484832576,135,1,0.23828870058059692,188.97324180603027
0.0075430768,1000.0,0.08697872,5.982908,136000,0.0,0.08697872,-226.5759061521372,136,1,0.2792283892631531,190.5778489112854
0.0072017615,1000.0,0.0821424,5.972776,137000,0.0,0.0821424,-222.80275304312872,137,1,0.2381221055984497,192.04144167900085
0.0076619,1000.0,0.08354224,5.9580107,138000,0.0,0.08354224,-219.68493283323193,138,1,0.4907416105270386,193.57331681251526
0.0073712207,1000.0,0.091611415,5.963745,139000,0.0,0.091611415,-218.5087573609804,139,1,0.4161592721939087,195.20813965797424
0.0076875994,1000.0,0.08252004,5.9549227,140000,0.0,0.08252004,-213.7757791679629,140,1,0.16739743947982788,197.5605080127716
0.007369287,1000.0,0.08110203,5.945679,141000,0.0,0.08110203,-213.0568096308037,141,1,-0.0003877878189086914,199.8968861103058
0.007598749,1000.0,0.07986494,5.9263816,142000,0.0,0.07986494,-211.34440298307135,142,1,0.147016704082489,201.91526794433594
0.00733894,1000.0,0.07750888,5.902213,143000,0.0,0.07750888,-208.16771865674795,143,1,0.01875060796737671,203.42811584472656
0.008214563,1000.0,0.08741431,5.8931804,144000,0.0,0.08741431,-204.19791826315858,144,1,0.37030136585235596,205.01009798049927
0.007118521,1000.0,0.07759313,5.8573337,145000,0.0,0.07759313,-200.07968392062656,145,1,0.3276686668395996,206.63546180725098
0.007018185,1000.0,0.077536285,5.832854,146000,0.0,0.077536285,-195.2444018854032,146,1,0.5650992691516876,208.33461689949036
0.008156566,1000.0,0.08495352,5.8354406,147000,0.0,0.08495352,-190.85839150477494,147,1,0.12548935413360596,209.82989597320557
0.00854153,1000.0,0.07887917,5.8111157,148000,0.0,0.07887917,-189.05617017493336,148,1,0.023066043853759766,211.49114990234375
0.006867177,1000.0,0.07544093,5.819814,149000,0.0,0.07544093,-186.96042859255007,149,1,0.088614821434021,213.0389518737793
0.007944894,1000.0,0.0816056,5.804851,150000,0.0,0.0816056,-184.24734043604388,150,1,-0.11855673789978027,214.47836184501648
0.008636019,1000.0,0.13836221,5.800129,151000,0.0,0.13836221,-180.01003249948525,151,1,0.42825382947921753,215.94562196731567
0.008351868,1000.0,0.07762216,5.7888985,152000,0.0,0.07762216,-174.32477106480218,152,1,0.17613226175308228,217.3628327846527
0.008311296,1000.0,0.08551696,5.7711287,153000,0.0,0.08551696,-170.3657240199603,153,1,-0.38308000564575195,218.8187210559845
0.008480513,1000.0,0.08278799,5.759968,154000,0.0,0.08278799,-166.09757041335843,154,1,0.05124849081039429,220.24586868286133
0.007885612,1000.0,0.086212024,5.7276716,155000,0.0,0.086212024,-163.45924853316507,155,1,-0.12124252319335938,221.80544686317444
0.00725275,1000.0,0.08610521,5.6994977,156000,0.0,0.08610521,-161.21048417139346,156,1,-0.17720627784729004,223.32395482063293
0.007856612,1000.0,0.08114477,5.666667,157000,0.0,0.08114477,-156.72272206564293,157,1,0.10057187080383301,224.8507800102234
0.008017791,1000.0,0.084342234,5.653888,158000,0.0,0.084342234,-154.84405294361224,158,1,0.05295217037200928,226.31516289710999
0.007444578,1000.0,0.07419126,5.6303706,159000,0.0,0.07419126,-149.97525866863393,159,1,0.3746030926704407,228.29397082328796
0.007868402,1000.0,0.091885224,5.6069245,160000,0.0,0.091885224,-149.1916390923815,160,1,-0.2381899356842041,230.12305092811584
0.008106066,1000.0,0.09096594,5.5958223,161000,0.0,0.09096594,-145.03564313387324,161,1,0.0858759880065918,232.5965678691864
0.007888226,1000.0,0.090091616,5.581554,162000,0.0,0.090091616,-140.75379581338643,162,1,0.13604766130447388,234.3038411140442
0.008846451,1000.0,0.086315714,5.550814,163000,0.0,0.086315714,-136.08583777713724,163,1,0.10347729921340942,236.0144808292389
0.008174009,1000.0,0.07857159,5.550692,164000,0.0,0.07857159,-133.7404877457813,164,1,0.14043700695037842,237.65085792541504
0.008150105,1000.0,0.11099324,5.5354357,165000,0.0,0.11099324,-128.38575122535104,165,1,0.2722029685974121,239.89191675186157
0.00791689,1000.0,0.08291231,5.5033374,166000,0.0,0.08291231,-123.27800107857755,166,1,-0.36254870891571045,241.87399888038635
0.0069272793,1000.0,0.07673654,5.4851165,167000,0.0,0.07673654,-119.3638428123038,167,1,0.002192378044128418,243.68146586418152
0.0071104486,1000.0,0.093400694,5.477697,168000,0.0,0.093400694,-116.35045047010496,168,1,0.04474836587905884,245.59512877464294
0.008050471,1000.0,0.081772864,5.4532833,169000,0.0,0.081772864,-109.77125160369391,169,1,0.12932950258255005,247.20491290092468
0.008076409,1000.0,0.08594829,5.4558907,171000,0.0,0.08594829,-100.23323122534961,171,2,0.29680901765823364,248.9153139591217
0.008878006,1000.0,0.09704666,5.4362783,172000,0.0,0.09704666,-95.34536748320014,172,1,-0.028537869453430176,251.15557098388672
0.009182131,1000.0,0.08628523,5.4234276,173000,0.0,0.08628523,-90.07467836029022,173,1,0.17743641138076782,253.10479187965393
0.00850222,1000.0,0.07839232,5.409799,174000,0.0,0.07839232,-82.23651108231907,174,1,0.10891872644424438,254.53424286842346
0.008688312,1000.0,0.08261573,5.4067297,175000,0.0,0.08261573,-75.54619945556374,175,1,0.08747392892837524,256.0751008987427
0.009036807,1000.0,0.089824975,5.3969297,176000,0.0,0.089824975,-70.01761595310852,176,1,0.12984919548034668,257.8182637691498
0.008973714,1000.0,0.09342875,5.380896,177000,0.0,0.09342875,-64.18661005194741,177,1,0.20118677616119385,259.2158417701721
0.008424455,1000.0,0.07978896,5.358399,178000,0.0,0.07978896,-59.2415808665236,178,1,0.2164129614830017,260.72606086730957
0.009813314,1000.0,0.08184396,5.343627,179000,0.0,0.08184396,-53.44662491806612,179,1,0.009147346019744873,262.16845083236694
0.008700684,1000.0,0.10800028,5.3371468,180000,0.0,0.10800028,-51.06141952679396,180,1,0.009868741035461426,263.61660075187683
0.007792504,1000.0,0.08251109,5.3225102,181000,0.0,0.08251109,-45.7211507875688,181,1,0.4290362000465393,265.0300590991974
0.00927785,1000.0,0.085128315,5.31433,182000,0.0,0.085128315,-40.3026701112319,182,1,0.3747096061706543,266.56745886802673
0.008719573,1000.0,0.10439802,5.306848,183000,0.0,0.10439802,-34.94639660428605,183,1,0.08230537176132202,267.94296193122864
0.008947875,1000.0,0.076865196,5.293448,184000,0.0,0.076865196,-31.05763236593962,184,1,0.31262582540512085,269.36328983306885
0.010255215,1000.0,0.09092961,5.2879753,185000,0.0,0.09092961,-25.977875442951976,185,1,0.23533397912979126,270.66857385635376
0.00833737,1000.0,0.080734074,5.2712398,186000,0.0,0.080734074,-21.75400973462436,186,1,0.16954553127288818,272.0298578739166
0.009406587,1000.0,0.08380898,5.245606,187000,0.0,0.08380898,-17.49012860567546,187,1,0.10674118995666504,273.43146085739136
0.008683905,1000.0,0.07886729,5.2385135,188000,0.0,0.07886729,-10.891060207120223,188,1,0.16651874780654907,274.9061508178711
0.007949458,1000.0,0.08660658,5.2322645,189000,0.0,0.08660658,-3.3570177211812746,189,1,-0.009059786796569824,276.49262499809265
0.010658773,1000.0,0.07783846,5.2116723,190000,0.0,0.07783846,5.115872381435689,190,1,0.11857044696807861,277.8555519580841
0.009575467,1000.0,0.08673209,5.191041,191000,0.0,0.08673209,12.170835062480442,191,1,0.030155837535858154,279.32892894744873
0.011497075,1000.0,0.10675205,5.1846547,192000,0.0,0.10675205,16.036205711757358,192,1,0.01805013418197632,280.73445773124695
0.0087956,1000.0,0.07805438,5.183915,193000,0.0,0.07805438,22.44749020828699,193,1,-0.10675382614135742,282.23751187324524
0.008942023,1000.0,0.08380856,5.172571,194000,0.0,0.08380856,16.194412502314407,194,1,0.6782419979572296,283.62064576148987
0.008421906,1000.0,0.092640154,5.1560807,195000,0.0,0.092640154,22.925317349272717,195,1,0.7028888761997223,284.98689007759094
0.010082202,1000.0,0.0855073,5.136644,196000,0.0,0.0855073,28.96125637575019,196,1,0.5824789106845856,286.4010577201843
0.009712585,1000.0,0.08795716,5.1276884,197000,0.0,0.08795716,35.530105713101364,197,1,0.7791348397731781,287.71972370147705
0.010034289,1000.0,0.09230116,5.130213,198000,0.0,0.09230116,40.1735002336297,198,1,0.4808605909347534,289.06206798553467
0.009947517,1000.0,0.105781466,5.1202416,199000,0.0,0.105781466,46.03499134017619,199,1,-0.4033541679382324,290.3933699131012
0.010091902,1000.0,0.08414067,5.1019297,200000,0.0,0.08414067,55.48640521293301,200,1,-0.025905489921569824,291.86108803749084
0.009402294,1000.0,0.088282615,5.093395,201000,0.0,0.088282615,62.236147367688126,201,1,-0.13238346576690674,293.1812138557434
0.009383311,1000.0,0.0842349,5.0841827,202000,0.0,0.0842349,70.78923879858745,202,1,0.31674444675445557,294.5056219100952
0.009465049,1000.0,0.075833686,5.0725102,203000,0.0,0.075833686,78.34334958645483,203,1,-0.051976680755615234,295.8528389930725
