entropy,meankl,surrgain,EpThisIter,EpLenMean,EpisodesSoFar,EpRewMean,TimeElapsed,entloss,optimgain,ev_tdlam_before,TimestepsSoFar,EpTrueRewMean
1.4201359,0.008750826,0.08220951,1,1000.0,3824,19.38179,12267.14010643959,0.0,0.08220951,0.7488108277320862,3824000,-6075.998231401342
1.4213256,0.006286771,0.08204084,1,1000.0,3825,19.457357,12269.551156044006,0.0,0.08204084,0.7430429756641388,3825000,-6093.139959763833
1.422359,0.0073048323,0.08905561,1,1000.0,3826,19.339808,12271.95650267601,0.0,0.08905561,0.7269240319728851,3826000,-6119.87223556522
1.4201521,0.008287812,0.08887784,1,1000.0,3827,19.264294,12274.376680850983,0.0,0.08887784,0.7712063789367676,3827000,-6115.9279986188485
1.4174498,0.00599751,0.1415768,1,1000.0,3828,19.327917,12276.803254842758,0.0,0.1415768,0.5035082697868347,3828000,-6113.685594514689
1.4173278,0.004589753,0.09120561,1,1000.0,3829,19.496914,12279.230933904648,0.0,0.09120561,0.6666995584964752,3829000,-6109.108598903128
1.4151255,0.007005469,0.07456912,1,1000.0,3830,19.68365,12281.65032839775,0.0,0.07456912,0.757508784532547,3830000,-6118.215282104464
1.410873,0.009320495,0.12230213,1,1000.0,3831,19.676952,12284.060636043549,0.0,0.12230213,0.11342006921768188,3831000,-6072.200211303103
1.4087883,0.0059042727,0.08340117,1,1000.0,3832,19.796299,12286.471472978592,0.0,0.08340117,0.6454919576644897,3832000,-6063.887224407465
1.4061428,0.009483349,0.0728971,1,1000.0,3833,19.645538,12288.878217220306,0.0,0.0728971,0.7948038578033447,3833000,-6058.52217493225
1.405212,0.0068288483,0.078717306,1,1000.0,3834,19.578327,12291.280029535294,0.0,0.078717306,0.268673837184906,3834000,-6047.3677173304995
1.4068896,0.0061756917,0.09530456,1,1000.0,3835,19.21777,12293.67859840393,0.0,0.09530456,0.19482731819152832,3835000,-6022.638508959978
1.4081126,0.008337017,0.11622973,1,1000.0,3836,19.11522,12296.080704927444,0.0,0.11622973,0.5961219072341919,3836000,-6021.4468650847175
1.4096639,0.009181252,0.09751594,1,1000.0,3837,18.99844,12298.488629579544,0.0,0.09751594,0.8810271844267845,3837000,-6027.742745683491
1.4118961,0.0048729456,0.07377806,1,1000.0,3838,18.834913,12300.887212276459,0.0,0.07377806,0.6498612761497498,3838000,-6021.838681425028
1.409242,0.010263415,0.11284223,2,1000.0,3840,18.667355,12303.279423475266,0.0,0.11284223,0.6056927442550659,3840000,-6025.216024912834
1.4052681,0.008549502,0.08581569,1,1000.0,3841,18.3995,12305.669450998306,0.0,0.08581569,0.8570528328418732,3841000,-6062.5767711842755
1.412556,0.008899697,0.082156554,1,1000.0,3842,18.256649,12308.062505483627,0.0,0.082156554,0.6941231191158295,3842000,-6090.60894782767
1.4089967,0.00625112,0.08388537,1,1000.0,3843,18.316748,12310.461579799652,0.0,0.08388537,0.7318976819515228,3843000,-6101.548363447558
1.4052888,0.0054210844,0.074652575,1,1000.0,3844,18.43797,12312.85242843628,0.0,0.074652575,0.902882918715477,3844000,-6098.747506254871
1.4043423,0.007201463,0.0835361,1,1000.0,3845,18.33587,12315.25199007988,0.0,0.0835361,0.5077554285526276,3845000,-6113.116658971046
1.4009911,0.0060010487,0.085924685,1,1000.0,3846,17.94249,12317.646037101746,0.0,0.085924685,0.48204392194747925,3846000,-6101.071796706426
1.4079299,0.0075476863,0.083076745,1,1000.0,3847,17.826395,12320.067042350769,0.0,0.083076745,0.9578435681760311,3847000,-6089.010627530025
1.406859,0.00489041,0.06813295,1,1000.0,3848,17.655512,12322.478843450546,0.0,0.06813295,0.7281520068645477,3848000,-6065.97277628496
