EpThisIter,meankl,EpisodesSoFar,TimeElapsed,ev_tdlam_before,EpTrueRewMean,EpRewMean,optimgain,TimestepsSoFar,surrgain,EpLenMean,entloss,entropy
1,0.00424564,3702,12053.232320547104,0.04703044891357422,-1824.1436149386543,34.826992,0.066846624,3702000,0.066846624,1000.0,0.0,2.3062472
1,0.004454085,3703,12055.622317552567,0.06388121843338013,-1818.2186502273853,34.912373,0.06404303,3703000,0.06404303,1000.0,0.0,2.293019
1,0.0040711714,3704,12058.01462507248,-0.05012822151184082,-1818.5167958463699,34.776936,0.069474064,3704000,0.069474064,1000.0,0.0,2.2859628
1,0.005117826,3705,12060.407077789307,0.08252829313278198,-1818.9266854333207,34.52137,0.07314268,3705000,0.07314268,1000.0,0.0,2.2898862
1,0.004667326,3706,12062.796496391296,0.12007886171340942,-1778.860230114639,34.574608,0.069527894,3706000,0.069527894,1000.0,0.0,2.2770207
1,0.0042971363,3707,12065.188864469528,0.0637197494506836,-1729.1177428096503,34.675404,0.056615286,3707000,0.056615286,1000.0,0.0,2.2844365
1,0.0050416174,3708,12067.589014053345,0.9360485598444939,-1712.044622509306,34.892494,0.08269283,3708000,0.08269283,1000.0,0.0,2.277835
1,0.005407463,3709,12069.97485923767,0.8152249753475189,-1715.1773651121396,34.597046,0.07965179,3709000,0.07965179,1000.0,0.0,2.2725353
1,0.0041879644,3710,12072.36371088028,-0.01721048355102539,-1719.289971884909,34.42043,0.07424264,3710000,0.07424264,1000.0,0.0,2.2712808
2,0.0040571634,3712,12074.74738073349,0.05411332845687866,-1537.1355182285486,34.90264,0.06833656,3712000,0.06833656,1000.0,0.0,2.2805965
1,0.0050646057,3713,12077.15470457077,0.9302189126610756,-1594.2165019077552,34.26311,0.09530902,3713000,0.09530902,1000.0,0.0,2.2855709
1,0.0051446883,3714,12079.543695688248,0.01524430513381958,-1589.1331953272868,34.262,0.08374025,3714000,0.08374025,1000.0,0.0,2.2738373
1,0.0042299437,3715,12081.94170832634,0.021813273429870605,-1586.9487266941942,34.42327,0.066073105,3715000,0.066073105,1000.0,0.0,2.264882
1,0.004117082,3716,12084.348987102509,0.059172093868255615,-1584.4662000010253,34.68297,0.065516606,3716000,0.065516606,1000.0,0.0,2.2694576
1,0.004650344,3717,12086.736558437347,0.16724461317062378,-1581.4230283722816,34.769295,0.06790069,3717000,0.06790069,1000.0,0.0,2.2609284
1,0.0047855815,3718,12089.128041028976,0.05646544694900513,-1579.3189362187277,34.95812,0.06727624,3718000,0.06727624,1000.0,0.0,2.2675369
1,0.004734214,3719,12091.521152734756,0.0388370156288147,-1548.829408550581,35.23877,0.06829696,3719000,0.06829696,1000.0,0.0,2.2688324
1,0.0044857245,3720,12093.92553448677,0.043686628341674805,-1544.1850096886435,35.24415,0.07232055,3720000,0.07232055,1000.0,0.0,2.268603
1,0.0045948774,3721,12096.337595701218,0.9486119411885738,-1538.5451420591883,35.244373,0.07023926,3721000,0.07023926,1000.0,0.0,2.2572947
1,0.004576194,3722,12098.74163532257,0.07663333415985107,-1538.8935224977536,35.12389,0.06648311,3722000,0.06648311,1000.0,0.0,2.2537098
1,0.004101269,3723,12101.134942770004,0.059473395347595215,-1452.9763851595321,35.950756,0.073300235,3723000,0.073300235,1000.0,0.0,2.2517083
1,0.0043492806,3724,12103.533100605011,0.08105921745300293,-1449.2279369879057,36.198956,0.06412502,3724000,0.06412502,1000.0,0.0,2.2491465
1,0.00508275,3725,12105.923829555511,0.7415147125720978,-1416.3804800094783,36.420574,0.08168098,3725000,0.08168098,1000.0,0.0,2.2429674
2,0.0042213663,3727,12108.324969530106,0.33315324783325195,-1290.5311649532512,37.604176,0.07101003,3727000,0.07101003,1000.0,0.0,2.2481656
1,0.004737363,3728,12110.715161323547,0.025411367416381836,-1288.0238740976836,37.374336,0.06492708,3728000,0.06492708,1000.0,0.0,2.2516282
1,0.0044267885,3729,12113.102636098862,0.13740354776382446,-1276.8322711456553,37.21947,0.06319836,3729000,0.06319836,1000.0,0.0,2.2540903
1,0.004361378,3730,12115.491107225418,0.04912060499191284,-1275.0216516113637,37.130558,0.06757633,3730000,0.06757633,1000.0,0.0,2.2463982
1,0.0048225,3731,12117.880243778229,-0.025561213493347168,-1277.3614852512599,36.721336,0.07858935,3731000,0.07858935,1000.0,0.0,2.233205
1,0.004061346,3732,12120.274341583252,0.00851374864578247,-1185.7839019222934,37.081768,0.065919876,3732000,0.065919876,1000.0,0.0,2.229188
1,0.004241679,3733,12122.667655467987,0.010313034057617188,-1184.9869493474785,36.786324,0.06794463,3733000,0.06794463,1000.0,0.0,2.2246509
1,0.0046038297,3734,12125.059573411942,0.8146954625844955,-1203.6887887468313,36.227608,0.07723089,3734000,0.07723089,1000.0,0.0,2.2271247
1,0.004308569,3735,12127.445263147354,0.11186730861663818,-1205.9434846323852,35.601326,0.06921907,3735000,0.06921907,1000.0,0.0,2.2200344
1,0.0056243497,3736,12129.834558963776,0.06106024980545044,-1205.3794218880953,35.39402,0.06770838,3736000,0.06770838,1000.0,0.0,2.213521
1,0.0045232903,3737,12132.243741750717,0.24848365783691406,-1276.0523336004337,34.771744,0.059356976,3737000,0.059356976,1000.0,0.0,2.2051365
1,0.0043315887,3738,12134.630039930344,0.04013901948928833,-1274.5722519292597,35.109814,0.072095744,3738000,0.072095744,1000.0,0.0,2.210419
1,0.0045067845,3739,12137.02048945427,0.2686682343482971,-1267.4103804106858,35.42214,0.07009684,3739000,0.07009684,1000.0,0.0,2.20694
1,0.0040663145,3740,12139.402659654617,0.14122551679611206,-1256.4701942768697,35.719997,0.068669446,3740000,0.068669446,1000.0,0.0,2.2077131
2,0.0047115413,3742,12141.804952859879,0.005762457847595215,-1244.2451442430347,35.855747,0.064082146,3742000,0.064082146,1000.0,0.0,2.2125547
1,0.0040194504,3743,12144.193202257156,0.09579747915267944,-1243.769607486218,36.094128,0.062190864,3743000,0.062190864,1000.0,0.0,2.2142668
1,0.00465386,3744,12146.583317518234,0.5332511365413666,-1237.7322671783802,36.183704,0.07151285,3744000,0.07151285,1000.0,0.0,2.2156687
1,0.004219239,3745,12148.988140821457,0.2046082615852356,-1235.8012487913052,36.359745,0.0684686,3745000,0.0684686,1000.0,0.0,2.2194388
1,0.0042746584,3746,12151.379316091537,0.6928183734416962,-1273.0252484327978,36.396988,0.07794464,3746000,0.07794464,1000.0,0.0,2.222914
