surrgain,EpThisIter,TimeElapsed,entropy,entloss,TimestepsSoFar,EpisodesSoFar,EpLenMean,meankl,optimgain,EpTrueRewMean,ev_tdlam_before,EpRewMean
0.16815981,11,2217.452266216278,23.503984,0.0,483875,6289,89.6,0.0050124605,0.16815981,432.26939724168307,0.34841543436050415,1.9074891
0.2577224,11,2222.10577917099,23.501936,0.0,484890,6300,90.525,0.004902667,0.2577224,439.4345439370938,0.0641966462135315,1.9392658
0.19655848,10,2226.7605016231537,23.503254,0.0,485881,6310,93.575,0.004863109,0.19655848,451.2357274382389,0.37537258863449097,2.033619
0.1807661,12,2231.421660900116,23.503656,0.0,486835,6322,88.45,0.005335623,0.1807661,426.38320030624845,0.3610175848007202,1.6269605
0.13864326,11,2236.0815477371216,23.501886,0.0,487856,6333,90.55,0.004802822,0.13864326,435.1232049689828,0.5199826061725616,1.4245827
0.23677734,12,2240.747926712036,23.500486,0.0,488963,6345,90.525,0.0050053634,0.23677734,431.4163189286916,-0.035063743591308594,1.527114
0.15317944,12,2245.5368208885193,23.499735,0.0,490023,6357,91.375,0.004574275,0.15317944,436.42879328013987,0.7014967203140259,1.4505861
0.17471123,12,2250.2961230278015,23.500467,0.0,491051,6369,87.875,0.0052222777,0.17471123,425.22943405519453,0.657431036233902,1.4029703
0.32941872,11,2255.067371368408,23.499006,0.0,492058,6380,88.9,0.004645161,0.32941872,428.95907884830194,0.4960636496543884,1.5452114
0.15840498,12,2259.8351242542267,23.49798,0.0,493097,6392,87.175,0.004846255,0.15840498,421.03384785527396,0.34360092878341675,1.5089241
0.39399529,11,2264.6089284420013,23.498026,0.0,494125,6403,89.6,0.006129561,0.39399529,431.0282830762926,0.4086552858352661,1.7072121
0.25826496,12,2269.355175256729,23.496824,0.0,495148,6415,88.75,0.0048145666,0.25826496,435.547122718743,0.05682873725891113,1.8909534
0.27903086,12,2274.1144762039185,23.49611,0.0,496185,6427,89.55,0.0066273115,0.27903086,437.68646947281104,0.3605579137802124,1.8072684
0.18814752,12,2278.8733246326447,23.497297,0.0,497194,6439,85.3,0.005074823,0.18814752,413.83251821605546,0.7148475050926208,1.6291411
0.23323283,12,2283.9143307209015,23.497622,0.0,498200,6451,84.3,0.0046028704,0.23323283,408.8705733158007,0.3203774094581604,1.5295414
0.14602801,12,2288.905188560486,23.498945,0.0,499194,6463,83.95,0.004780244,0.14602801,405.1261747126044,0.21489804983139038,1.4590052
0.24063048,12,2293.5599143505096,23.498226,0.0,500239,6475,84.75,0.0054048584,0.24063048,414.79347021953583,0.24831736087799072,1.5819471
0.32289952,13,2298.2118690013885,23.497782,0.0,501280,6488,83.7,0.004965583,0.32289952,402.6699201764337,0.1644594669342041,1.6260544
0.14142159,11,2302.849030971527,23.496809,0.0,502324,6499,87.275,0.004278181,0.14142159,421.9879815255711,0.3443416953086853,1.7595761
0.38388216,12,2308.0260531902313,23.494791,0.0,503347,6511,87.45,0.005333962,0.38388216,423.00564883511345,0.33403468132019043,1.6706231
0.32850873,12,2312.7574334144592,23.493975,0.0,504338,6523,85.725,0.0056023803,0.32850873,418.4952819159312,0.22772330045700073,1.4663227
0.19597328,11,2317.4641451835632,23.495039,0.0,505377,6534,88.0,0.005388488,0.19597328,426.346652599039,0.5666861832141876,1.4433647
0.118450806,11,2322.196084022522,23.494123,0.0,506386,6545,87.9,0.004451607,0.118450806,424.91468194233374,0.15942156314849854,1.4219053
0.14937511,12,2326.9287135601044,23.495283,0.0,507387,6557,87.3,0.0046926476,0.14937511,426.53250102960357,0.47513824701309204,1.4056966
0.30355704,11,2331.676146507263,23.494692,0.0,508399,6568,89.85,0.0057403008,0.30355704,440.1610078550222,0.21769237518310547,1.486226
0.16341278,12,2336.849450111389,23.494452,0.0,509406,6580,86.925,0.0057797497,0.16341278,426.92840687672015,0.7344026863574982,1.476952
0.23819736,13,2341.447897911072,23.493975,0.0,510426,6593,83.425,0.0055815424,0.23819736,409.09871261559954,0.4195188879966736,1.5252217
0.30368248,10,2346.7502031326294,23.493818,0.0,511438,6603,89.075,0.0051328554,0.30368248,433.0499606842642,0.5711890757083893,1.5707738
0.20948613,12,2351.6130459308624,23.493164,0.0,512474,6615,86.75,0.0051335925,0.20948613,422.192319626057,0.6809447109699249,1.4426544
0.1808964,12,2356.2576491832733,23.494867,0.0,513551,6627,88.875,0.0053625223,0.1808964,432.85316977001423,0.625578910112381,1.4816914
0.14893189,11,2361.267915725708,23.494646,0.0,514519,6638,88.475,0.004662209,0.14893189,426.152956964347,0.7627180814743042,1.3691196
0.18563566,13,2365.9331755638123,23.493326,0.0,515605,6651,85.8,0.005216979,0.18563566,412.8056735244836,0.4793357849121094,1.3041234
0.35823935,11,2370.612165212631,23.491701,0.0,516603,6662,86.025,0.005577036,0.35823935,418.56612192436097,0.5311961770057678,1.4121515
0.17313972,13,2375.2924757003784,23.491293,0.0,517729,6675,87.075,0.004983731,0.17313972,424.78575508693046,0.616056889295578,1.4034145
0.31097525,12,2379.963608980179,23.490904,0.0,518773,6687,90.125,0.0050084763,0.31097525,438.8830569165393,0.07654803991317749,1.5531297
0.23531722,12,2384.6312577724457,23.493248,0.0,519839,6699,87.9,0.0049557565,0.23531722,423.86633679013903,0.5331363677978516,1.5235227
0.20089477,11,2389.2832305431366,23.492693,0.0,520796,6710,85.95,0.005170572,0.20089477,408.6248747433416,0.7521895915269852,1.36282
0.2038238,10,2393.9506645202637,23.49367,0.0,521792,6720,90.575,0.005222505,0.2038238,428.61119191110026,-0.17765295505523682,1.3584249
0.3730628,11,2398.627176761627,23.493834,0.0,522781,6731,92.15,0.0062474385,0.3730628,435.5281723594595,-0.18238580226898193,1.5639074
0.16481766,11,2403.2927339076996,23.495932,0.0,523844,6742,93.625,0.004860568,0.16481766,440.9746952162801,0.20959043502807617,1.5212501
0.3337807,10,2407.98108458519,23.49634,0.0,524837,6752,95.575,0.0064279297,0.3337807,455.2231972815422,0.455907940864563,1.8202553
0.20209421,12,2412.6460840702057,23.496893,0.0,525919,6764,94.6,0.0059480015,0.20209421,448.4662451439781,0.30370402336120605,1.8730409
0.14578548,12,2417.3237116336823,23.49616,0.0,527009,6776,92.475,0.00462676,0.14578548,439.2496494615245,0.11879271268844604,1.6178648
0.14046945,11,2421.9947736263275,23.495768,0.0,528110,6787,94.825,0.004366378,0.14046945,452.512170475114,0.5738109648227692,1.566952
0.2103079,12,2426.831179857254,23.495607,0.0,529067,6799,89.375,0.005505579,0.2103079,426.4038573443364,0.2992073893547058,1.2528657
0.23879491,11,2431.44628238678,23.494875,0.0,530094,6810,89.1,0.004630037,0.23879491,425.854901260882,0.3175026774406433,1.5016245
0.14729498,12,2436.4540708065033,23.494623,0.0,531121,6822,88.5,0.004501261,0.14729498,420.25935650394257,0.5621911287307739,1.4931605
0.31772116,11,2441.0418429374695,23.496405,0.0,532124,6833,88.4,0.005735662,0.31772116,421.1651663794704,0.30583906173706055,1.7948452
0.16236033,11,2445.635027885437,23.496012,0.0,533194,6844,92.15,0.005051107,0.16236033,445.3993042101829,0.6895361244678497,1.8065342
0.16069947,13,2450.645836830139,23.494463,0.0,534223,6857,87.55,0.0055968445,0.16069947,424.57072890909706,0.34947723150253296,1.6153488
0.19130719,12,2455.7669241428375,23.494608,0.0,535260,6869,87.0,0.0056740055,0.19130719,420.0809974058113,0.1696285605430603,1.484746
0.17822605,12,2460.3907124996185,23.49227,0.0,536309,6881,84.925,0.00568882,0.17822605,409.07764870634236,0.5019937753677368,1.4321849
1.0230693,12,2465.0300352573395,23.49367,0.0,537350,6893,84.65,0.005769382,1.0230693,411.87924798873536,0.09188491106033325,1.5913533
0.400466,12,2469.6801731586456,23.491926,0.0,538399,6905,86.975,0.0061330297,0.400466,428.2515014886092,0.1380482316017151,1.7277931
0.15598498,12,2474.657355070114,23.492739,0.0,539415,6917,86.5,0.004517222,0.15598498,422.9167382913778,0.12040328979492188,1.7078409
0.16239199,13,2479.7143003940582,23.492594,0.0,540510,6930,85.675,0.005331593,0.16239199,411.3518533518392,0.49429863691329956,1.3916976
0.17648005,10,2484.5512845516205,23.491682,0.0,541556,6940,90.375,0.0050468952,0.17648005,425.87337435145565,0.48836958408355713,1.2554008
0.34492582,11,2489.2002635002136,23.4909,0.0,542613,6951,93.225,0.0062667415,0.34492582,439.9625846996115,0.035995543003082275,1.4822357
0.16666983,10,2493.964110851288,23.491518,0.0,543524,6961,94.65,0.0044775647,0.16666983,446.79305580580547,0.5532613694667816,1.5532197
0.1688452,11,2499.2165174484253,23.490479,0.0,544565,6972,96.525,0.005309989,0.1688452,455.46659927415567,0.6605368256568909,1.6063029
0.24751934,12,2503.8057219982147,23.491293,0.0,545580,6984,90.975,0.00640285,0.24751934,430.58466906670645,0.6140228807926178,1.432353
0.17150357,11,2508.3960976600647,23.491617,0.0,546572,6995,90.25,0.0049093273,0.17150357,427.3401209552608,0.7672812044620514,1.4517093
0.22180083,12,2512.997185230255,23.490398,0.0,547605,7007,87.7,0.0052318377,0.22180083,425.2900194109623,0.7353737652301788,1.3646766
0.19376862,12,2517.6042714118958,23.488775,0.0,548621,7019,88.125,0.0054358137,0.19376862,425.76794756193647,0.6108006238937378,1.4222795
0.1926345,12,2522.1885192394257,23.488543,0.0,549688,7031,86.8,0.0050577284,0.1926345,418.47837243800586,0.7220069766044617,1.2877647
0.17427295,12,2526.7704231739044,23.488771,0.0,550763,7043,88.775,0.004759591,0.17427295,431.56296039006736,0.5374359488487244,1.4089952
0.4887429,11,2531.3752269744873,23.489008,0.0,551767,7054,88.425,0.006080255,0.4887429,429.52308276432433,0.32043421268463135,1.3730744
0.1731978,11,2535.9533321857452,23.490961,0.0,552780,7065,90.075,0.004832068,0.1731978,439.8039737308178,0.5596844553947449,1.3620327
0.1608042,12,2540.5369679927826,23.49268,0.0,553798,7077,90.125,0.004718073,0.1608042,435.74817096689657,0.6240261495113373,1.3020501
0.2577905,12,2545.1105999946594,23.490236,0.0,554800,7089,87.95,0.0055177184,0.2577905,420.10875104493664,-0.11344587802886963,1.527982
