entropy,meankl,EpThisIter,optimgain,EpRewMean,EpisodesSoFar,TimestepsSoFar,entloss,ev_tdlam_before,TimeElapsed,EpLenMean,surrgain
3.366939,0.011924981,1,0.103781074,2229.3670213560863,3322,731411,0.0,0.912254810333252,1149.636176109314,551.725,0.103781074
3.3734143,0.013761216,2,0.08017606,2255.720455402095,3324,732632,0.0,0.6604690849781036,1151.0492579936981,557.925,0.08017606
3.386593,0.013619492,1,0.066642694,2347.3791908754188,3325,733632,0.0,0.2837114930152893,1152.4467101097107,578.2,0.066642694
3.3858814,0.011142272,2,0.08317171,2386.1569685656154,3327,735090,0.0,0.9222936108708382,1153.9370532035828,586.375,0.08317171
3.3493085,0.011579679,1,0.070808895,2478.1923652033865,3328,736090,0.0,0.20666366815567017,1155.4250571727753,605.9,0.070808895
3.3392942,0.011939276,1,0.09580031,2511.6123268489455,3329,736760,0.0,0.8890482261776924,1156.8393909931183,613.175,0.09580031
3.3348207,0.012883788,1,0.06923042,2569.380038215885,3330,737760,0.0,0.1616610288619995,1158.2664020061493,624.625,0.06923042
3.3451576,0.012942222,1,0.08335167,2547.5139851701583,3331,738480,0.0,0.9356933012604713,1159.6300480365753,617.625,0.08335167
3.345685,0.013529825,5,0.079233974,2413.618761196897,3336,740253,0.0,0.7159561216831207,1161.2347702980042,588.75,0.079233974
3.351057,0.012103352,1,0.07603183,2371.2685362442307,3337,740651,0.0,0.6442208290100098,1162.60338306427,579.425,0.07603183
3.3166354,0.012182446,1,0.073309675,2431.4820604654797,3338,741651,0.0,0.12381678819656372,1164.3158242702484,592.075,0.073309675
3.2989538,0.011662785,1,0.06860456,2428.7313170400666,3339,742651,0.0,0.1901860237121582,1165.8939793109894,592.075,0.06860456
3.2865026,0.010974105,1,0.071510345,2480.5484885798214,3340,743651,0.0,0.23159688711166382,1167.4679012298584,603.375,0.071510345
3.2921927,0.011483069,1,0.067719355,2486.555443224382,3341,744651,0.0,0.4020702838897705,1169.0543191432953,603.375,0.067719355
3.2891376,0.013313172,2,0.07379952,2583.8410745090346,3343,746487,0.0,0.6318264603614807,1170.4857022762299,623.575,0.07379952
3.2882042,0.013785247,1,0.08529356,2558.734693562732,3344,747188,0.0,0.7799161672592163,1171.9952220916748,616.1,0.08529356
3.2875829,0.012258077,1,0.09549785,2565.1353522145155,3345,748128,0.0,0.9081338420510292,1173.4632031917572,616.275,0.09549785
3.2628934,0.012029154,1,0.062692165,2616.7638781189585,3346,749128,0.0,0.40728646516799927,1174.983751296997,626.4,0.062692165
3.2653244,0.010710965,1,0.091936946,2595.219900623433,3347,749636,0.0,0.9663172289729118,1176.3522019386292,621.55,0.091936946
3.280686,0.012373809,3,0.07041336,2664.0008057261066,3350,751337,0.0,0.734563410282135,1177.792786359787,636.9,0.07041336
3.274292,0.012103015,1,0.068050206,2739.092206650209,3351,752337,0.0,0.1806756854057312,1179.2745289802551,653.4,0.068050206
3.3212278,0.010878165,1,0.06753491,2743.3042339459544,3352,753337,0.0,-0.275099515914917,1180.6927452087402,653.4,0.06753491
3.3671267,0.011069987,2,0.061716665,2737.91822945068,3354,754570,0.0,0.6046880185604095,1182.1519241333008,652.525,0.061716665
3.3587024,0.014469299,2,0.09520261,2796.0952170034607,3356,755558,0.0,0.9590774551033974,1183.507921218872,664.85,0.09520261
3.3450747,0.012326726,1,0.090028286,2722.7554302630215,3357,755893,0.0,0.9647724628448486,1185.0959453582764,648.225,0.090028286
3.3716905,0.012966638,3,0.064854525,2766.463714567305,3360,757244,0.0,0.736661821603775,1186.5097742080688,657.875,0.064854525
3.39107,0.012995724,1,0.07402508,2855.702776172507,3361,758178,0.0,0.8247021287679672,1187.9078812599182,676.65,0.07402508
3.364929,0.012854798,2,0.093954355,2874.076949740135,3363,759590,0.0,0.8942808508872986,1189.2856662273407,679.475,0.093954355
3.3663945,0.011960395,1,0.1566612,2874.602156363397,3364,759838,0.0,0.9420102909207344,1190.7844772338867,680.15,0.1566612
3.3401444,0.011654139,2,0.0633447,2881.2307579851486,3366,761838,0.0,0.19494026899337769,1192.1432321071625,681.725,0.0633447
3.3230443,0.014390884,1,0.11614685,2895.7588684685306,3367,762469,0.0,0.8910657241940498,1193.6246931552887,684.475,0.11614685
3.3349438,0.011483942,1,0.08062855,2852.3031251539505,3368,763081,0.0,0.9438656903803349,1195.192092180252,674.775,0.08062855
3.347413,0.011568131,2,0.07637263,2856.455622634494,3370,764763,0.0,0.648450642824173,1196.578518152237,675.075,0.07637263
3.3312376,0.0126458835,1,0.09354328,2831.666312018942,3371,765265,0.0,0.9357243031263351,1198.053394317627,669.625,0.09354328
3.3267817,0.0108223725,2,0.07048754,2860.5265111940325,3373,766644,0.0,0.6365933120250702,1199.4101572036743,675.5,0.07048754
3.3529224,0.012018091,1,0.07461506,2953.7171560992356,3374,767644,0.0,-0.0960310697555542,1200.8252952098846,695.75,0.07461506
3.3420873,0.011811079,1,0.066301174,3038.444284291698,3375,768644,0.0,0.05305296182632446,1202.2052762508392,714.675,0.066301174
3.3235621,0.011981601,1,0.08070333,3091.378408445284,3376,769309,0.0,0.9382666349411011,1203.6731519699097,726.4,0.08070333
3.2993593,0.010994306,3,0.0678143,3003.760615828178,3379,770963,0.0,0.7164963483810425,1205.115828037262,707.8,0.0678143
