entropy,TimeElapsed,optimgain,EpTrueRewMean,EpThisIter,EpisodesSoFar,TimestepsSoFar,meankl,surrgain,ev_tdlam_before,EpLenMean,EpRewMean,entloss
8.133183,818.321679353714,0.092695266,837.1133665830221,2,468,217572,0.0081009865,0.092695266,0.05308157205581665,582.575,213.84628,0.0
8.134021,822.3303530216217,0.15509853,799.3423150714689,2,470,218136,0.008883791,0.15509853,0.7724035233259201,552.25,203.13425,0.0
8.137315,826.3409967422485,0.19847728,827.8477506574725,2,472,219530,0.008389642,0.19847728,0.8538520932197571,562.95,207.02075,0.0
8.130192,830.3540613651276,0.11600248,871.9587223950136,2,474,221307,0.008744359,0.11600248,0.8598625212907791,594.175,214.33772,0.0
8.132434,834.3673889636993,0.11962887,891.4622094126746,1,475,222188,0.008592321,0.11962887,0.823330819606781,611.55,218.90132,0.0
8.141414,838.3857839107513,0.11132523,903.5352450231434,2,477,223474,0.008255623,0.11132523,0.6591416001319885,625.5,219.4543,0.0
8.136608,842.4009079933167,0.12641847,925.9397746448452,3,480,224879,0.009139978,0.12641847,0.8688727766275406,632.45,220.21729,0.0
8.143325,846.4129140377045,0.09280307,922.9639916952088,2,482,226013,0.009118533,0.09280307,0.8834544643759727,633.6,218.29887,0.0
8.140259,850.4291298389435,0.096061826,914.2819274124843,2,484,226797,0.009087238,0.096061826,0.8284589052200317,629.15,214.25894,0.0
8.144945,854.4446144104004,0.09386408,896.8216407527962,3,487,228065,0.008811485,0.09386408,0.8769853636622429,609.125,206.54204,0.0
8.14775,858.4549000263214,0.108906835,892.4501524906791,1,488,228583,0.008189585,0.108906835,0.5905741453170776,603.975,204.24907,0.0
8.160582,862.4634428024292,0.0812778,907.1395339922852,1,489,229583,0.009854628,0.0812778,0.08488184213638306,618.35,206.9438,0.0
8.156813,866.4727897644043,0.12552933,886.8235768108119,2,491,230554,0.008734325,0.12552933,0.696041613817215,595.325,200.27307,0.0
8.139714,870.4813947677612,0.090981096,908.3259848790636,1,492,231554,0.008148903,0.090981096,0.12779754400253296,613.375,203.75073,0.0
8.136654,874.4855401515961,0.10945761,908.1504113193984,1,493,232008,0.008201253,0.10945761,0.4206121563911438,614.125,202.89348,0.0
8.123538,878.4912796020508,0.103576705,892.8126051574607,3,496,233687,0.00839472,0.103576705,0.7557409852743149,608.125,197.93289,0.0
8.131177,882.5034914016724,0.09810329,876.4109518566016,3,499,235314,0.00837237,0.09810329,0.5162637829780579,602.35,191.65897,0.0
8.123365,886.5133402347565,0.10655382,892.4623760111033,2,501,236351,0.008986719,0.10655382,0.7540706396102905,613.95,195.2965,0.0
8.130497,890.5228469371796,0.082565725,902.2125223492925,1,502,237351,0.008161244,0.082565725,-0.012104034423828125,615.525,195.80254,0.0
8.144028,894.5387029647827,0.09781304,889.4166091440359,2,504,238534,0.008360287,0.09781304,0.919428251683712,596.125,191.14983,0.0
8.149714,898.5446338653564,0.07581327,890.7018725365922,1,505,239534,0.008713091,0.07581327,0.030021190643310547,604.675,191.32132,0.0
8.158557,902.5512773990631,0.10415833,877.7156360524023,2,507,240716,0.008532504,0.10415833,0.6919408440589905,584.225,185.81522,0.0
8.145618,906.5592234134674,0.105605684,889.9817738294948,2,509,241542,0.00865603,0.105605684,0.7775799483060837,589.575,186.51436,0.0
8.16478,910.5662786960602,0.071275145,911.7161875430996,1,510,242542,0.008776175,0.071275145,0.0003517270088195801,610.15,190.8595,0.0
8.151981,914.5787191390991,0.09549304,861.7535392152935,4,514,244137,0.009158773,0.09549304,0.8127324432134628,570.75,177.55417,0.0
8.149,918.5970711708069,0.09679721,867.4519159468833,1,515,245137,0.008335691,0.09679721,0.27707576751708984,573.725,177.05185,0.0
8.150622,922.6158759593964,0.10569638,859.3358830778309,2,517,245892,0.008929783,0.10569638,0.7754984200000763,560.45,174.628,0.0
8.155746,926.619432926178,0.11976206,846.3788031457891,1,518,246513,0.009287696,0.11976206,0.8886782974004745,554.625,171.6386,0.0
8.154293,930.6248588562012,0.1275537,883.4447138265787,2,520,247972,0.008884848,0.1275537,0.5524181127548218,577.325,177.4554,0.0
8.148024,934.6319532394409,0.10123356,876.2543501145167,2,522,248837,0.008667299,0.10123356,0.8345450609922409,570.6,174.61687,0.0
8.151016,938.6441295146942,0.12512189,897.2173709321727,1,523,249587,0.009368132,0.12512189,0.8189135640859604,581.525,178.13777,0.0
8.135253,942.6458504199982,0.18252091,913.8212019352619,1,524,250442,0.008719144,0.18252091,0.7667963206768036,591.125,180.79361,0.0
8.143906,946.6504685878754,0.10614824,931.6775805713627,2,526,252089,0.008784872,0.10614824,0.5356231927871704,605.85,183.24438,0.0
8.139833,950.6622984409332,0.09171492,952.6540172387749,1,527,253089,0.009444693,0.09171492,-0.030136704444885254,625.6,187.129,0.0
8.152097,954.6688494682312,0.10549145,942.1981253935404,2,529,254196,0.008687856,0.10549145,0.8848766162991524,615.325,183.71951,0.0
8.181018,958.6718473434448,0.11857362,935.8169960158244,1,530,254775,0.008845731,0.11857362,0.9041690304875374,614.025,181.72285,0.0
8.170517,962.6781442165375,0.11649583,937.3890185262408,1,531,255214,0.008026854,0.11649583,0.8574981391429901,616.5,181.31407,0.0
8.163212,966.6839230060577,0.12760726,926.4977733346266,1,532,255838,0.009417502,0.12760726,0.7506961226463318,607.1,178.43686,0.0
8.168869,970.6835672855377,0.12853053,935.5414878993419,1,533,256526,0.009908226,0.12853053,0.5265647172927856,612.95,179.93202,0.0
8.1672325,974.6845593452454,0.09341277,933.4177474144963,1,534,257526,0.008402733,0.09341277,0.3075825572013855,612.95,178.31271,0.0
8.17072,978.6824209690094,0.11833536,947.1452344810847,1,535,258446,0.008521415,0.11833536,0.8209530711174011,623.525,180.078,0.0
8.162951,982.6869425773621,0.11431719,969.4905815182672,1,536,259392,0.011375247,0.11431719,0.4932577610015869,642.625,183.52173,0.0
8.162853,986.6934690475464,0.09440945,976.7606106529216,1,537,260392,0.009588062,0.09440945,0.0010209083557128906,642.625,183.23201,0.0
8.169662,990.6990275382996,0.103382826,981.637395253322,2,539,261420,0.008690644,0.103382826,0.7944451123476028,652.65,183.21852,0.0
8.1792145,994.7055032253265,0.13342181,957.2929856535413,3,542,262613,0.009477466,0.13342181,0.7653843313455582,631.55,174.77617,0.0
8.175095,998.7090294361115,0.09801863,956.2038075012395,2,544,263943,0.008122449,0.09801863,0.38753634691238403,635.225,172.87004,0.0
8.184314,1002.7101035118103,0.10907035,957.8926480602837,1,545,264779,0.008887509,0.10907035,0.6805250644683838,631.125,171.69502,0.0
8.178164,1006.6998465061188,0.1535236,945.2927252232766,1,546,264962,0.010091215,0.1535236,0.5381059348583221,619.275,168.90417,0.0
8.158207,1010.7022309303284,0.092090756,956.6667245200475,1,547,265962,0.009528909,0.092090756,0.12135225534439087,631.15,170.19916,0.0
8.153442,1014.692946434021,0.102456726,986.0811509435971,2,549,267512,0.009765679,0.102456726,0.4640461206436157,649.25,173.81467,0.0
8.139452,1019.0840632915497,0.11288017,998.4147490202465,2,551,269064,0.009247453,0.11288017,0.8927913084626198,645.275,173.55283,0.0
8.147098,1023.6363022327423,0.105904356,994.662479220023,1,552,269459,0.012227782,0.105904356,0.39767152070999146,644.85,172.10019,0.0
8.15497,1028.2030844688416,0.13389552,1001.9125016723832,2,554,270181,0.009997725,0.13389552,0.45685774087905884,651.1,173.67058,0.0
8.173629,1032.7724680900574,0.10251966,1000.6119766080025,1,555,270981,0.009500455,0.10251966,0.8090962320566177,646.1,172.57747,0.0
