TimeElapsed,entropy,EpTrueRewMean,ev_tdlam_before,surrgain,EpThisIter,TimestepsSoFar,entloss,meankl,EpisodesSoFar,EpLenMean,EpRewMean,optimgain
4322.758193254471,21.74245,454.29488386166304,-0.14845645427703857,0.64103127,10,920071,0.0,0.0058081714,10911,89.975,1.1220798,0.64103127
4327.465565919876,21.741922,491.48806030554897,0.012228786945343018,0.18102938,9,921054,0.0,0.0056914454,10920,96.575,1.1112187,0.18102938
4332.169589042664,21.736822,494.45050658297185,-0.015364408493041992,0.4395805,11,922113,0.0,0.006423305,10931,97.575,1.2291232,0.4395805
4337.068637371063,21.734148,508.87827379812535,-0.007659196853637695,0.21477546,11,923255,0.0,0.006265887,10942,100.6,1.159941,0.21477546
4341.760869026184,21.734707,520.5385328828017,0.3018147349357605,0.19323054,10,924279,0.0,0.005417064,10952,101.65,1.1170723,0.19323054
4346.79966878891,21.727274,515.296000713601,0.427548885345459,0.20185167,10,925265,0.0,0.0057785544,10962,100.55,0.96205884,0.20185167
4352.8559420108795,21.72714,508.47973938641763,0.5851288437843323,0.17242175,10,926290,0.0,0.006050231,10972,99.575,0.93866,0.17242175
4357.664163351059,21.716042,523.2110879471721,0.08517682552337646,0.24450928,10,927336,0.0,0.005923565,10982,102.025,1.0265354,0.24450928
4362.537234783173,21.720284,529.2802741649181,0.28146493434906006,0.21769455,10,928428,0.0,0.0052644666,10992,103.725,1.022001,0.21769455
4367.249140024185,21.723478,513.0279473185778,0.41787606477737427,0.15847765,11,929399,0.0,0.00500312,11003,101.125,0.9839309,0.15847765
4371.948062181473,21.70998,467.12917618589233,0.29249143600463867,0.18979731,13,930417,0.0,0.0053599887,11016,91.55,1.0033289,0.18979731
4377.368148326874,21.71036,449.96658825742526,0.6188647150993347,0.15655026,11,931425,0.0,0.005306498,11027,87.4,0.93614423,0.15655026
4382.192708015442,21.714863,458.1936392649286,0.5512889921665192,0.22285385,11,932520,0.0,0.005375121,11038,89.175,0.8789442,0.22285385
4386.8413100242615,21.71338,485.69069158409366,0.08094894886016846,0.22761866,9,933507,0.0,0.004739159,11047,94.225,0.91875666,0.22761866
4392.405445098877,21.710604,500.36291278698127,-0.09387862682342529,0.31722862,11,934485,0.0,0.0052975463,11058,97.05,1.0565197,0.31722862
4397.403041601181,21.715334,476.4528366047724,-0.0415799617767334,0.22715507,12,935507,0.0,0.00572028,11070,92.575,1.1456149,0.22715507
4402.073188304901,21.72356,490.76760241804584,0.21225041151046753,0.58773464,11,936553,0.0,0.0053140773,11081,94.125,1.2389742,0.58773464
4406.761458396912,21.724848,474.56136008284193,0.13392233848571777,0.20325378,11,937604,0.0,0.0044320254,11092,90.95,1.2270895,0.20325378
4411.727146863937,21.721607,481.9354839297815,0.381714403629303,0.19528206,12,938689,0.0,0.0058595026,11104,92.575,1.0171089,0.19528206
4416.411005973816,21.72536,466.28785122626203,-0.028994321823120117,0.32475683,12,939721,0.0,0.0053416155,11116,90.45,0.94098246,0.32475683
4421.490521192551,21.728687,466.98006802393866,0.34961074590682983,0.19605264,11,940776,0.0,0.005082096,11127,91.2,0.8836713,0.19605264
4426.190281152725,21.733665,472.792357582759,0.18152832984924316,0.13939713,11,941823,0.0,0.0065164035,11138,92.1,0.86124897,0.13939713
4430.9214079380035,21.738058,470.1980346838207,0.4003888964653015,0.18852928,12,942830,0.0,0.0053536673,11150,91.875,0.87032604,0.18852928
4435.654945611954,21.74243,472.10833886158616,0.4411754012107849,0.16929188,10,943837,0.0,0.0047290586,11160,92.25,0.96892816,0.16929188
4440.36555314064,21.749983,479.84927426054116,0.26816946268081665,0.16565959,10,944820,0.0,0.0053063855,11170,93.5,1.0364125,0.16565959
4445.242495536804,21.753975,488.25595637344867,0.6655278205871582,0.15785429,11,945869,0.0,0.0044794683,11181,95.25,1.0526301,0.15785429
4449.913739204407,21.750572,494.06242877721127,0.019673407077789307,1.3325138,12,946977,0.0,0.009977983,11193,96.35,1.2073469,1.3325138
4454.579048395157,21.746424,481.9557854849851,-0.2014789581298828,0.1569795,11,947984,0.0,0.0048143826,11204,94.175,1.2427227,0.1569795
4459.2592442035675,21.74991,499.597274316292,0.23848086595535278,0.39673126,9,948981,0.0,0.006425089,11213,98.6,1.2193818,0.39673126
4463.958814620972,21.749043,488.89951136901635,-0.14273464679718018,0.16594914,11,950079,0.0,0.0059607103,11224,96.9,0.9803276,0.16594914
4468.667310714722,21.74341,498.79059578574027,-0.009265661239624023,0.1672988,11,951052,0.0,0.005328587,11235,98.375,1.0077835,0.1672988
4473.363940238953,21.74365,480.1954604629118,0.29622799158096313,0.19754179,12,952088,0.0,0.0049974117,11247,94.3,1.010194,0.19754179
4478.276388883591,21.743187,459.92118801612685,0.4213975667953491,0.15754934,10,953091,0.0,0.0047293548,11257,90.275,1.0010157,0.15754934
4482.959554433823,21.74168,466.6713396928534,-0.4076077938079834,0.17953578,11,954115,0.0,0.0055257557,11268,91.75,0.9902158,0.17953578
4487.623400688171,21.742027,470.8416135950696,0.15664368867874146,0.181493,12,955158,0.0,0.0055096685,11280,92.6,1.0089535,0.181493
4492.288642883301,21.743095,452.9984269736291,0.00023376941680908203,0.22608298,12,956184,0.0,0.005291394,11292,88.0,1.000279,0.22608298
4496.988527297974,21.743074,454.0055324450826,0.36312609910964966,0.19345343,11,957162,0.0,0.004781955,11303,88.325,0.9758045,0.19345343
4501.678488969803,21.745604,451.9389077978026,-0.03361320495605469,0.22912945,11,958147,0.0,0.0049371524,11314,87.85,1.0898268,0.22912945
4506.383198976517,21.742674,456.12003208099594,0.2144484519958496,0.22691756,12,959195,0.0,0.0060397163,11326,88.675,0.9495413,0.22691756
4511.067101716995,21.744055,459.205035687676,0.10587960481643677,0.22215766,11,960181,0.0,0.0050053084,11337,89.65,0.9874617,0.22215766
4515.757846355438,21.743185,464.2303861994633,0.03390437364578247,0.22057547,12,961263,0.0,0.005681048,11349,89.325,0.92282486,0.22057547
4520.4643387794495,21.752176,487.17349754000986,-0.8280544281005859,0.13887152,10,962311,0.0,0.0070380345,11359,94.625,0.9314281,0.13887152
4525.156023979187,21.749178,475.48896984426835,0.2232561707496643,0.18883559,12,963333,0.0,0.0050833714,11371,93.05,0.94664305,0.18883559
4530.567592859268,21.74072,474.8975204709024,0.4330156445503235,0.18517542,11,964338,0.0,0.005167183,11382,93.025,0.9055683,0.18517542
4535.73840880394,21.73746,473.66534842726617,0.024526476860046387,0.23269704,11,965391,0.0,0.005459578,11393,92.875,0.9695908,0.23269704
4540.441273212433,21.746758,443.52139206363483,0.4647254943847656,0.2191692,12,966376,0.0,0.0058187693,11405,87.025,0.9526226,0.2191692
4545.137673139572,21.746584,456.8043597983673,0.6494782269001007,0.16226491,11,967391,0.0,0.0047601163,11416,89.625,0.8853256,0.16226491
4549.822057008743,21.74705,437.99086123462786,0.5348740220069885,0.19302666,12,968394,0.0,0.0051231086,11428,86.425,0.8565586,0.19302666
4554.507346153259,21.753176,460.2619299363576,0.26719731092453003,0.18917029,10,969434,0.0,0.0053513995,11438,90.525,0.87074316,0.18917029
4559.195464134216,21.755125,479.82729218524616,-0.05778181552886963,1.3328829,11,970501,0.0,0.007628887,11449,94.125,1.0556111,1.3328829
4564.759136915207,21.754171,485.24522088716765,-0.18525350093841553,0.23209903,10,971495,0.0,0.0053430563,11459,95.775,1.0827582,0.23209903
4569.523688554764,21.753752,493.9818613406317,0.11072808504104614,0.18553582,10,972407,0.0,0.005453004,11469,98.225,1.1429105,0.18553582
4574.173188447952,21.750265,471.03753467585204,0.05056506395339966,0.1867692,12,973440,0.0,0.004909276,11481,93.0,1.0654345,0.1867692
4578.867016077042,21.749489,452.3614617646863,0.12908244132995605,0.20426312,12,974478,0.0,0.0048666205,11493,89.525,1.1314471,0.20426312
4583.563971757889,21.745762,447.2938799598909,0.2859117388725281,0.18635269,11,975472,0.0,0.0044267587,11504,88.025,1.0761727,0.18635269
4588.226175546646,21.743631,465.5693110099857,0.3812664747238159,0.23920746,9,976451,0.0,0.0057569225,11513,91.825,0.9945854,0.23920746
4592.905942201614,21.748785,479.56720585846176,0.4945286512374878,0.21229705,11,977476,0.0,0.0045642457,11524,94.65,0.9606949,0.21229705
4597.595640420914,21.740883,497.34184796425797,0.058976173400878906,0.31494695,11,978542,0.0,0.0062189577,11535,97.475,1.0222921,0.31494695
4602.271384716034,21.737877,496.3983642977795,0.34596407413482666,0.19240086,11,979552,0.0,0.0053406563,11546,97.1,1.1190981,0.19240086
4606.957614183426,21.739992,494.070632705768,0.09761923551559448,0.31224516,11,980640,0.0,0.0057458114,11557,96.25,1.1871045,0.31224516
4611.632630348206,21.73933,495.58512904492756,0.02987504005432129,0.22592314,10,981615,0.0,0.0055522555,11567,96.075,1.2760346,0.22592314
4616.667870998383,21.736012,488.8420438189145,0.23052233457565308,0.41372716,12,982653,0.0,0.008018704,11579,94.15,1.1329256,0.41372716
4621.806839466095,21.733908,483.68847419634074,0.29431480169296265,0.16947961,11,983734,0.0,0.0046715266,11590,94.325,1.1135216,0.16947961
4626.458622932434,21.731356,479.930253084345,0.35315078496932983,0.1633397,10,984698,0.0,0.004968901,11600,94.125,0.9724728,0.1633397
4631.123970031738,21.733648,478.68288779386614,0.11685293912887573,0.32038262,11,985741,0.0,0.0046011643,11611,94.325,1.0052989,0.32038262
4635.751899242401,21.733974,472.6431902653993,0.1379791498184204,0.3848171,12,986783,0.0,0.0064131347,11623,93.325,1.204401,0.3848171
4640.392742156982,21.736256,463.39988228038135,0.05662131309509277,0.68262535,11,987762,0.0,0.0062131668,11634,91.7,1.386966,0.68262535
4645.038663864136,21.739185,468.22264041108457,-0.6956497430801392,0.16875881,10,988779,0.0,0.005100035,11644,93.075,1.4734571,0.16875881
4649.682035446167,21.73788,471.2905023610603,-0.33059775829315186,0.15643603,11,989849,0.0,0.0056035398,11655,94.2,1.1371751,0.15643603
4654.317833900452,21.732088,469.8314593192807,-0.129891037940979,0.3960183,11,990871,0.0,0.0059969705,11666,94.125,1.1097691,0.3960183
4658.952139139175,21.737787,483.8240887281405,0.2997549772262573,0.3171082,10,991858,0.0,0.0055317283,11676,95.9,1.048454,0.3171082
4663.575592279434,21.727226,483.3797666737302,0.12269455194473267,0.16177963,11,992903,0.0,0.005784218,11687,96.125,0.95222455,0.16177963
4668.222890138626,21.721996,491.1995324575593,0.3018341064453125,0.2316234,10,993886,0.0,0.0062571764,11697,96.75,1.0324615,0.2316234
4673.032985925674,21.723639,487.11332956206616,-0.1653273105621338,0.19227967,11,994925,0.0,0.00647889,11708,96.25,0.9643873,0.19227967
4677.972985506058,21.726387,485.26322681349427,0.3088439106941223,0.17390423,11,996048,0.0,0.005255241,11719,95.6,1.0267075,0.17390423
4683.089246034622,21.718678,481.648304581386,-0.12725532054901123,0.16946407,11,997015,0.0,0.005376626,11730,94.55,1.032361,0.16946407
4687.813327550888,21.722395,481.8537590513906,-0.2034316062927246,0.17745471,11,998053,0.0,0.007002583,11741,94.35,0.9652322,0.17745471
4692.639826536179,21.727802,460.44316159674327,0.3876148462295532,0.18048447,11,999006,0.0,0.0063888812,11752,89.8,0.8940153,0.18048447
4698.446060419083,21.726719,464.6624297705283,0.16971105337142944,0.18813767,12,1000119,0.0,0.0060807187,11764,90.725,0.9143747,0.18813767
4704.1187789440155,21.720789,472.87937428916393,0.047209978103637695,0.15677571,11,1001186,0.0,0.0078494195,11775,93.0,0.9351519,0.15677571
4709.4403693675995,21.721413,471.16319028769396,0.050523579120635986,0.2300908,12,1002238,0.0,0.0055220784,11787,91.65,1.0805786,0.2300908
4714.582018375397,21.705639,474.0487028071557,0.3058745265007019,0.1665358,10,1003205,0.0,0.0049519753,11797,92.625,1.0430585,0.1665358
4719.371549606323,21.70865,471.1217328066262,0.4531673789024353,0.15989149,10,1004171,0.0,0.0046599526,11807,92.575,0.9596737,0.15989149
4724.119381904602,21.711424,458.0558190839136,-0.012256741523742676,0.3954534,13,1005189,0.0,0.0048813787,11820,90.1,0.93410337,0.3954534
4728.888761758804,21.710932,433.1319297798142,0.035318732261657715,0.23536427,13,1006267,0.0,0.004684495,11833,86.15,0.9349467,0.23536427
4733.617909669876,21.70923,429.47261261094957,0.3280223608016968,0.1704196,12,1007351,0.0,0.005908794,11845,84.95,0.9703552,0.1704196
4738.3556933403015,21.705969,433.621186586985,-0.26198112964630127,0.22555904,12,1008413,0.0,0.006868912,11857,86.575,0.9104866,0.22555904
4743.669286966324,21.710869,462.13948573709314,0.3714810013771057,0.17557904,11,1009540,0.0,0.005998634,11868,91.675,0.76347905,0.17557904
4748.402240753174,21.714445,486.4196320970815,0.04249858856201172,0.3742748,11,1010654,0.0,0.006309986,11879,96.575,0.8287679,0.3742748
4753.135645151138,21.724342,484.4260416998401,0.27916955947875977,0.261913,12,1011672,0.0,0.0045763603,11891,94.325,0.8994627,0.261913
