optimgain,EpisodesSoFar,ev_tdlam_before,EpRewMean,meankl,TimestepsSoFar,EpLenMean,entropy,TimeElapsed,entloss,EpThisIter,surrgain
0.013275438,299,0.9343098700046539,73.35467880697608,0.0055042175,55218,116.2,1.4189401,35.73037672042847,0.0,10,0.013275438
0.010296092,307,0.935333825647831,72.62033696337933,0.007150795,56237,116.975,1.4189401,36.38588356971741,0.0,8,0.010296092
0.008702012,316,0.9542622193694115,72.44808343171209,0.0069698114,57297,116.425,1.4189401,37.049230098724365,0.0,9,0.008702012
0.010669487,326,0.9572884105145931,72.6410170917652,0.0078987405,58302,110.825,1.4189401,37.72537684440613,0.0,10,0.010669487
0.00681276,337,0.9496805481612682,72.92680023309666,0.006911813,59378,109.75,1.4189401,38.387160539627075,0.0,11,0.00681276
0.014125784,347,0.9040699154138565,73.11989482397072,0.008241862,60398,104.025,1.4189401,39.04086184501648,0.0,10,0.014125784
0.0057230843,356,0.9208922013640404,73.01245153325348,0.0076918434,61333,100.9,1.4189401,39.69267416000366,0.0,9,0.0057230843
0.009911308,368,0.9633622094988823,72.32966953144037,0.0061628227,62458,98.9,1.4189401,40.35015058517456,0.0,12,0.009911308
0.017105563,379,0.9689482692629099,72.50984436267474,0.008049928,63458,96.35,1.4189401,41.00969982147217,0.0,11,0.017105563
0.017607324,388,0.9346139803528786,72.90913518975215,0.0074932696,64402,95.8,1.4189401,41.669575214385986,0.0,9,0.017607324
0.005876974,399,0.93563312292099,73.10704421266288,0.007782787,65525,98.175,1.4189401,42.31540036201477,0.0,11,0.005876974
0.008531873,411,0.9466327428817749,74.1414189847489,0.0039585726,66524,92.075,1.4189401,42.98446321487427,0.0,12,0.008531873
0.011607711,424,0.984117591753602,72.88150335720705,0.008820837,67521,89.45,1.4189401,43.62713265419006,0.0,13,0.011607711
0.020141743,436,0.8952313363552094,73.00784254506875,0.0070577497,68579,83.1,1.4189401,44.27928423881531,0.0,12,0.020141743
0.013219155,447,0.9344025552272797,72.77175816593015,0.007099732,69561,84.3,1.4189401,44.93743300437927,0.0,11,0.013219155
0.0129734855,461,0.974813062697649,73.2052307593681,0.007975692,70631,83.475,1.4189401,45.595768451690674,0.0,14,0.0129734855
0.0058831866,474,0.9799212701618671,73.66301547520011,0.008608217,71649,80.4,1.4189401,46.25709533691406,0.0,13,0.0058831866
0.013012329,487,0.9918497120961547,74.27084950271168,0.008412743,72701,78.5,1.4189401,46.91565823554993,0.0,13,0.013012329
0.00905655,500,0.9905916769057512,74.40874703969149,0.008262827,73708,78.8,1.4189401,47.57829260826111,0.0,13,0.00905655
0.015070741,513,0.9907269598916173,74.69614309493618,0.008038194,74715,78.475,1.4189401,48.230241775512695,0.0,13,0.015070741
0.009673718,525,0.9196643084287643,74.63177685036928,0.008297284,75714,79.125,1.4189401,48.88804006576538,0.0,12,0.009673718
0.012514364,539,0.9884151974692941,75.04790055189301,0.007953679,76788,78.85,1.4189401,49.53245520591736,0.0,14,0.012514364
