EpLenMean,meankl,TimeElapsed,EpisodesSoFar,entloss,optimgain,ev_tdlam_before,TimestepsSoFar,EpTrueRewMean,entropy,EpThisIter,surrgain,EpRewMean
1000.0,0.0040848264,3133.75089263916,970,0.0,0.08156281,0.8267655223608017,970000,-2735.530226853213,8.00745,1,0.08156281,91.82274
1000.0,0.013178941,3137.5856595039368,971,0.0,0.13609105,0.40663379430770874,971000,-2732.7373803039613,7.99347,1,0.13609105,91.16492
1000.0,0.0043982724,3141.4286291599274,972,0.0,0.07965207,0.7087512016296387,972000,-2737.850000035845,7.985534,1,0.07965207,90.73167
1000.0,0.01461773,3145.4215145111084,973,0.0,0.15021646,0.5150823295116425,973000,-2733.764040519583,7.9895053,1,0.15021646,92.226974
1000.0,0.0041995393,3149.4002435207367,974,0.0,0.09737946,0.730987936258316,974000,-2734.4662482507797,7.9945803,1,0.09737946,91.4412
1000.0,0.004192864,3153.42044878006,975,0.0,0.06951502,0.02333509922027588,975000,-2748.2288085883138,7.967774,1,0.06951502,89.16115
1000.0,0.0041338694,3157.3970851898193,976,0.0,0.09800038,0.7606244534254074,976000,-2743.422897638662,7.965378,1,0.09800038,91.28679
1000.0,0.014996305,3161.3789772987366,977,0.0,0.14477566,0.756332203745842,977000,-2748.0985786825745,7.9680634,1,0.14477566,91.95459
1000.0,0.0038748141,3165.378429412842,978,0.0,0.07623034,0.7962229549884796,978000,-2742.955278065394,7.9742575,1,0.07623034,93.23949
1000.0,0.0047096666,3169.317812204361,979,0.0,0.08024685,0.8540944010019302,979000,-2734.348835025011,7.9761925,1,0.08024685,93.5553
1000.0,0.0037988313,3173.3122611045837,980,0.0,0.07232628,0.20045006275177002,980000,-2730.9754137559307,7.9687033,1,0.07232628,94.421715
1000.0,0.004758367,3177.231896162033,981,0.0,0.089530505,0.7301527261734009,981000,-2729.991401188681,7.974059,1,0.089530505,93.85775
1000.0,0.0039857123,3181.118041038513,982,0.0,0.08196431,0.8508511185646057,982000,-2735.208382605101,7.957031,1,0.08196431,94.29319
1000.0,0.0044995574,3184.944491624832,983,0.0,0.077973984,0.8911914303898811,983000,-2738.696339091818,7.9556284,1,0.077973984,94.71585
1000.0,0.0040557235,3188.770280599594,984,0.0,0.093761295,0.8842809423804283,984000,-2735.3994966867167,7.9680142,1,0.093761295,94.27137
1000.0,0.004387155,3192.6160292625427,985,0.0,0.09080867,0.9475682750344276,985000,-2735.704962969007,7.9693003,1,0.09080867,93.776344
1000.0,0.014489202,3196.465168237686,986,0.0,0.1389957,0.02580893039703369,986000,-2728.9692713561453,7.9709477,1,0.1389957,94.448654
1000.0,0.0040635364,3200.163168668747,987,0.0,0.06447737,0.7685378044843674,987000,-2732.8048069144634,7.966443,1,0.06447737,94.925255
1000.0,0.004345894,3203.8402597904205,988,0.0,0.078519866,0.435070276260376,988000,-2739.7027213168794,7.9664454,1,0.078519866,93.07263
1000.0,0.014788446,3207.5363595485687,989,0.0,0.13640192,0.5927103459835052,989000,-2760.3977628408475,7.937087,1,0.13640192,93.707535
1000.0,0.003831564,3211.220588684082,990,0.0,0.07424234,0.6515583395957947,990000,-2786.1271854414044,7.9311066,1,0.07424234,94.68034
1000.0,0.013865885,3214.91219997406,991,0.0,0.10917063,0.5462137460708618,991000,-2812.466282577777,7.9179683,1,0.10917063,94.58122
1000.0,0.012382679,3218.6214632987976,992,0.0,0.115658484,0.05373650789260864,992000,-2814.5416749827423,7.8753633,1,0.115658484,94.569496
1000.0,0.013916858,3222.314489841461,993,0.0,0.108018994,0.3752858638763428,993000,-2842.0077755524553,7.829117,1,0.108018994,92.525734
1000.0,0.014418789,3226.144959926605,994,0.0,0.18652283,0.10620957612991333,994000,-2836.254597669442,7.7915688,1,0.18652283,93.36776
1000.0,0.013933205,3229.9651896953583,995,0.0,0.11552126,0.1364372968673706,995000,-2858.4853733900227,7.8427763,1,0.11552126,92.87978
1000.0,0.011425655,3233.7795791625977,996,0.0,0.09843449,-0.08655917644500732,996000,-2883.4553348874083,7.8709564,1,0.09843449,92.38418
1000.0,0.0047363252,3237.5945489406586,997,0.0,0.088188976,-0.288637638092041,997000,-2891.857106834523,7.861207,1,0.088188976,91.93092
1000.0,0.014262199,3241.3749616146088,998,0.0,0.10606928,-0.1053692102432251,998000,-2920.8960179007604,7.847275,1,0.10606928,89.6945
1000.0,0.013418829,3245.1662170886993,999,0.0,0.109363414,-0.14932548999786377,999000,-2938.897241619382,7.817565,1,0.109363414,89.13304
1000.0,0.0038554198,3249.0160188674927,1000,0.0,0.07929344,0.46749550104141235,1000000,-2951.6221444861026,7.8151207,1,0.07929344,88.27435
1000.0,0.013822665,3252.7979831695557,1001,0.0,0.15681842,0.7982009649276733,1001000,-2950.6907485284037,7.8270273,1,0.15681842,91.5721
1000.0,0.013022304,3256.622134208679,1002,0.0,0.10092178,0.0012611746788024902,1002000,-2970.2057991176785,7.803403,1,0.10092178,90.40808
1000.0,0.00447723,3260.4301505088806,1003,0.0,0.09609428,0.8988784030079842,1003000,-2980.5537902795636,7.8404393,1,0.09609428,88.71826
1000.0,0.01421642,3264.2875509262085,1004,0.0,0.17762533,0.5850087106227875,1004000,-3002.5578926576363,7.8636627,1,0.17762533,87.02382
1000.0,0.0044723586,3268.100703716278,1005,0.0,0.06960849,0.8765827268362045,1005000,-2996.351127079557,7.86824,1,0.06960849,90.93571
1000.0,0.004062863,3271.927562236786,1006,0.0,0.08052984,0.2042405605316162,1006000,-3006.001140112582,7.8679237,1,0.08052984,89.66313
