entloss,EpTrueRewMean,TimestepsSoFar,optimgain,EpLenMean,meankl,EpisodesSoFar,TimeElapsed,surrgain,EpThisIter,entropy,ev_tdlam_before,EpRewMean
0.0,-5588.5306500471925,855000,0.012946297,1000.0,0.0046851924,855,2713.728917121887,0.012946297,1,5.3440557,-0.0029249191284179688,453.74042
0.0,-5602.462461473242,856000,0.1243811,1000.0,0.014165942,856,2717.2204620838165,0.1243811,1,5.3188663,0.8509781360626221,447.72754
0.0,-5630.535637320872,857000,0.022754392,1000.0,0.006868576,857,2720.7071781158447,0.022754392,1,5.2852116,-0.02197098731994629,445.00177
0.0,-5625.153990952605,858000,0.020096447,1000.0,0.00766062,858,2724.2272634506226,0.020096447,1,5.284712,-0.03409421443939209,447.73453
0.0,-5672.953063655923,859000,0.057703726,1000.0,0.012845307,859,2727.7087047100067,0.057703726,1,5.2813945,-0.33222031593322754,450.63144
0.0,-5684.414612463903,860000,0.07383404,1000.0,0.0043066395,860,2731.2398631572723,0.07383404,1,5.2745986,-0.20769357681274414,434.12695
0.0,-5695.183357359184,861000,0.08595571,1000.0,0.0065475367,861,2734.748216152191,0.08595571,1,5.2933917,-0.3696550130844116,420.2147
0.0,-5686.1631264838115,862000,0.1062352,1000.0,0.004912288,862,2738.250790834427,0.1062352,1,5.160706,0.9847959764301777,406.6155
0.0,-5714.771956326791,863000,0.13277596,1000.0,0.0134277865,863,2741.731302499771,0.13277596,1,5.1525264,0.8938280642032623,405.6787
0.0,-5710.149968011447,864000,0.042741843,1000.0,0.005847539,864,2745.2464184761047,0.042741843,1,5.125856,0.19242799282073975,406.30927
0.0,-5688.183708230629,865000,0.032814723,1000.0,0.011843648,865,2748.713306427002,0.032814723,1,5.0494947,0.7847244739532471,412.64008
0.0,-5686.749409578917,866000,0.092379384,1000.0,0.013090556,866,2752.206550836563,0.092379384,1,5.0230284,0.7912417650222778,406.48044
0.0,-5707.732594237505,867000,0.02932976,1000.0,0.0046129203,867,2755.6965572834015,0.02932976,1,5.024663,-1.3644754886627197,403.42258
0.0,-5697.503122135896,868000,0.07518206,1000.0,0.009556881,868,2759.1794288158417,0.07518206,1,5.039064,0.525814563035965,397.4842
0.0,-5707.90643764971,869000,0.093749836,1000.0,0.009454705,869,2762.679585456848,0.093749836,1,5.0470595,-4.693715572357178,398.83804
0.0,-5699.1311422705485,870000,0.047308028,1000.0,0.0047978377,870,2766.1606187820435,0.047308028,1,5.0469365,0.7009819746017456,409.43924
0.0,-5687.5754995608095,871000,0.022079844,1000.0,0.003823676,871,2769.6634254455566,0.022079844,1,5.043358,0.8562598079442978,420.1894
0.0,-5666.415194764818,872000,0.087940134,1000.0,0.0054004705,872,2773.1520159244537,0.087940134,1,4.9831967,0.5640625357627869,432.1352
0.0,-5655.836897862557,873000,0.14607526,1000.0,0.009818217,873,2776.676018714905,0.14607526,1,4.985597,-0.02913689613342285,444.2089
0.0,-5634.892677674918,874000,0.025214093,1000.0,0.004231371,874,2780.1660735607147,0.025214093,1,5.008099,0.8276737183332443,452.01505
0.0,-5639.653040078982,875000,0.05585655,1000.0,0.012064042,875,2783.6497988700867,0.05585655,1,5.0125494,0.8518880903720856,461.5844
0.0,-5648.74920850826,876000,0.12289479,1000.0,0.0040610516,876,2787.113092660904,0.12289479,1,4.957403,0.7036589682102203,463.26456
0.0,-5635.093760227655,877000,0.076587796,1000.0,0.012981797,877,2790.605016231537,0.076587796,1,4.903588,0.8748550713062286,465.5298
0.0,-5649.499951279634,878000,0.42963934,1000.0,0.009595938,878,2794.0707409381866,0.42963934,1,4.852899,0.9683543294668198,466.5381
0.0,-5664.2461632094255,879000,0.12972021,1000.0,0.013695038,879,2797.580537557602,0.12972021,1,4.827153,0.9514167718589306,468.63077
0.0,-5685.615761374381,880000,0.1495685,1000.0,0.007343892,880,2801.0825691223145,0.1495685,1,4.8065248,-0.012627840042114258,458.89908
0.0,-5707.796014085524,881000,0.04339887,1000.0,0.0064896634,881,2804.593605041504,0.04339887,1,4.766377,-0.0090254545211792,442.12988
0.0,-5721.970806994439,882000,0.031124374,1000.0,0.005401858,882,2808.09050488472,0.031124374,1,4.7119946,-0.008955955505371094,443.19952
0.0,-5733.493148650783,883000,0.051539384,1000.0,0.014867034,883,2811.5873489379883,0.051539384,1,4.7059917,0.19614189863204956,445.84277
0.0,-5717.29756702888,884000,0.032010064,1000.0,0.0051554265,884,2815.083893299103,0.032010064,1,4.6515846,-0.01732766628265381,418.92938
0.0,-5703.315321731555,885000,0.016725294,1000.0,0.0070887674,885,2818.612672328949,0.016725294,1,4.661418,-0.023537278175354004,392.91965
0.0,-5681.383981092836,886000,0.020875826,1000.0,0.009103829,886,2822.1033596992493,0.020875826,1,4.652624,0.2033509612083435,363.825
0.0,-5658.164286479837,887000,0.1815433,1000.0,0.0067821452,887,2825.6011896133423,0.1815433,1,4.6753545,-0.08987605571746826,334.13406
0.0,-5635.405406881115,888000,0.13696879,1000.0,0.0067435917,888,2829.57222533226,0.13696879,1,4.7102046,-0.058922529220581055,309.1229
0.0,-5609.677220151503,889000,0.05315327,1000.0,0.013845183,889,2833.083387851715,0.05315327,1,4.7117105,-0.009597301483154297,285.58286
0.0,-5586.8148001130285,890000,0.05968246,1000.0,0.0045713647,890,2836.591377019882,0.05968246,1,4.7083383,0.7062374949455261,266.53003
0.0,-5573.339176557892,891000,0.039937768,1000.0,0.005518217,891,2840.075959920883,0.039937768,1,4.7037563,-0.04703068733215332,250.37717
0.0,-5557.416465262935,892000,0.20336743,1000.0,0.012591295,892,2843.569857597351,0.20336743,1,4.691157,0.604570746421814,242.5649
0.0,-5549.248852294967,893000,0.06281172,1000.0,0.007710477,893,2847.0687828063965,0.06281172,1,4.6703486,0.1775369644165039,243.34126
0.0,-5526.221931608564,894000,0.06335751,1000.0,0.0041133426,894,2850.560277700424,0.06335751,1,4.686244,0.2580326795578003,235.81172
