entloss,EpThisIter,EpRewMean,EpisodesSoFar,entropy,ev_tdlam_before,TimestepsSoFar,meankl,TimeElapsed,EpLenMean,EpTrueRewMean,surrgain,optimgain
0.0,13,16.636673,2041,23.45264,0.8867680206894875,144897,0.013807312,4163.918949127197,76.8,389.7172838920784,0.39775568,0.39775568
0.0,16,16.081366,2057,23.45641,0.8367037922143936,145990,0.011069936,4186.89843916893,75.1,381.41767425122373,0.21602923,0.21602923
0.0,15,15.6685505,2072,23.451525,0.8596408665180206,147002,0.010839151,4210.258157968521,71.9,366.62695003612043,0.22027469,0.22027469
0.0,14,15.021108,2086,23.450718,0.838802382349968,147979,0.012410688,4233.641233205795,68.3,347.76736476977806,0.21917836,0.21917836
0.0,14,14.996332,2100,23.443361,0.862815335392952,148968,0.012121032,4256.503275871277,68.8,352.53709158271545,0.23068164,0.23068164
0.0,13,15.221298,2113,23.441769,0.8227678090333939,149966,0.011999717,4279.721477031708,72.35,369.66648766836204,0.2636931,0.2636931
0.0,14,15.392405,2127,23.437824,0.8705331981182098,150993,0.012287391,4302.993529081345,73.8,378.3382181934379,0.24468352,0.24468352
0.0,12,15.975288,2139,23.436193,0.8049357682466507,151940,0.013409052,4326.220636129379,76.25,388.53935280031243,0.26695377,0.26695377
0.0,14,16.01501,2153,23.439318,0.8451234549283981,152956,0.012530452,4349.325058937073,74.75,381.8874583347494,0.2593367,0.2593367
0.0,14,16.04511,2167,23.426792,0.8453581780195236,153957,0.011479552,4372.391888141632,74.1,378.65305773338093,0.23525313,0.23525313
0.0,14,15.483507,2181,23.425648,0.7836240082979202,154990,0.01216048,4395.437947034836,71.7,365.98403834405616,0.35805082,0.35805082
0.0,15,15.303624,2196,23.412588,0.9165682047605515,156045,0.012380876,4418.537077903748,72.425,369.4808418014433,0.2410963,0.2410963
0.0,14,14.99025,2210,23.410635,0.8814651668071747,157067,0.012835659,4441.725613117218,72.575,369.04925968888773,0.27496472,0.27496472
0.0,13,14.067276,2223,23.403807,0.8396561443805695,158006,0.012216801,4464.632034063339,72.05,368.8392258919844,0.25423133,0.25423133
0.0,13,13.8616085,2236,23.402958,0.8810110315680504,158991,0.012990208,4487.61639213562,73.65,378.0215490669141,0.2503519,0.2503519
0.0,14,13.6015215,2250,23.398085,0.8845004811882973,160043,0.011945186,4510.998175859451,74.4,382.66212554706857,0.22897549,0.22897549
0.0,15,14.816312,2265,23.396452,0.883418619632721,161166,0.0119894175,4534.076663017273,75.65,390.97017801847926,0.2923989,0.2923989
