surrgain,EpRewMean,meankl,EpLenMean,entropy,TimestepsSoFar,EpisodesSoFar,ev_tdlam_before,EpTrueRewMean,EpThisIter,entloss,TimeElapsed,optimgain
0.07718727,473.48065,0.00807086,789.1,8.151077,90191,277,0.6420968174934387,712.0305154192729,2,0.0,352.71540331840515,0.07718727
0.06641054,481.26874,0.007620726,803.9,8.152999,91191,278,-0.04476737976074219,728.1274787607133,1,0.0,356.72841119766235,0.06641054
0.07806213,484.35083,0.006802403,812.25,8.162184,92191,279,0.13405203819274902,732.2096195527523,1,0.0,360.7508957386017,0.07806213
0.0721672,482.43253,0.008573698,812.25,8.164677,93191,280,-0.03937852382659912,733.4442806749169,1,0.0,364.76645731925964,0.0721672
0.09699367,494.71094,0.00837547,835.15,8.14453,94501,282,0.6898385882377625,760.4212573610394,2,0.0,368.7730257511139,0.09699367
0.06102467,492.2995,0.007291817,835.15,8.136585,95501,283,-0.025238633155822754,759.8959113248874,1,0.0,372.7779424190521,0.06102467
0.06172674,489.54892,0.0080277715,835.15,8.140691,96501,284,0.017877697944641113,756.3047163600102,1,0.0,376.77763056755066,0.06172674
0.07118599,487.096,0.0068815635,835.15,8.147158,97501,285,-0.043076157569885254,755.0759792347156,1,0.0,380.7777371406555,0.07118599
0.07266414,484.86395,0.008564634,835.15,8.146655,98501,286,-0.013266921043395996,750.6131193946492,1,0.0,384.7815933227539,0.07266414
0.073913634,485.13828,0.008567547,840.475,8.149918,99914,288,0.7208216786384583,756.0418531365567,2,0.0,388.776775598526,0.073913634
0.06626429,483.75433,0.007349317,840.475,8.148556,100914,289,-0.04798018932342529,761.2466973100175,1,0.0,392.7796287536621,0.06626429
0.0912489,458.1288,0.007291044,804.35,8.144412,102469,292,0.7965460568666458,727.3412286600833,3,0.0,396.7766032218933,0.0912489
0.09461276,455.67206,0.0068888227,804.35,8.158504,103469,293,0.04786604642868042,724.0625151343672,1,0.0,400.79712200164795,0.09461276
0.062341914,453.41782,0.008064167,804.35,8.18883,104469,294,-0.02813708782196045,718.356455832841,1,0.0,405.1248161792755,0.062341914
0.08553484,441.81406,0.0067974394,786.45,8.18524,104753,295,0.8672337979078293,703.0203016668679,1,0.0,409.1301209926605,0.08553484
0.08586244,421.03168,0.0076327226,756.475,8.170728,106554,298,0.6079794466495514,680.9642385652596,3,0.0,413.1288523674011,0.08586244
0.06408196,427.73828,0.0062484625,771.95,8.180344,107554,299,0.010686337947845459,690.8231207531346,1,0.0,417.1304819583893,0.06408196
0.073969185,425.6989,0.0068515493,771.95,8.196181,108554,300,0.34622663259506226,688.1352714168321,1,0.0,421.13323616981506,0.073969185
0.09961213,423.4166,0.0072989543,771.95,8.196965,109554,301,-0.38743627071380615,681.681443030132,1,0.0,425.1345236301422,0.09961213
0.07736965,421.1889,0.0069652162,771.95,8.20836,110554,302,0.026541829109191895,675.9053232918801,1,0.0,429.1434268951416,0.07736965
0.07979108,431.45514,0.00907262,793.125,8.21892,111554,303,0.11945563554763794,696.102618527847,1,0.0,433.1442346572876,0.07979108
0.07919817,428.76163,0.007152863,793.125,8.218184,112554,304,-0.03059399127960205,691.5297257964875,1,0.0,437.14718794822693,0.07919817
0.07132408,426.71713,0.008288051,793.125,8.221379,113554,305,-0.07043576240539551,688.4905790482386,1,0.0,441.14322805404663,0.07132408
0.09312965,423.98798,0.007518793,791.925,8.228212,114506,306,0.9160603284835815,686.1715369468687,1,0.0,445.14049673080444,0.09312965
0.09159413,437.7036,0.007903036,822.95,8.223156,115970,308,0.4434271454811096,709.0586483288713,2,0.0,449.1471812725067,0.09159413
0.14971936,416.07373,0.009950203,786.875,8.225589,116527,310,0.8098078817129135,678.5411859740605,2,0.0,453.14478611946106,0.14971936
0.090025075,410.25943,0.007378853,779.35,8.235888,117226,311,0.9718224480748177,671.2404332543535,1,0.0,457.1834111213684,0.090025075
0.07981993,410.0809,0.0075441413,783.85,8.239444,118226,312,-0.09450829029083252,669.1189236274593,1,0.0,461.1803901195526,0.07981993
0.06424245,408.09467,0.007953685,783.85,8.252074,119226,313,0.0024557113647460938,670.7799012638031,1,0.0,465.20958828926086,0.06424245
0.09158136,405.68317,0.007855515,783.85,8.246212,120226,314,-0.02182018756866455,670.6707036146081,1,0.0,469.2156240940094,0.09158136
0.08004668,415.39224,0.0070773214,805.75,8.241806,121226,315,0.31027472019195557,688.0666755091431,1,0.0,473.22434186935425,0.08004668
0.08845007,412.94165,0.008029612,805.75,8.234493,122226,316,-0.381622314453125,684.1302468489704,1,0.0,477.2596364021301,0.08845007
0.06515346,421.93945,0.0080584735,825.875,8.243097,123226,317,0.0591273307800293,700.2278283027808,1,0.0,481.2545795440674,0.06515346
0.059120003,419.32822,0.0065976745,825.875,8.259222,124226,318,-0.02870774269104004,700.177406001543,1,0.0,485.29801535606384,0.059120003
0.07955436,407.36182,0.008047869,810.575,8.247681,125614,320,0.6700309216976166,679.9070257872121,2,0.0,489.2991225719452,0.07955436
0.08670828,406.24307,0.0073002395,817.05,8.251632,127183,322,0.6597321629524231,674.0133540228234,2,0.0,493.3129768371582,0.08670828
0.06951289,403.9074,0.0075143203,817.05,8.240341,128183,323,-0.05764937400817871,671.2770499222115,1,0.0,497.3346326351166,0.06951289
0.10817115,385.79547,0.007204621,791.8,8.241991,130173,326,0.7782022207975388,642.3569027155485,3,0.0,501.3325753211975,0.10817115
0.06706992,383.90546,0.00732739,791.8,8.2294445,131173,327,0.03487348556518555,645.4383615813816,1,0.0,505.36802315711975,0.06706992
0.08674563,389.27655,0.008573238,806.475,8.237841,132173,328,-0.001322627067565918,655.7140485739523,1,0.0,509.3825387954712,0.08674563
