EpLenMean,EpTrueRewMean,EpRewMean,entropy,EpisodesSoFar,optimgain,EpThisIter,ev_tdlam_before,meankl,surrgain,TimestepsSoFar,TimeElapsed,entloss
84.25,402.77904488173147,27.211828,23.40485,1502,0.27194637,12,0.8733577132225037,0.013437569,0.27194637,88862,404.62761974334717,0.0
83.2,394.5256224091174,26.820002,23.393291,1515,0.27573496,13,0.8146624565124512,0.012817456,0.27573496,89905,409.1922903060913,0.0
82.275,386.08086344304866,26.368618,23.390139,1527,0.25824767,12,0.9101721420884132,0.01317628,0.25824767,90883,413.73326683044434,0.0
83.35,389.8224839658568,25.995258,23.38397,1539,0.28312528,12,0.8370513319969177,0.013322579,0.28312528,91934,418.27974224090576,0.0
84.825,398.2191521515348,26.36149,23.378887,1550,0.3073709,11,0.8873418346047401,0.013484824,0.3073709,92899,422.8198764324188,0.0
85.025,400.911783356062,26.645197,23.373842,1562,0.25978622,12,0.8745196461677551,0.0136669725,0.25978622,93893,427.36445355415344,0.0
82.525,388.0404578190667,26.252308,23.379148,1575,0.24587913,13,0.8748124688863754,0.01272952,0.24587913,94898,431.9280297756195,0.0
81.55,385.04264734955825,25.622478,23.385824,1587,0.4243344,12,0.6940672695636749,0.014922058,0.4243344,95901,436.52652406692505,0.0
84.525,399.12786816890343,26.3886,23.382875,1599,0.27297497,12,0.8933022171258926,0.01365862,0.27297497,96979,441.129337310791,0.0
82.875,391.9694172795764,25.937622,23.377947,1613,0.14784043,14,0.8539994060993195,0.0038782542,0.14784043,98054,445.72315430641174,0.0
81.775,385.9679573696574,25.016287,23.380434,1626,0.28102174,13,0.9097597226500511,0.012428999,0.28102174,99107,450.33414578437805,0.0
80.8,381.80043114266675,24.396152,23.38283,1638,0.28939113,12,0.8897989392280579,0.01467423,0.28939113,100135,454.9387238025665,0.0
85.675,402.5676478447937,25.696533,23.375895,1649,0.14462568,11,0.8216234147548676,0.0039592925,0.14462568,101155,459.54374384880066,0.0
83.5,394.37701620867256,25.097637,23.370197,1663,0.25877845,14,0.8567646890878677,0.014058712,0.25877845,102225,464.1193768978119,0.0
86.325,406.7972966050986,26.32378,23.362125,1675,0.28593844,12,0.8577706515789032,0.013218569,0.28593844,103263,468.8960392475128,0.0
80.1,380.58489650367,24.185488,23.362957,1689,0.27119774,14,0.8501291573047638,0.012890693,0.27119774,104359,473.48551082611084,0.0
81.525,380.9414915833373,24.439442,23.364252,1701,0.27076736,12,0.8578195124864578,0.013455525,0.27076736,105328,478.0870018005371,0.0
78.975,370.55396486451355,23.330294,23.35695,1714,0.2743047,13,0.8912998661398888,0.013900522,0.2743047,106356,482.6960413455963,0.0
82.1,384.53718613055145,23.913395,23.353094,1726,0.25381282,12,0.8907772898674011,0.014347615,0.25381282,107346,487.7338798046112,0.0
86.7,405.9501899869089,24.872496,23.344076,1735,0.30152515,9,0.8507635146379471,0.014321774,0.30152515,108295,492.2931897640228,0.0
87.825,418.47894101102503,25.235006,23.34617,1747,0.41602904,12,0.8515363931655884,0.0132942265,0.41602904,109335,497.02951192855835,0.0
90.4,436.0591550330135,25.766834,23.354315,1759,0.27284074,12,0.9118719696998596,0.014133031,0.27284074,110383,501.6834363937378,0.0
91.45,436.09512740732936,26.342972,23.342854,1770,0.2516986,11,0.9100673645734787,0.0132167125,0.2516986,111395,506.44796657562256,0.0
86.575,416.1950008028201,25.104242,23.351645,1782,0.1451773,12,0.8759025856852531,0.0037727528,0.1451773,112404,511.1498873233795,0.0
85.225,406.7503080205718,24.53625,23.344954,1794,0.26681367,12,0.8868798539042473,0.013616266,0.26681367,113385,515.8196692466736,0.0
83.225,401.3436259063926,23.842855,23.339838,1807,0.3006399,13,0.8978458866477013,0.014992379,0.3006399,114422,520.5032758712769,0.0
82.875,395.8240418778345,23.631918,23.335714,1819,0.26119924,12,0.8998289108276367,0.013942586,0.26119924,115465,525.2042577266693,0.0
87.5,415.83596213789207,24.930527,23.329327,1829,0.26800755,10,0.7507162541151047,0.013474757,0.26800755,116466,529.8889508247375,0.0
89.1,420.88417140337214,25.687878,23.334003,1841,0.29656643,12,0.8603185713291168,0.014616476,0.29656643,117484,534.5710377693176,0.0
90.025,426.69234384724496,25.990417,23.337336,1854,0.13994661,13,0.8136157393455505,0.0040629874,0.13994661,118562,539.3319075107574,0.0
