TimeElapsed,entloss,EpTrueRewMean,EpThisIter,EpLenMean,TimestepsSoFar,meankl,EpRewMean,ev_tdlam_before,EpisodesSoFar,entropy,optimgain,surrgain
832.5938987731934,0.0,691.9145196979696,3,643.125,162410,0.008447097,82.8385,0.7969677597284317,291,4.0153885,0.075090185,0.075090185
837.7583019733429,0.0,695.9506404952585,1,643.125,163410,0.008548707,82.43291,-0.03661084175109863,292,4.0566645,0.043068774,0.043068774
842.9373798370361,0.0,714.5229831569034,1,658.375,164410,0.007932701,83.74972,0.033273398876190186,293,4.0596237,0.04689085,0.04689085
848.1019337177277,0.0,720.6468462774294,1,658.375,165410,0.009711733,83.21924,0.010490119457244873,294,4.0715947,0.050601106,0.050601106
853.2717649936676,0.0,725.9547606345492,1,658.375,166410,0.009229451,82.83234,-0.008535623550415039,295,4.080774,0.04711484,0.04711484
858.4307372570038,0.0,717.7964019363383,2,644.15,167841,0.007960215,80.197,-0.5948623418807983,297,4.061585,0.05682478,0.05682478
863.5912444591522,0.0,720.8881711894576,1,641.25,168725,0.008379625,80.26856,0.2613734006881714,298,4.0746465,0.07335679,0.07335679
868.7595148086548,0.0,726.6433950746627,2,638.8,169901,0.00763872,80.29061,0.17807871103286743,300,4.079584,0.055195756,0.055195756
873.9256930351257,0.0,729.3469574632688,1,638.8,170901,0.009560982,79.496826,0.11200034618377686,301,4.0853343,0.05835557,0.05835557
879.093718290329,0.0,727.1744841831887,2,627.95,172033,0.008678616,79.0959,0.5895853340625763,303,4.080565,0.07927095,0.07927095
884.2658741474152,0.0,735.3543946075314,1,632.05,172309,0.009459825,80.21706,0.6944968402385712,304,4.0766897,0.08284488,0.08284488
889.4372375011444,0.0,740.4760726229888,2,630.225,173489,0.010652822,80.78221,0.8271980732679367,306,4.090996,0.08523358,0.08523358
894.6113917827606,0.0,751.9603406787668,1,638.175,174062,0.009705108,82.13907,0.6922203600406647,307,4.092867,0.09535235,0.09535235
899.7888762950897,0.0,717.4753052221852,5,590.8,175167,0.008743048,77.78294,0.4487454295158386,312,4.081698,0.07214073,0.07214073
904.9614806175232,0.0,702.8152412807397,3,564.425,176524,0.008074616,75.70509,0.3942810297012329,315,4.057228,0.058190797,0.058190797
910.1340506076813,0.0,700.3595666424326,2,555.875,177359,0.009868091,75.09578,0.8428100943565369,317,4.033812,0.09473038,0.09473038
915.307286977768,0.0,686.8047763791521,4,530.825,178590,0.008248767,73.0,0.8861359730362892,321,4.0339413,0.058140434,0.058140434
920.4736156463623,0.0,709.0803863260446,2,544.975,179611,0.00848394,74.48495,0.9275443032383919,323,4.040428,0.06589836,0.06589836
925.6350457668304,0.0,690.2610242247376,4,516.975,180898,0.008876823,71.10073,0.6572537124156952,327,4.0162663,0.0763054,0.0763054
930.8052144050598,0.0,695.0081385634555,1,516.975,181898,0.009006567,71.099915,0.014299452304840088,328,4.00605,0.051228702,0.051228702
935.9607825279236,0.0,719.0853050768425,2,534.9,183378,0.008808052,72.557045,0.012715339660644531,330,4.0325303,0.061938584,0.061938584
941.118880033493,0.0,689.8450357217815,4,493.6,185154,0.009051792,69.01094,0.8517768681049347,334,4.019531,0.07451357,0.07451357
946.2803726196289,0.0,662.0297765553909,2,461.925,185887,0.009161278,66.178856,0.5974582135677338,336,4.0125713,0.08148956,0.08148956
951.4422013759613,0.0,634.9444869623263,3,430.225,186934,0.009193983,62.804718,0.38978224992752075,339,4.00226,0.07928598,0.07928598
956.5972859859467,0.0,645.4209932626921,2,432.75,188211,0.008240272,62.59035,0.746033102273941,341,3.991209,0.063043766,0.063043766
961.763411283493,0.0,643.6081372127879,3,430.0,189509,0.008990448,59.95356,0.639213353395462,344,3.9833436,0.07597946,0.07597946
966.9248082637787,0.0,622.3291578736162,2,410.975,189928,0.007950846,56.39402,0.6168033182621002,346,3.9803777,0.06327764,0.06327764
972.0851080417633,0.0,635.3112275359883,1,421.65,190928,0.008864084,56.59198,0.023167133331298828,347,3.9825118,0.050033778,0.050033778
977.2424976825714,0.0,640.92176365621,3,425.7,191867,0.008680701,55.016895,0.7094436287879944,350,3.9689023,0.060995508,0.060995508
982.4151775836945,0.0,670.3580830212719,2,449.6,193151,0.011023063,57.05901,0.07791799306869507,352,3.969763,0.07882249,0.07882249
987.5761723518372,0.0,679.861672823396,2,457.4,194507,0.0091089,55.75697,0.6714926660060883,354,3.9251633,0.07330373,0.07330373
992.7359399795532,0.0,699.7973705878701,1,474.575,195507,0.009686958,56.538445,-0.18133056163787842,355,3.9152813,0.054115474,0.054115474
997.8983342647552,0.0,717.8068215904071,1,491.3,196507,0.009160101,57.244164,-0.13106489181518555,356,3.912048,0.053187072,0.053187072
