meankl,entropy,surrgain,entloss,EpThisIter,EpisodesSoFar,TimeElapsed,optimgain,ev_tdlam_before,EpLenMean,EpRewMean,TimestepsSoFar
0.0070985863,1.4189401,0.008837237,0.0,13,617,47.138365745544434,0.008837237,0.9828039184212685,79.35,75.67696369829393,69618
0.009038663,1.4189401,0.019641187,0.0,13,630,47.82122206687927,0.019641187,0.9912321530282497,79.95,75.66819897709662,70648
0.004511886,1.4189401,0.010254256,0.0,13,643,48.52405333518982,0.010254256,0.9952921206131577,79.45,75.43749619894339,71640
0.008107802,1.4189401,0.009070302,0.0,13,656,49.213154554367065,0.009070302,0.9943535751663148,77.7,76.22106778710625,72645
0.0077347383,1.4189401,0.009822819,0.0,13,669,49.89940357208252,0.009822819,0.9943414297886193,77.65,75.80932428522377,73670
0.009490972,1.4189401,0.009670285,0.0,13,682,50.579251766204834,0.009670285,0.9947750177234411,78.025,75.77227494311671,74686
0.00834111,1.4189401,0.019225366,0.0,13,695,51.26387882232666,0.019225366,0.9927177699282765,78.4,76.4460936307454,75706
0.00825174,1.4189401,0.0123670995,0.0,14,709,51.9380841255188,0.0123670995,0.9914109678938985,77.9,76.41690845838073,76786
0.00677416,1.4189401,0.009804287,0.0,13,722,52.60648322105408,0.009804287,0.9925120011903346,77.3,75.5951085364325,77778
0.009203073,1.4189401,0.014912437,0.0,14,736,53.2911491394043,0.014912437,0.9955822359770536,76.525,74.62964502789053,78841
0.0068772654,1.4189401,0.009507328,0.0,13,749,53.984291553497314,0.009507328,0.9942722986452281,75.975,74.72636262937286,79825
0.011317314,1.4189401,0.015709009,0.0,14,763,54.672271966934204,0.015709009,0.9932718304917216,75.925,75.19876215146459,80896
0.006809744,1.4189401,0.016163513,0.0,11,774,55.371105670928955,0.016163513,0.8618651330471039,80.725,74.54194357948425,81919
0.005385857,1.4189401,0.00660959,0.0,13,787,56.0577392578125,0.00660959,0.9823748394846916,80.75,75.10124763186347,82910
0.00866599,1.4189401,0.010208232,0.0,13,800,56.73624658584595,0.010208232,0.9939993359148502,81.1,75.40875283715594,83911
0.0063362955,1.4189401,0.009441167,0.0,13,813,57.41227197647095,0.009441167,0.9778791181743145,78.25,76.49939338095106,84977
0.008394434,1.4189401,0.012847918,0.0,13,826,58.11044788360596,0.012847918,0.992660618852824,78.875,76.22768221105676,85986
0.008804318,1.4189401,0.019772926,0.0,13,839,58.80522108078003,0.019772926,0.9942127233371139,80.075,75.4451443448,87030
0.0074679498,1.4189401,0.009834826,0.0,13,852,59.501869678497314,0.009834826,0.9948467849753797,78.275,76.30260042348998,88029
