entropy,meankl,entloss,TimestepsSoFar,EpLenMean,surrgain,TimeElapsed,EpTrueRewMean,ev_tdlam_before,EpRewMean,EpThisIter,EpisodesSoFar,optimgain
2.1164517,0.011750045,0.0,2155092,780.75,0.081171185,8378.933623790741,2697.5181321110263,0.0014636516571044922,252.98685,1,3376,0.081171185
2.1095278,0.011429257,0.0,2156402,785.25,0.09854099,8382.834490060806,2717.399463695712,0.6383617520332336,254.15112,2,3378,0.09854099
2.0996263,0.012654186,0.0,2157402,805.825,0.07494812,8386.724522352219,2792.7317532452676,0.16324520111083984,262.10352,1,3379,0.07494812
2.1122446,0.012721367,0.0,2158402,824.45,0.10043639,8390.60687661171,2860.15449561031,0.08417052030563354,268.39883,1,3380,0.10043639
2.107913,0.014199555,0.0,2159402,824.45,0.11457918,8394.482738494873,2861.531837067264,-0.12489783763885498,268.16876,1,3381,0.11457918
2.1153448,0.0132928705,0.0,2160402,841.375,0.07537812,8398.368465185165,2923.7652686033653,0.13315629959106445,273.97253,1,3382,0.07537812
2.119826,0.0037972433,0.0,2161402,841.375,0.048657134,8402.25912618637,2923.6874209732964,0.18828952312469482,272.57907,1,3383,0.048657134
2.1128397,0.011934308,0.0,2162402,860.775,0.108193666,8406.148665189743,2996.565159860569,0.13306373357772827,279.54684,1,3384,0.108193666
2.0952032,0.0120861735,0.0,2163402,883.375,0.09737278,8410.03961634636,3085.785149218604,0.14414119720458984,285.87085,1,3385,0.09737278
2.0783193,0.014843367,0.0,2164402,883.375,0.10401654,8413.927203655243,3083.7364129330863,0.1375676989555359,283.9571,1,3386,0.10401654
2.0889857,0.013108339,0.0,2165402,891.0,0.08313557,8417.8154733181,3112.06174789739,0.1478661298751831,286.53412,1,3387,0.08313557
2.0834348,0.01074552,0.0,2166402,891.0,0.0835785,8421.698892593384,3111.35784625862,0.19972991943359375,285.7552,1,3388,0.0835785
2.086547,0.012272202,0.0,2168121,883.975,0.09336119,8425.568349599838,3089.691855193257,0.47109168767929077,284.64224,2,3390,0.09336119
2.0881467,0.014284245,0.0,2169312,881.6,0.111868635,8429.453446388245,3070.447335530914,0.5521152317523956,284.55658,2,3392,0.111868635
