EpThisIter,EpisodesSoFar,optimgain,TimeElapsed,EpTrueRewMean,meankl,EpLenMean,entropy,TimestepsSoFar,surrgain,EpRewMean,ev_tdlam_before,entloss
1,3550,0.09513503,6463.703793764114,3024.3709140040123,0.01197624,878.325,0.9716282,1621546,0.09513503,106.42818,0.23037779331207275,0.0
1,3551,0.21741831,6467.701081037521,3052.447836482005,0.014897976,886.4,0.9916973,1622246,0.21741831,107.56311,0.7142558693885803,0.0
1,3552,0.10365866,6471.695261955261,3049.1236431673233,0.012779184,886.4,0.99501956,1623246,0.10365866,107.8301,0.1849910020828247,0.0
2,3554,0.1301037,6475.695263624191,3051.88824290698,0.013129826,873.6,0.99330294,1624452,0.1301037,109.09635,0.7881284952163696,0.0
1,3555,0.1107437,6479.712821483612,3025.140320017342,0.01369072,873.6,1.0024581,1625452,0.1107437,108.54752,0.006185948848724365,0.0
1,3556,0.11099724,6483.732139825821,3063.409193997178,0.012350416,881.875,0.991829,1626452,0.11099724,110.50614,0.1753246784210205,0.0
1,3557,0.09422688,6487.750519514084,3132.924729247558,0.014092935,900.3,0.98750114,1627452,0.09422688,112.36703,0.11956483125686646,0.0
1,3558,0.09344269,6491.7495906353,3147.085570398871,0.012164729,900.3,0.98160404,1628452,0.09344269,112.83816,-0.014195561408996582,0.0
2,3560,0.056968942,6495.753568172455,3054.0539613050764,0.0038018392,878.325,0.99325526,1629573,0.056968942,108.976746,0.3412989377975464,0.0
1,3561,0.10224259,6499.753062486649,2961.65461167349,0.013199051,859.425,0.9906297,1629817,0.10224259,105.71096,0.21425068378448486,0.0
1,3562,0.0963126,6503.747447490692,2955.3492209670344,0.01160787,860.1,0.9992604,1630817,0.0963126,104.90151,0.2590285539627075,0.0
1,3563,0.08529529,6507.739944696426,2959.5374901624555,0.011855305,860.1,0.98023987,1631817,0.08529529,105.351906,0.011793851852416992,0.0
1,3564,0.08881016,6511.725492477417,2988.048509887576,0.011751255,860.55,0.9847187,1632817,0.08881016,106.189125,-0.17219913005828857,0.0
1,3565,0.10019478,6515.728389978409,2987.993471556849,0.013915773,860.55,0.97859204,1633817,0.10019478,106.44475,0.1053122878074646,0.0
1,3566,0.107409835,6519.730268478394,2989.4662139005477,0.012517667,860.55,0.98106545,1634817,0.107409835,106.394775,0.3169851303100586,0.0
1,3567,0.11628096,6523.725051879883,2980.1309253022605,0.012795372,860.55,0.9868778,1635817,0.11628096,106.54309,0.0838438868522644,0.0
2,3569,0.10486354,6527.721267938614,2986.786258762793,0.013732698,861.6,0.98267376,1637591,0.10486354,107.39354,0.5785562098026276,0.0
1,3570,0.15886033,6531.729049444199,3065.546412360774,0.013827711,874.225,0.98647296,1638591,0.15886033,109.346146,-0.1522902250289917,0.0
1,3571,0.090237364,6535.7283391952515,3114.979391891147,0.012789071,886.65,0.9891895,1639591,0.090237364,110.99829,0.30627840757369995,0.0
1,3572,0.10970102,6539.727421045303,3083.157009433521,0.012431394,886.825,0.9853802,1640591,0.10970102,110.442894,-0.11311280727386475,0.0
2,3574,0.105238214,6543.7372007369995,3008.7814094777727,0.01298765,871.175,0.9886552,1641965,0.105238214,108.06999,0.8474999219179153,0.0
1,3575,0.10458259,6547.758760929108,3028.305909056874,0.013782628,876.65,0.98623043,1642965,0.10458259,108.866234,-0.05945432186126709,0.0
1,3576,0.089529455,6551.771704912186,3031.58853374502,0.013956921,876.65,0.99005884,1643965,0.089529455,108.89597,0.0010567903518676758,0.0
1,3577,0.13153687,6555.781478404999,2957.4293445776975,0.013601704,860.75,0.9801773,1644329,0.13153687,106.1984,0.6502105295658112,0.0
1,3578,0.1128512,6559.773467302322,2980.2349987708376,0.011653942,866.175,0.97567755,1645329,0.1128512,106.86177,0.32686012983322144,0.0
1,3579,0.08077658,6563.766793489456,3040.5559022080533,0.011918234,882.425,0.9568843,1646329,0.08077658,109.53098,-0.05179595947265625,0.0
1,3580,0.1576038,6567.757062673569,3000.2795820699957,0.01395479,873.0,0.9519211,1646952,0.1576038,108.32727,0.8629393875598907,0.0
2,3582,0.104191914,6571.749687194824,2934.556537957354,0.01279187,858.475,0.9516312,1648069,0.104191914,105.54988,0.3978244662284851,0.0
