meankl,EpTrueRewMean,EpLenMean,TimestepsSoFar,ev_tdlam_before,EpThisIter,optimgain,TimeElapsed,EpRewMean,entloss,surrgain,EpisodesSoFar,entropy
0.009582488,332.73514691705765,71.3,44277,0.8682644963264465,15,0.21274468,197.43223404884338,22.749504,0.0,0.21274468,846,23.918148
0.009858322,341.42925182451313,73.275,45315,0.8384178280830383,14,0.2372678,202.04573225975037,23.500668,0.0,0.2372678,860,23.934084
0.009805452,324.96368480525155,69.775,46320,0.8235051482915878,15,0.22387114,206.62527322769165,22.912357,0.0,0.22387114,875,23.95526
0.010363933,330.89824985543737,70.4,47371,0.8087906241416931,15,0.2265164,211.1988115310669,22.364563,0.0,0.2265164,890,23.96118
0.010735619,331.1304089237973,70.275,48395,0.8503486812114716,14,0.22207984,215.75227618217468,22.177324,0.0,0.22207984,904,23.969158
0.010681096,341.22873590947705,72.225,49400,0.8558615893125534,14,0.22380136,220.3008894920349,22.68533,0.0,0.22380136,918,23.976583
0.009980995,345.1971823745529,72.95,50449,0.8017532527446747,14,0.22806364,224.84168767929077,22.844376,0.0,0.22806364,932,23.963303
0.011229495,356.4551935065313,75.125,51453,0.8881496042013168,13,0.22599438,229.37809324264526,22.7579,0.0,0.22599438,945,23.963787
0.010965186,338.4182142992112,70.95,52446,0.8247883021831512,15,0.23327908,234.0649516582489,20.959885,0.0,0.23327908,960,23.930971
0.010337588,348.8799118183092,72.95,53445,0.8511770814657211,13,0.25380006,238.57990670204163,22.601482,0.0,0.25380006,973,23.898191
0.010503992,340.77752043234767,71.075,54458,0.8631555736064911,14,0.24187112,243.47735619544983,22.758,0.0,0.24187112,987,23.893316
0.010979018,346.5958960338661,73.775,55519,0.8584898710250854,15,0.26125103,248.73669815063477,23.7327,0.0,0.26125103,1002,23.866693
0.011037352,335.37542154535754,70.975,56517,0.8632475733757019,14,0.22717664,253.65489625930786,21.564787,0.0,0.22717664,1016,23.83592
0.010111442,359.79630990199024,76.1,57588,0.7830451279878616,12,0.24755938,258.1303815841675,22.96968,0.0,0.24755938,1028,23.851624
0.010579421,375.76723179121166,78.775,58584,0.818008303642273,13,0.24798203,262.60067653656006,23.822498,0.0,0.24798203,1041,23.821268
0.011549618,374.7590613086632,79.05,59604,0.8829718381166458,14,0.24783635,267.0912835597992,23.85121,0.0,0.24783635,1055,23.820393
0.011342396,350.19044080227116,74.375,60634,0.8417029231786728,14,0.25435334,271.60369634628296,22.4837,0.0,0.25435334,1069,23.84961
0.011364313,338.7031737755735,71.675,61662,0.8230798989534378,15,0.28512737,276.1185817718506,21.30078,0.0,0.28512737,1084,23.82381
0.011370776,347.51768314699666,73.25,62690,0.8224011361598969,13,0.2609484,280.615793466568,21.80748,0.0,0.2609484,1097,23.842693
0.011091727,340.22341804032556,71.275,63702,0.8422567397356033,15,0.23423699,285.0999960899353,21.088566,0.0,0.23423699,1112,23.848078
0.011475628,350.8547530454868,73.9,64712,0.8512479066848755,13,0.25698352,289.59122705459595,21.54482,0.0,0.25698352,1125,23.84155
0.010403506,340.6133112242278,72.225,65762,0.8475156724452972,14,0.24196339,294.2995009422302,21.62632,0.0,0.24196339,1139,23.821043
0.010288492,359.9766705440294,76.925,66779,0.8241494297981262,13,0.24694687,298.74060463905334,22.137918,0.0,0.24694687,1152,23.833237
0.011764538,357.45076996559635,75.9,67817,0.8293772488832474,14,0.26205412,303.184118270874,21.792027,0.0,0.26205412,1166,23.822586
0.00998066,367.24289331436137,77.5,68907,0.8715768307447433,14,0.2354336,307.6254713535309,21.342688,0.0,0.2354336,1180,23.82397
0.010557692,351.3859501738798,73.925,69979,0.8723952323198318,15,0.2383516,312.2251327037811,20.975498,0.0,0.2383516,1195,23.824966
0.011444576,349.6668028403854,74.55,71035,0.8483780175447464,14,0.2598111,316.9266850948334,20.827572,0.0,0.2598111,1209,23.823177
0.010955013,344.3055159945491,73.35,72045,0.8328554481267929,14,0.24756293,321.3166444301605,21.182535,0.0,0.24756293,1223,23.8054
0.010994211,345.4282281619979,73.25,73037,0.8259579092264175,14,0.28435254,325.7351405620575,21.036674,0.0,0.28435254,1237,23.808817
0.012063687,336.08557507108287,71.7,74089,0.8468995243310928,14,0.24968298,330.308137178421,21.088179,0.0,0.24968298,1251,23.812008
0.011605172,346.2520264510048,73.45,75066,0.7715303599834442,13,0.28052297,334.88106656074524,21.21011,0.0,0.28052297,1264,23.784418
0.011534877,350.6695238838303,74.35,76080,0.8190071433782578,14,0.23854133,339.9737055301666,21.142307,0.0,0.23854133,1278,23.758854
0.011469507,351.97539787899103,73.825,77042,0.8602098673582077,13,0.24206257,344.4678497314453,20.788462,0.0,0.24206257,1291,23.761065
0.011662751,355.0843069687743,73.975,78094,0.824187159538269,14,0.23427713,349.3611958026886,20.498587,0.0,0.23427713,1305,23.757086
0.012749588,364.4640729241422,76.775,79151,0.8012222349643707,13,0.2764629,353.8910176753998,21.28445,0.0,0.2764629,1318,23.73065
0.012123343,348.7730767830638,74.05,80224,0.7888126969337463,15,0.26376164,358.3211028575897,20.77219,0.0,0.26376164,1333,23.708735
0.011569446,350.5463418559697,75.8,81290,0.8279886245727539,14,0.31348896,362.76438784599304,21.254852,0.0,0.31348896,1347,23.707518
0.0114861075,339.9859536160399,73.325,82315,0.7602492868900299,14,0.3231936,367.193808555603,20.823786,0.0,0.3231936,1361,23.726809
0.012114584,356.22771846516946,76.925,83301,0.8507274836301804,12,0.25849563,371.6415214538574,21.37818,0.0,0.25849563,1373,23.716127
0.011342127,363.5810309591519,77.45,84306,0.823822870850563,13,0.25346237,376.0717873573303,21.734463,0.0,0.25346237,1386,23.702147
0.011905533,370.8731209934669,79.3,85300,0.8624921292066574,12,0.29380548,380.8575916290283,21.33765,0.0,0.29380548,1398,23.685955
0.011526164,376.1021489422832,79.775,86235,0.845684215426445,12,0.26458937,385.3618450164795,21.434162,0.0,0.26458937,1410,23.696047
0.012781924,387.44930048795834,82.625,87239,0.8363384157419205,11,0.2649175,389.86594915390015,21.902258,0.0,0.2649175,1421,23.696512
0.012867346,383.65336578723424,82.6,88261,0.8653315901756287,13,0.26321512,394.37396335601807,22.41247,0.0,0.26321512,1434,23.70817
0.012942601,377.74073997150026,80.425,89307,0.8822741657495499,14,0.27896073,399.3989236354828,21.496456,0.0,0.27896073,1448,23.70632
0.012117918,357.9889499947829,75.425,90256,0.843286857008934,13,0.2654606,403.80818700790405,20.00291,0.0,0.2654606,1461,23.693115
0.012950592,360.0308023451969,75.4,91277,0.8412261605262756,13,0.28002477,408.3759734630585,19.81544,0.0,0.28002477,1474,23.68366
0.012395334,355.4547973904331,76.625,92297,0.8898182436823845,13,0.2573743,412.85007309913635,20.388666,0.0,0.2573743,1487,23.680643
0.012421092,350.99209998001277,76.35,93310,0.8789989650249481,14,0.2454561,417.3289361000061,19.890995,0.0,0.2454561,1501,23.688066
0.012328394,347.50744084501235,75.15,94357,0.7985629141330719,14,0.3061657,421.8130786418915,19.458319,0.0,0.3061657,1515,23.711187
0.012941033,361.0147266712419,75.975,95395,0.8745855689048767,13,0.28072366,426.5185616016388,19.629889,0.0,0.28072366,1528,23.716574
0.012213059,377.87757775343215,78.45,96373,0.869387611746788,12,0.26000604,431.0733597278595,20.56982,0.0,0.26000604,1540,23.730953
0.012634978,374.7418472783843,77.75,97386,0.8011554181575775,14,0.25588158,435.48269414901733,20.470467,0.0,0.25588158,1554,23.724142
0.012282779,358.16457349931125,75.675,98422,0.8062876015901566,14,0.2607704,439.89923214912415,20.08252,0.0,0.2607704,1568,23.714924
0.012599517,347.56472334439604,74.45,99413,0.861741840839386,13,0.27812755,444.3115723133087,20.203533,0.0,0.27812755,1581,23.710613
0.01283712,352.75882482884583,75.1,100340,0.8220856487751007,12,0.28253606,448.7146739959717,20.026836,0.0,0.28253606,1593,23.704035
0.013615886,376.1107074715627,79.875,101397,0.8168637305498123,12,0.32163686,453.1313021183014,21.365917,0.0,0.32163686,1605,23.693356
0.012614533,388.31323645896055,83.375,102426,0.813066691160202,11,0.2837311,457.562947511673,21.459076,0.0,0.2837311,1616,23.688414
0.013549482,378.4272758549652,81.475,103457,0.8595230430364609,15,0.2823155,462.1662492752075,20.876009,0.0,0.2823155,1631,23.69214
0.012636133,358.1340495269375,78.125,104522,0.8337652683258057,14,0.25744632,466.5676894187927,19.417088,0.0,0.25744632,1645,23.698652
0.013161831,353.6660420839432,76.6,105539,0.8805762678384781,12,0.29134965,470.9717946052551,19.331326,0.0,0.29134965,1657,23.69702
0.012574818,359.4941022769955,77.9,106573,0.8389597237110138,14,0.23956189,475.3743073940277,19.229656,0.0,0.23956189,1671,23.700949
0.013865972,380.83589268624394,81.9,107576,0.8466070294380188,12,0.28047442,479.78216457366943,19.995708,0.0,0.28047442,1683,23.693869
0.013216167,354.5692651062508,76.4,108595,0.8605142533779144,14,0.2793633,484.5805456638336,18.39591,0.0,0.2793633,1697,23.689857
0.012731444,359.31246267817994,76.4,109556,0.8428098857402802,13,0.32253018,488.97214126586914,18.11503,0.0,0.32253018,1710,23.692305
0.014180743,348.33205603541995,74.15,110542,0.8779214173555374,13,0.29595172,493.39108633995056,17.701056,0.0,0.29595172,1723,23.689947
0.014667264,364.53189475846386,76.75,111591,0.8095296025276184,13,0.31367028,498.29309368133545,18.162853,0.0,0.31367028,1736,23.695562
0.014138499,388.8891852899704,82.525,112643,0.7702315002679825,11,0.30200642,502.9717228412628,19.84348,0.0,0.30200642,1747,23.697748
0.014496326,391.05372846436404,82.975,113732,0.8610719293355942,14,0.29269737,507.4068078994751,20.031643,0.0,0.29269737,1761,23.682209
0.014319332,397.76683990028806,84.725,114769,0.8602073490619659,12,0.30075228,511.83102321624756,20.830135,0.0,0.30075228,1773,23.681623
0.01387367,389.2160189466883,82.15,115788,0.8773537278175354,12,0.28218633,516.2290270328522,19.89606,0.0,0.28218633,1785,23.675802
0.0041235685,405.91358603483457,85.05,116794,0.8739608824253082,12,0.1547924,520.6696720123291,20.452177,0.0,0.1547924,1797,23.676497
0.01343662,384.30567347990825,81.825,117770,0.8258022516965866,13,0.28910464,525.1065938472748,18.772444,0.0,0.28910464,1810,23.676271
0.0039429814,377.72430303023214,80.775,118771,0.8166445791721344,12,0.14919397,530.5386130809784,18.336082,0.0,0.14919397,1822,23.677752
0.0038438272,393.05232682621227,83.525,119899,0.8533540815114975,12,0.14016065,535.0810112953186,18.585087,0.0,0.14016065,1834,23.67674
0.014239926,413.6309739841914,87.6,120967,0.8696765899658203,11,0.29685187,539.5942504405975,19.413301,0.0,0.29685187,1845,23.666018
0.01343002,424.87524053299387,89.4,121966,0.8701598197221756,12,0.30126387,544.1073439121246,19.240454,0.0,0.30126387,1857,23.66091
0.013068262,408.7694178724174,87.35,122956,0.8861748352646828,12,0.26642868,548.6148188114166,18.457294,0.0,0.26642868,1869,23.653788
0.0040103095,385.6169304158112,83.7,123987,0.8652401864528656,12,0.13840747,553.162495136261,17.707998,0.0,0.13840747,1881,23.65106
0.0134018585,392.37515974871746,85.275,124981,0.7715481966733932,12,0.26525956,558.144045829773,17.46294,0.0,0.26525956,1893,23.646242
0.0141664315,384.0534690057754,83.875,126002,0.8350285291671753,12,0.3612576,563.1467976570129,17.618917,0.0,0.3612576,1905,23.648603
0.01375236,390.97132559346664,84.3,127072,0.864818349480629,13,0.27227408,567.9058842658997,17.593122,0.0,0.27227408,1918,23.64534
0.0039119283,373.6721171676454,80.175,128110,0.8504321426153183,14,0.14298385,572.4266049861908,17.130207,0.0,0.14298385,1932,23.645487
0.014146166,369.6092898163447,79.25,129093,0.8350605070590973,12,0.31206277,577.1729905605316,16.466883,0.0,0.31206277,1944,23.631575
0.012529972,375.37830320095077,79.55,130109,0.8573868125677109,12,0.2566393,581.9683232307434,15.93248,0.0,0.2566393,1956,23.630926
0.014939116,389.3452777979704,82.05,131144,0.8856488615274429,13,0.31102914,586.7245993614197,16.29028,0.0,0.31102914,1969,23.63249
0.0146636125,382.67631320356406,80.275,132183,0.8763148039579391,13,0.27354187,591.2540228366852,15.902295,0.0,0.27354187,1982,23.639875
0.0042582923,390.04670620572045,81.875,133180,0.8309504836797714,11,0.19503027,595.7727811336517,16.053722,0.0,0.19503027,1993,23.636234
0.003777892,397.0562386258571,83.725,134181,0.824884831905365,12,0.14526573,600.2964284420013,16.462486,0.0,0.14526573,2005,23.633062
0.0037958904,390.00309138640296,82.15,135194,0.7904911041259766,13,0.1366555,604.8073782920837,15.807721,0.0,0.1366555,2018,23.629816
0.0040518893,386.6035479401521,81.6,136195,0.7941314280033112,12,0.16076247,609.3102922439575,15.739302,0.0,0.16076247,2030,23.632326
0.013686107,389.6866137978028,81.3,137181,0.7865761816501617,12,0.30651546,613.9480023384094,15.560877,0.0,0.30651546,2042,23.636969
0.014679088,403.0917395476025,83.975,138233,0.8596085160970688,12,0.29503077,618.475802898407,15.792807,0.0,0.29503077,2054,23.63582
0.013588755,380.56277739972813,79.725,139305,0.8620120286941528,15,0.3081131,622.9659433364868,14.674501,0.0,0.3081131,2069,23.640461
0.013825122,377.4767279224948,80.1,140271,0.8368688821792603,12,0.30289227,627.4711806774139,14.526175,0.0,0.30289227,2081,23.640158
0.0042127175,364.6872209620087,78.525,141257,0.8439156264066696,12,0.14624417,632.0154123306274,14.037638,0.0,0.14624417,2093,23.63525
0.014953952,393.2864921577324,83.25,142332,0.861387625336647,13,0.308733,636.5353989601135,14.646006,0.0,0.308733,2106,23.63452
0.003901328,397.0723011886481,84.175,143359,0.818908765912056,11,0.14967644,641.4007313251495,14.866667,0.0,0.14967644,2117,23.636492
0.0037701572,411.7378455540726,86.775,144377,0.825789675116539,12,0.15055948,645.929924249649,15.288132,0.0,0.15055948,2129,23.63631
0.003818151,405.8027787709057,86.65,145355,0.887172169983387,12,0.14857382,650.4548106193542,15.16568,0.0,0.14857382,2141,23.638918
0.014893074,384.84270771115996,82.35,146426,0.8143037557601929,13,0.32227832,654.9390096664429,13.963321,0.0,0.32227832,2154,23.639425
0.0041214107,386.3877650495773,82.975,147405,0.8010600954294205,11,0.15596716,659.6993744373322,14.187082,0.0,0.15596716,2165,23.635576
0.01481157,400.75070755323,85.025,148425,0.8358956128358841,12,0.30451143,664.118045091629,14.08429,0.0,0.30451143,2177,23.634989
0.014168693,410.1649029039765,85.725,149497,0.8768379911780357,13,0.31552702,668.5470843315125,13.933841,0.0,0.31552702,2190,23.64233
0.003896819,408.6191460778092,85.7,150472,0.8249910920858383,11,0.13629568,672.9560441970825,13.951624,0.0,0.13629568,2201,23.642984
0.00447338,412.5964752672211,86.95,151509,0.7950870841741562,12,0.15292045,677.5537393093109,14.034605,0.0,0.15292045,2213,23.640947
0.0038442858,415.41420083301927,86.625,152573,0.8481030613183975,13,0.14321102,681.9899096488953,14.051707,0.0,0.14321102,2226,23.639584
0.0039755376,405.2839517668587,85.425,153605,0.8431913554668427,12,0.15417017,687.0461483001709,13.667093,0.0,0.15417017,2238,23.636553
0.0038164183,407.56419038089115,86.125,154630,0.8674364238977432,12,0.16304924,691.4856424331665,13.754478,0.0,0.16304924,2250,23.637371
0.0038798363,407.73240476899394,86.275,155637,0.8385503888130188,11,0.16099721,696.1668117046356,13.5881405,0.0,0.16099721,2261,23.637434
0.004080194,417.59746739493465,88.825,156666,0.8354435116052628,12,0.14633194,700.6057479381561,13.704582,0.0,0.14633194,2273,23.636393
0.0039525754,418.45315739690534,88.775,157681,0.8386728316545486,12,0.14412053,705.1157503128052,13.331818,0.0,0.14412053,2285,23.633726
0.014969766,404.16009447779993,84.65,158737,0.8718898743391037,13,0.2777264,709.5839591026306,12.468952,0.0,0.2777264,2298,23.636225
0.0037936894,389.0837215585813,82.175,159712,0.801888957619667,12,0.14829718,714.1004319190979,12.187877,0.0,0.14829718,2310,23.63918
0.004475478,381.85705281734096,80.4,160737,0.8210075348615646,13,0.14917989,718.6199271678925,11.872588,0.0,0.14917989,2323,23.639566
0.0143290125,389.12315548507274,81.675,161753,0.8063072562217712,12,0.2551263,723.1189019680023,11.8167515,0.0,0.2551263,2335,23.632061
0.0037793848,397.31679596289877,83.575,162723,0.7535458654165268,11,0.16015348,727.6378552913666,11.939516,0.0,0.16015348,2346,23.636229
0.0041682245,396.3679193043184,83.8,163618,0.7795188874006271,11,0.15923102,732.1761469841003,11.744181,0.0,0.15923102,2357,23.633364
0.0040490553,411.06738129985797,85.975,164580,0.878569170832634,11,0.14201635,736.6584858894348,12.026631,0.0,0.14201635,2368,23.631918
0.003973564,405.70884688224425,86.05,165643,0.8194461911916733,12,0.1502832,741.1872138977051,11.841469,0.0,0.1502832,2380,23.631413
0.004145706,414.0231564142834,87.25,166665,0.8793682903051376,12,0.16337326,745.7216141223907,11.616735,0.0,0.16337326,2392,23.627934
0.0038038604,416.8608318861258,88.275,167746,0.8660719245672226,12,0.14752094,750.2321436405182,11.717607,0.0,0.14752094,2404,23.627504
0.004063569,402.5629558269411,85.425,168804,0.8531430810689926,14,0.15041047,754.7555727958679,11.303149,0.0,0.15041047,2418,23.624264
0.004241774,404.6406925107939,85.65,169769,0.7811208665370941,11,0.15369992,759.292397737503,11.505297,0.0,0.15369992,2429,23.628155
0.0041602217,390.3279904207881,81.925,170800,0.7775654643774033,12,0.15350899,763.8241193294525,10.766698,0.0,0.15350899,2441,23.62671
0.0146880075,405.3425068261261,85.85,171795,0.8483908325433731,11,0.2979493,768.3239030838013,10.933871,0.0,0.2979493,2452,23.624739
0.004150195,398.96872065329393,84.4,172832,0.8020229488611221,13,0.16261509,772.847802400589,10.892639,0.0,0.16261509,2465,23.624022
