entropy,meankl,surrgain,EpLenMean,EpRewMean,ev_tdlam_before,entloss,EpisodesSoFar,TimestepsSoFar,optimgain,TimeElapsed,EpThisIter
1.4189401,0.0098869745,0.016052056,77.175,74.95559308467178,0.9785134792327881,0.0,775,78842,0.016052056,53.67795014381409,13
1.4189401,0.008458087,0.017187577,78.925,74.197145688843,0.9900139011442661,0.0,787,79823,0.017187577,54.36237287521362,12
1.4189401,0.0074784392,0.013841078,79.525,73.87366630980954,0.9933085851371288,0.0,800,80840,0.013841078,55.05335712432861,13
1.4189401,0.007612823,0.0067203515,78.6,73.29015092965396,0.9951040893793106,0.0,814,81911,0.0067203515,55.74956917762756,14
1.4189401,0.007888178,0.019500403,77.075,74.44898566784997,0.9929525037296116,0.0,827,82906,0.019500403,56.43900656700134,13
1.4189401,0.008861508,0.015639925,76.175,75.696529062008,0.9954828093759716,0.0,841,83967,0.015639925,57.12521958351135,14
1.4189401,0.007211137,0.01189772,76.55,76.26335397900739,0.9928888911381364,0.0,854,84973,0.01189772,57.80374312400818,13
1.4189401,0.007418855,0.012979359,76.675,76.33934074644749,0.9918917939066887,0.0,867,85973,0.012979359,58.50924038887024,13
1.4189401,0.0077249445,0.014896495,77.625,74.46723339745617,0.9913061344996095,0.0,880,86998,0.014896495,59.1971914768219,13
1.4189401,0.006937282,0.0073265093,77.25,74.39495409627382,0.9936266802251339,0.0,893,87991,0.0073265093,59.888614892959595,13
1.4189401,0.006870695,0.014348121,77.675,73.94279965655676,0.9922149335034192,0.0,907,89080,0.014348121,60.56714057922363,14
1.4189401,0.0067471606,0.012549454,76.3,74.95225740433786,0.9955062293447554,0.0,920,90050,0.012549454,61.265727043151855,13
1.4189401,0.009696887,0.00967179,76.2,74.92602708601244,0.9939174237661064,0.0,934,91116,0.00967179,61.968445777893066,14
1.4189401,0.0072740507,0.020618685,78.4,74.627454764529,0.9819353986531496,0.0,946,92137,0.020618685,62.66833543777466,12
1.4189401,0.009672325,0.011606082,79.175,74.19363245298858,0.9921207800507545,0.0,959,93139,0.011606082,63.34389901161194,13
1.4189401,0.008354723,0.022170842,81.325,73.53394221289518,0.9877453232184052,0.0,971,94138,0.022170842,64.01983833312988,12
1.4189401,0.009419862,0.024688473,78.475,74.0351467645734,0.990565100684762,0.0,985,95201,0.024688473,64.70758271217346,14
1.4189401,0.009233922,0.01344211,78.2,74.63384663265934,0.9946729801595211,0.0,998,96190,0.01344211,65.39248299598694,13
1.4189401,0.007134805,0.032115847,75.45,76.20291766513664,0.9915372468531132,0.0,1012,97231,0.032115847,66.09486770629883,14
1.4189401,0.0073450455,0.009934169,77.0,75.79354849233815,0.9935645144432783,0.0,1025,98281,0.009934169,66.80155491828918,13
1.4189401,0.009838067,0.009276372,77.3,75.80367844217156,0.9923594086430967,0.0,1038,99282,0.009276372,67.50513911247253,13
1.4189401,0.0081339795,0.022840597,78.85,75.72290395796477,0.9898466058075428,0.0,1051,100312,0.022840597,68.19119024276733,13
