entloss,EpTrueRewMean,surrgain,EpRewMean,EpThisIter,TimestepsSoFar,TimeElapsed,optimgain,ev_tdlam_before,meankl,entropy,EpLenMean,EpisodesSoFar
0.0,1598.6489511021307,0.06626046,71.08618,2,537369,2769.9784529209137,0.06626046,0.9656346254050732,0.011968782,1.3500104,463.925,1374
0.0,1612.6515797672732,0.05560312,71.770226,1,538369,2775.2972917556763,0.05560312,0.6856269240379333,0.011130591,1.3387592,468.925,1375
0.0,1626.2296691003191,0.06414824,72.27559,1,538955,2780.6297674179077,0.06414824,0.9762228764593601,0.01146075,1.3302003,471.625,1376
0.0,1547.6205603417802,0.07753358,69.78115,3,540181,2785.963692188263,0.07753358,0.9854825716465712,0.012480935,1.306645,449.75,1379
0.0,1546.2961108484894,0.056353502,69.878136,1,540600,2791.290548324585,0.056353502,0.28951704502105713,0.010640759,1.3023878,449.25,1380
0.0,1655.925063189335,0.06252911,73.87146,2,542266,2796.6150436401367,0.06252911,0.9756656270474195,0.010634396,1.2878209,478.8,1382
0.0,1710.1078634266821,0.05984976,75.547,2,543651,2801.945363998413,0.05984976,0.7506538480520248,0.0107210465,1.2845098,496.525,1384
0.0,1733.3635320047192,0.035544753,75.97719,1,544651,2807.2768495082855,0.035544753,0.2447994351387024,0.0038939614,1.2927871,505.1,1385
0.0,1793.8388311832466,0.0577015,78.31507,1,545651,2812.6151185035706,0.0577015,0.24062758684158325,0.0119818235,1.2758424,522.575,1386
0.0,1746.9548803112393,0.07359474,77.08705,1,546109,2817.960469007492,0.07359474,0.9314735606312752,0.012209009,1.2456572,509.025,1387
0.0,1638.1670051669014,0.07196287,74.27471,4,547129,2823.2866864204407,0.07196287,0.9532945491373539,0.01205162,1.2686752,477.375,1391
0.0,1658.9852865840985,0.071002424,75.32252,2,548272,2828.6162655353546,0.071002424,0.9712473284453154,0.011891578,1.2605226,482.55,1393
0.0,1686.1872634523916,0.075145595,76.17621,3,549588,2833.935695409775,0.075145595,0.9703255724161863,0.012029105,1.253447,489.575,1396
0.0,1732.612546913409,0.07289959,77.9762,2,550599,2839.2531764507294,0.07289959,0.9715827535837889,0.011104083,1.2506253,502.25,1398
0.0,1746.2105254704925,0.077111505,78.40218,2,551274,2844.5877861976624,0.077111505,0.9416531957685947,0.012344081,1.2429506,506.65,1400
0.0,1712.606930415432,0.06743121,77.125046,3,552349,2849.9109003543854,0.06743121,0.9288165792822838,0.010556505,1.2413378,496.175,1403
0.0,1762.0908252519046,0.08261797,78.86606,2,553350,2855.248973608017,0.08261797,0.9568426199257374,0.011255135,1.2537888,509.975,1405
0.0,1783.2969373361393,0.07834214,79.244194,2,554653,2860.5723719596863,0.07834214,0.9316245913505554,0.01173719,1.2466873,517.45,1407
0.0,1777.6874116056774,0.0741615,79.439835,3,555502,2865.8987176418304,0.0741615,0.9616352841258049,0.01209249,1.2483919,514.575,1410
0.0,1770.719669338944,0.06973329,79.145424,2,556459,2871.226280927658,0.06973329,0.9738541375845671,0.011608842,1.2196962,511.725,1412
0.0,1677.1385804834567,0.093792625,74.68075,3,557764,2876.5650095939636,0.093792625,0.8904930278658867,0.0126991635,1.2276763,484.875,1415
0.0,1611.1324002161582,0.08152866,72.63014,2,558306,2881.9005134105682,0.08152866,0.9668563492596149,0.011065041,1.2164049,466.05,1417
0.0,1610.7597774169894,0.072948664,72.961266,3,559211,2887.2284359931946,0.072948664,0.9709680806845427,0.013277214,1.203615,465.275,1420
0.0,1540.942077554156,0.08264533,70.53428,2,560110,2892.5644664764404,0.08264533,0.9748291578143835,0.011352567,1.2070112,446.1,1422
0.0,1416.4199692914035,0.0730512,67.49612,3,560933,2897.8890414237976,0.0730512,0.975903345271945,0.012365784,1.2095244,407.05,1425
0.0,1376.93215629474,0.07242283,66.35992,3,562123,2903.2258665561676,0.07242283,0.9800961837172508,0.011943207,1.1851107,394.575,1428
0.0,1425.35539627989,0.076152466,67.50364,2,563143,2908.5574102401733,0.076152466,0.9805558379739523,0.011871298,1.1767278,408.525,1430
0.0,1327.869062047987,0.0635297,63.561268,4,563971,2913.890473127365,0.0635297,0.843759223818779,0.012145266,1.1612107,381.625,1434
0.0,1251.2667049830775,0.07796557,60.175743,3,564796,2919.2160432338715,0.07796557,0.8283056318759918,0.01089214,1.1374953,362.0,1437
0.0,1258.3345206046856,0.06287243,59.69863,2,565441,2924.559289932251,0.06287243,0.9612697586417198,0.010609348,1.1291499,363.325,1439
0.0,1181.9835067166944,0.07509132,55.483734,5,566593,2929.8935618400574,0.07509132,0.8193585127592087,0.013480708,1.14543,342.7,1444
0.0,1172.5244622121859,0.07319925,54.02434,3,568185,2935.227649450302,0.07319925,0.965468093752861,0.0108160805,1.1611018,338.3,1447
0.0,1203.3298512829933,0.09808581,54.66217,1,568933,2940.5494978427887,0.09808581,0.9506033919751644,0.011094671,1.179498,347.325,1448
0.0,1261.3909802593853,0.062399995,55.79497,3,570290,2945.8788907527924,0.062399995,0.8596847057342529,0.011291857,1.1577214,364.375,1451
0.0,1212.5375197649846,0.07948959,53.706543,2,571202,2951.1981456279755,0.07948959,0.945207130163908,0.012340002,1.1650544,351.125,1453
0.0,1204.3339415147293,0.047631726,53.496593,4,572241,2956.542428255081,0.047631726,0.9471050649881363,0.0037773564,1.1455541,348.375,1457
0.0,1190.7196586495388,0.041550186,52.83189,4,573424,2961.900866508484,0.041550186,0.966868381947279,0.0037643556,1.1367812,344.275,1461
0.0,1175.4836765284174,0.072508104,51.790794,4,574516,2967.261683702469,0.072508104,0.940456572920084,0.012450436,1.1360878,339.575,1465
0.0,1168.6251864977053,0.10949981,51.404366,1,575061,2972.591346025467,0.10949981,0.8960702866315842,0.011393407,1.1129926,338.7,1466
0.0,1146.3091750755975,0.060761616,52.01885,4,576386,2977.9245088100433,0.060761616,0.9114211797714233,0.012047473,1.1052945,331.075,1470
0.0,1108.6355512713026,0.038999476,51.16658,5,577317,2983.262972354889,0.038999476,0.8265121579170227,0.004296041,1.1050123,320.125,1475
0.0,1142.3447112911863,0.085757636,52.81242,1,577837,2988.5847566127777,0.085757636,0.9376344345510006,0.010045382,1.1126199,328.475,1476
0.0,1139.8647250859453,0.07173115,53.350487,3,578546,2993.9174966812134,0.07173115,0.9486266598105431,0.012204321,1.1195138,327.625,1479
0.0,1200.1287503364197,0.08453794,56.691956,3,579820,2999.2615230083466,0.08453794,0.8922843635082245,0.01349316,1.1175927,343.625,1482
0.0,1184.1828211013956,0.079767555,57.407726,4,581175,3004.582963705063,0.079767555,0.965681042522192,0.014441572,1.0955049,338.7,1486
0.0,1058.9768500096716,0.08018323,53.86154,5,582451,3009.9152295589447,0.08018323,0.8789064884185791,0.01443858,1.0923836,304.025,1491
0.0,1027.016364537801,0.08307142,53.040783,3,583279,3015.256713628769,0.08307142,0.9516532681882381,0.011880955,1.1044211,295.575,1494
0.0,976.2043225182282,0.06254594,51.137394,4,584075,3020.591649532318,0.06254594,0.8762136548757553,0.009842074,1.0882012,281.775,1498
0.0,977.9813195551299,0.07335162,51.175987,4,584956,3025.914502620697,0.07335162,0.9218932762742043,0.011856005,1.0855407,282.3,1502
0.0,994.8564242421573,0.07390186,51.085514,2,585833,3031.245696544647,0.07390186,0.9631030894815922,0.012983374,1.0711839,287.775,1504
0.0,993.5320603990143,0.066213965,50.128914,3,587029,3036.5711126327515,0.066213965,0.9768250714987516,0.0108197965,1.0762652,286.3,1507
0.0,1018.4712707472551,0.0775142,49.958305,3,588098,3041.906169652939,0.0775142,0.9599419049918652,0.011877867,1.088379,292.8,1510
0.0,1062.179929107937,0.07428188,51.68932,4,589013,3047.240674972534,0.07428188,0.9270802438259125,0.011983713,1.0676187,303.35,1514
0.0,924.2992719836996,0.06423546,44.270424,7,590049,3052.576187849045,0.06423546,0.8300159573554993,0.01303976,1.0648875,266.675,1521
0.0,925.1546351262201,0.11792016,44.125893,2,590843,3057.9084646701813,0.11792016,0.9422578364610672,0.01268468,1.0369179,266.4,1523
0.0,932.8324156566232,0.06853412,43.447105,3,591915,3063.2381978034973,0.06853412,0.9716384466737509,0.012044385,1.0420226,268.5,1526
0.0,950.8426943564533,0.09667937,43.821056,3,592886,3068.571837902069,0.09667937,0.9760453905910254,0.01494108,1.0328523,272.4,1529
0.0,939.6531733039216,0.0595009,43.40874,5,593991,3073.9198400974274,0.0595009,0.9649601243436337,0.011489208,1.0291576,267.8,1534
0.0,1000.1642292118386,0.06983569,45.42685,3,595152,3079.257229089737,0.06983569,0.9812067206948996,0.010809072,1.0167708,283.2,1537
0.0,1018.410537894412,0.068208724,45.597404,2,595894,3084.610952615738,0.068208724,0.982065137475729,0.010917235,1.0030651,288.4,1539
0.0,1056.6429175127641,0.089062825,47.171803,3,596885,3089.9378142356873,0.089062825,0.9759698566049337,0.014026007,1.0167079,298.225,1542
0.0,1037.3603381429407,0.06883642,46.71751,3,597922,3095.2759568691254,0.06883642,0.9821808226406574,0.010870578,1.0210572,291.65,1545
0.0,1054.1448272445468,0.0820246,47.819923,2,598879,3100.6106436252594,0.0820246,0.9702450539916754,0.01160072,1.0308918,296.25,1547
0.0,1093.9565500153917,0.0749303,49.146393,2,600036,3105.923669576645,0.0749303,0.9720426667481661,0.012065862,1.0314502,307.175,1549
0.0,1141.2520784243493,0.06392056,50.642937,2,601158,3111.254554748535,0.06392056,0.9834771361202002,0.01155138,1.0054015,320.325,1551
0.0,1162.0803468996298,0.0817471,51.671577,2,602016,3116.5920135974884,0.0817471,0.9641025327146053,0.012785854,0.99433756,326.025,1553
0.0,1231.4663364534008,0.066205986,54.316936,2,602888,3121.917765855789,0.066205986,0.95534997433424,0.01272618,0.98898464,343.825,1555
0.0,1275.479142764661,0.06771056,56.420887,2,603682,3127.2405347824097,0.06771056,0.9739673994481564,0.01131013,0.9714145,355.375,1557
0.0,1320.8859481948189,0.071903534,57.7307,3,604568,3132.5606441497803,0.071903534,0.8477876484394073,0.014949786,0.97586817,368.3,1560
0.0,1364.6284860262622,0.079211235,59.790474,2,605604,3137.886613368988,0.079211235,0.9895130721852183,0.012006711,0.96942294,379.4,1562
0.0,1374.0674011604847,0.06512169,60.223053,2,606397,3143.206958770752,0.06512169,0.9768387619405985,0.0104196705,0.95321614,382.125,1564
0.0,1397.9347178522112,0.07081929,61.56853,2,607425,3148.530346632004,0.07081929,0.9863952957093716,0.011741996,0.9410192,387.75,1566
0.0,1419.723084644935,0.0625981,63.09776,3,608616,3153.8621599674225,0.0625981,0.9855475667864084,0.011129726,0.9343566,393.25,1569
0.0,1466.625132268719,0.074882835,64.9875,2,609578,3159.2576925754547,0.074882835,0.8749467730522156,0.011392332,0.9294051,407.0,1571
0.0,1495.415068366679,0.06852038,66.35531,3,610573,3164.5975046157837,0.06852038,0.9754215758293867,0.012987671,0.911644,414.55,1574
0.0,1496.6818732186402,0.070551045,66.99796,3,611726,3169.9249954223633,0.070551045,0.9780721571296453,0.012000456,0.905752,414.35,1577
0.0,1464.6440964160013,0.07282718,65.94134,3,612629,3175.2506816387177,0.07282718,0.9542913883924484,0.011216946,0.9158016,406.075,1580
0.0,1536.251764514223,0.04352712,69.254654,2,613927,3180.5873506069183,0.04352712,0.5646693110466003,0.010617418,0.9076864,426.05,1582
0.0,1535.3181162000078,0.06086603,70.03175,3,614946,3185.911379337311,0.06086603,0.9682411849498749,0.011848962,0.9160631,425.6,1585
0.0,1594.162438739592,0.07313801,72.6298,1,615946,3191.235023498535,0.07313801,0.9825841169804335,0.011280575,0.8870163,441.325,1586
0.0,1591.5691321022573,0.055666327,73.34298,2,617241,3196.563943386078,0.055666327,0.9818371031433344,0.014456844,0.87039006,441.175,1588
0.0,1537.8583967628372,0.055199817,72.00024,3,618267,3201.8952798843384,0.055199817,0.911975271999836,0.010342696,0.85448235,427.725,1591
0.0,1531.8409751312618,0.07692889,72.11127,2,619083,3207.227073907852,0.07692889,0.9670425653457642,0.010863535,0.8650813,426.675,1593
0.0,1516.4237093574425,0.06533523,72.10872,2,619751,3212.556998729706,0.06533523,0.9902580855414271,0.011108156,0.8636415,421.575,1595
0.0,1562.301157756669,0.06520829,73.22292,2,621062,3217.883045434952,0.06520829,0.9439453333616257,0.011516133,0.8706278,434.5,1597
0.0,1605.4147925610473,0.069098145,74.80415,4,622709,3223.3464822769165,0.069098145,0.9794829711318016,0.0103096645,0.8653047,444.5,1601
0.0,1488.917514983949,0.06606604,69.654526,4,623582,3229.2955424785614,0.06606604,0.9450597278773785,0.011044578,0.84891295,414.05,1605
0.0,1481.6470513007498,0.058854863,68.60964,3,624780,3235.063578605652,0.058854863,0.9801526591181755,0.010195267,0.83916646,412.7,1608
0.0,1480.4465405260362,0.07294344,68.63424,2,625985,3240.4104866981506,0.07294344,0.8968670293688774,0.010929743,0.8277148,412.95,1610
0.0,1568.0587497223962,0.057772458,71.809525,1,626985,3246.0707082748413,0.057772458,0.9763846937566996,0.010828849,0.8074131,435.175,1611
0.0,1583.9462848724588,0.066034466,72.40359,2,627956,3251.3997333049774,0.066034466,0.9697281699627638,0.011597223,0.7853781,439.825,1613
0.0,1632.0124984156007,0.06008744,74.4212,2,629007,3256.727754831314,0.06008744,0.9780578650534153,0.011243178,0.76656324,452.5,1615
0.0,1606.514102922913,0.04765013,72.8562,3,629989,3262.0760469436646,0.04765013,0.8495314419269562,0.012249447,0.76733917,446.55,1618
0.0,1690.3025870112929,0.07139012,76.33086,2,631339,3267.4036803245544,0.07139012,0.9670819900929928,0.011143332,0.7671641,467.75,1620
0.0,1655.9722460377957,0.058994062,74.39112,2,632222,3273.1829199790955,0.058994062,0.978465573862195,0.011822902,0.742956,457.375,1622
0.0,1672.813286559096,0.060171314,74.450806,2,633192,3278.518820285797,0.060171314,0.9823628235608339,0.010134114,0.737282,461.775,1624
0.0,1686.9068498260858,0.056429625,74.86106,2,634587,3283.8436408042908,0.056429625,0.8917778208851814,0.011055648,0.731849,466.025,1626
0.0,1685.5345471890898,0.05424483,74.17412,1,635587,3289.169502019882,0.05424483,0.39294201135635376,0.011178206,0.7146809,466.025,1627
0.0,1699.9808305643917,0.061468475,74.35957,1,636056,3294.497661113739,0.061468475,0.9682237170636654,0.010423126,0.7036234,470.375,1628
0.0,1715.8796817387986,0.063712135,74.69483,1,636578,3299.825699567795,0.063712135,0.9509285762906075,0.010995571,0.6977232,474.6,1629
0.0,1788.8142661985246,0.061221346,77.373985,2,637986,3305.154326915741,0.061221346,0.9472354166209698,0.013719205,0.6978914,492.975,1631
0.0,1814.4043639771019,0.066242754,77.919655,2,639036,3310.4798097610474,0.066242754,0.9859472010284662,0.011142978,0.6986001,498.825,1633
0.0,1813.181653704066,0.06298017,77.753235,2,639696,3315.804579973221,0.06298017,0.9786921516060829,0.011997633,0.691735,498.625,1635
0.0,1814.7781712524188,0.044282015,77.925476,1,640696,3321.130160331726,0.044282015,0.3885806202888489,0.010513921,0.6970902,499.5,1636
0.0,1783.9470962672312,0.05710742,77.46326,2,641433,3326.461517572403,0.05710742,0.9746311139315367,0.011290306,0.67400587,491.425,1638
0.0,1824.4778722428207,0.06717251,79.30272,2,642521,3331.788053035736,0.06717251,0.9660234712064266,0.012022857,0.6735715,502.25,1640
0.0,1882.367837639697,0.06214062,81.7725,2,643621,3337.1138038635254,0.06214062,0.9851057231426239,0.01029681,0.668498,517.525,1642
0.0,1946.420904171399,0.05523479,84.617325,1,644577,3342.4392812252045,0.05523479,0.981508431956172,0.011231342,0.6619646,534.275,1643
0.0,1975.054739123158,0.05862388,85.501205,1,645094,3347.7559266090393,0.05862388,0.9774326719343662,0.011298971,0.6543608,541.8,1644
0.0,2049.0429690379015,0.052007623,88.584145,1,646094,3353.090504169464,0.052007623,0.620691329240799,0.011275252,0.63334596,562.8,1645
0.0,2018.2104998910756,0.060947992,87.73568,1,646420,3358.4311861991882,0.060947992,0.9643482938408852,0.011748064,0.6138482,554.275,1646
0.0,2081.5028010627025,0.04274314,90.616844,1,647420,3363.773229122162,0.04274314,0.5212540626525879,0.011708117,0.6205604,572.0,1647
